po_id,po_item,material_id,quantity,unit_price,delivery_date,plant
PO000021,1,MAT00117,10,83.89,2025-01-14,PL03
PO000022,1,MAT00106,33,222.29,2024-10-14,PL03
PO000022,2,MAT00260,118,15.25,2024-10-03,PL03
PO000023,1,MAT00397,167,200.78,2023-11-07,PL02
PO000024,1,MAT00028,380,373.25,2024-12-08,PL01
PO000024,2,MAT00327,436,224.96,2024-12-29,PL02
PO000025,1,MAT00337,331,303.72,2024-11-14,PL02
PO000026,1,MAT00395,485,484.74,2024-05-09,PL02
PO000026,2,MAT00083,116,378.69,2024-05-03,PL02
PO000027,1,MAT00088,330,351.0,2023-02-11,PL03
PO000027,2,MAT00227,314,83.01,2023-03-03,PL02
PO000028,1,MAT00281,459,160.57,2023-10-25,PL02
PO000028,2,MAT00135,99,80.05,2023-11-05,PL01
PO000029,1,MAT00252,473,329.03,2024-04-10,PL02
PO000029,2,MAT00347,407,218.15,2024-04-28,PL01
PO000030,1,MAT00201,452,343.35,2023-02-12,PL02
PO000030,2,MAT00180,180,307.73,2023-02-13,PL01
PO000030,3,MAT00007,305,494.95,2023-03-04,PL01
PO000031,1,MAT00299,173,504.13,2023-08-12,PL01
PO000031,2,MAT00081,90,183.67,2023-07-22,PL03
PO000031,3,MAT00245,287,232.9,2023-08-01,PL02
PO000032,1,MAT00236,169,401.71,2024-08-25,PL03
PO000033,1,MAT00341,35,76.01,2023-05-20,PL01
PO000033,2,MAT00005,228,259.61,2023-06-10,PL03
PO000033,3,MAT00065,466,388.55,2023-06-10,PL03
PO000034,1,MAT00042,180,532.8,2024-04-28,PL03
PO000034,2,MAT00152,300,92.61,2024-05-01,PL03
PO000035,1,MAT00389,373,500.09,2024-05-01,PL01
PO000035,2,MAT00377,450,583.04,2024-04-24,PL02
PO000035,3,MAT00262,368,596.88,2024-04-26,PL02
PO000036,1,MAT00305,189,315.29,2023-02-10,PL02
PO000037,1,MAT00373,270,74.08,2024-01-19,PL01
PO000038,1,MAT00321,312,273.43,2023-11-30,PL01
PO000038,2,MAT00138,206,50.41,2023-11-17,PL03
PO000039,1,MAT00186,365,159.61,2024-08-29,PL03
PO000039,2,MAT00397,313,390.68,2024-08-18,PL03
PO000039,3,MAT00075,167,621.68,2024-08-10,PL03
PO000040,1,MAT00104,56,147.71,2024-05-30,PL03
PO000041,1,MAT00159,159,258.37,2024-11-30,PL02
PO000041,2,MAT00256,110,140.03,2024-11-22,PL02
PO000041,3,MAT00054,301,517.97,2024-12-03,PL02
PO000042,1,MAT00069,55,382.11,2024-04-14,PL03
PO000042,2,MAT00194,446,196.87,2024-04-06,PL03
PO000043,1,MAT00258,66,560.92,2024-12-26,PL01
PO000043,2,MAT00061,330,212.24,2025-01-07,PL02
PO000044,1,MAT00364,253,97.28,2024-08-03,PL02
PO000045,1,MAT00064,74,94.21,2023-06-14,PL03
PO000045,2,MAT00281,379,576.1,2023-07-03,PL02
PO000045,3,MAT00290,80,420.32,2023-06-25,PL02
PO000046,1,MAT00092,429,296.93,2024-04-26,PL01
PO000046,2,MAT00075,319,12.77,2024-04-30,PL03
PO000046,3,MAT00113,220,602.85,2024-05-03,PL02
PO000047,1,MAT00376,67,380.53,2024-08-31,PL01
PO000047,2,MAT00281,248,339.88,2024-08-25,PL03
PO000048,1,MAT00306,352,58.13,2024-05-23,PL03
PO000048,2,MAT00064,472,228.56,2024-05-27,PL01
PO000048,3,MAT00162,272,589.69,2024-05-21,PL03
PO000049,1,MAT00303,158,115.54,2024-01-24,PL03
PO000049,2,MAT00204,393,203.21,2024-01-27,PL03
PO000050,1,MAT00303,306,116.55,2023-09-30,PL03
PO000050,2,MAT00373,159,527.31,2023-10-18,PL01
PO000051,1,MAT00369,268,57.35,2023-11-20,PL02
PO000052,1,MAT00153,17,484.0,2024-10-16,PL01
PO000052,2,MAT00317,199,526.63,2024-10-05,PL03
PO000053,1,MAT00269,185,639.77,2023-07-14,PL03
PO000054,1,MAT00338,348,290.6,2024-03-23,PL01
PO000055,1,MAT00146,36,115.6,2024-11-05,PL02
PO000056,1,MAT00081,371,258.43,2024-07-12,PL01
PO000056,2,MAT00388,157,603.28,2024-07-18,PL02
PO000056,3,MAT00249,59,597.17,2024-07-24,PL02
PO000057,1,MAT00278,140,428.09,2023-12-27,PL02
PO000058,1,MAT00269,102,209.12,2024-06-21,PL03
PO000058,2,MAT00353,16,272.02,2024-07-07,PL01
PO000058,3,MAT00212,122,473.61,2024-06-29,PL01
PO000059,1,MAT00226,346,581.93,2024-10-07,PL03
PO000059,2,MAT00245,336,86.19,2024-10-04,PL01
PO000059,3,MAT00341,448,396.21,2024-10-13,PL03
PO000060,1,MAT00178,468,79.16,2024-11-04,PL02
PO000061,1,MAT00381,242,600.37,2024-11-20,PL02
PO000061,2,MAT00237,364,587.98,2024-12-06,PL02
PO000061,3,MAT00060,141,111.98,2024-11-14,PL02
PO000062,1,MAT00165,40,173.79,2023-03-18,PL01
PO000062,2,MAT00260,261,636.79,2023-03-16,PL03
PO000063,1,MAT00033,286,501.51,2024-11-02,PL03
PO000064,1,MAT00346,46,374.8,2023-10-06,PL02
PO000065,1,MAT00285,344,419.1,2023-01-26,PL03
PO000066,1,MAT00229,372,611.42,2024-02-25,PL02
PO000066,2,MAT00388,442,475.23,2024-03-06,PL01
PO000066,3,MAT00035,206,620.57,2024-03-05,PL02
PO000067,1,MAT00213,38,413.92,2024-01-02,PL01
PO000067,2,MAT00251,51,548.04,2024-01-06,PL02
PO000068,1,MAT00337,348,130.62,2024-08-17,PL02
PO000068,2,MAT00315,468,76.55,2024-08-17,PL02
PO000069,1,MAT00368,234,480.08,2024-05-22,PL01
PO000069,2,MAT00347,108,24.28,2024-06-05,PL01
PO000069,3,MAT00260,260,257.59,2024-06-12,PL03
PO000070,1,MAT00283,437,529.16,2024-10-25,PL01
PO000070,2,MAT00132,182,513.75,2024-10-26,PL02
PO000070,3,MAT00340,423,427.77,2024-11-10,PL02
PO000071,1,MAT00074,260,427.76,2023-04-04,PL03
PO000072,1,MAT00263,76,17.22,2023-03-13,PL01
PO000072,2,MAT00006,243,400.41,2023-03-11,PL01
PO000072,3,MAT00323,264,389.98,2023-03-12,PL01
PO000073,1,MAT00278,357,266.09,2024-03-20,PL03
PO000073,2,MAT00255,438,627.33,2024-03-23,PL01
PO000073,3,MAT00113,42,85.52,2024-03-21,PL02
PO000074,1,MAT00103,483,381.63,2024-07-29,PL01
PO000075,1,MAT00186,13,12.64,2023-01-24,PL03
PO000076,1,MAT00076,364,89.46,2024-12-20,PL03
PO000076,2,MAT00035,132,610.25,2025-01-04,PL03
PO000077,1,MAT00267,433,510.42,2024-10-04,PL02
PO000077,2,MAT00270,12,366.05,2024-09-29,PL01
PO000077,3,MAT00265,281,635.1,2024-10-12,PL02
PO000078,1,MAT00226,404,410.19,2024-07-17,PL02
PO000078,2,MAT00397,67,519.43,2024-08-01,PL02
PO000079,1,MAT00114,37,422.0,2023-06-27,PL01
PO000080,1,MAT00297,32,75.04,2023-12-15,PL03
PO000080,2,MAT00229,412,26.66,2023-12-30,PL01
PO000081,1,MAT00088,224,135.6,2024-04-26,PL02
PO000081,2,MAT00188,176,154.24,2024-04-12,PL03
PO000082,1,MAT00089,251,383.63,2024-01-26,PL02
PO000083,1,MAT00111,378,132.65,2024-02-17,PL02
PO000083,2,MAT00129,75,28.6,2024-02-24,PL01
PO000084,1,MAT00310,224,117.91,2023-05-09,PL01
PO000084,2,MAT00218,305,630.83,2023-05-06,PL01
PO000085,1,MAT00358,152,17.31,2024-09-15,PL03
PO000085,2,MAT00229,177,286.79,2024-09-09,PL03
PO000086,1,MAT00002,250,478.89,2024-03-24,PL01
PO000087,1,MAT00266,424,520.33,2024-03-19,PL02
PO000087,2,MAT00359,52,366.55,2024-03-16,PL03
PO000088,1,MAT00028,341,649.33,2023-05-21,PL02
PO000089,1,MAT00011,392,382.71,2025-01-09,PL02
PO000089,2,MAT00239,104,515.09,2025-01-06,PL03
PO000089,3,MAT00131,450,410.73,2025-01-07,PL03
PO000090,1,MAT00003,367,615.39,2023-11-22,PL03
PO000090,2,MAT00184,327,573.5,2023-11-28,PL01
PO000091,1,MAT00231,326,34.24,2023-05-10,PL01
PO000091,2,MAT00244,80,637.96,2023-05-06,PL03
PO000092,1,MAT00219,117,491.54,2024-09-15,PL01
PO000092,2,MAT00350,151,42.96,2024-09-02,PL02
PO000092,3,MAT00193,373,349.48,2024-09-08,PL02
PO000093,1,MAT00184,54,59.47,2023-07-22,PL02
PO000093,2,MAT00267,94,185.16,2023-08-08,PL01
PO000094,1,MAT00323,287,606.17,2023-11-17,PL02
PO000094,2,MAT00320,387,421.89,2023-11-11,PL01
PO000094,3,MAT00344,456,522.88,2023-11-18,PL03
PO000095,1,MAT00172,412,217.49,2024-09-07,PL03
PO000095,2,MAT00112,165,372.18,2024-09-14,PL02
PO000095,3,MAT00315,126,318.88,2024-08-29,PL01
PO000096,1,MAT00152,326,601.29,2023-11-15,PL03
PO000097,1,MAT00065,473,435.8,2023-07-08,PL01
PO000097,2,MAT00395,304,89.2,2023-07-12,PL02
PO000097,3,MAT00112,186,102.98,2023-07-18,PL03
PO000098,1,MAT00281,403,101.34,2023-02-14,PL02
PO000098,2,MAT00244,388,358.63,2023-02-16,PL02
PO000099,1,MAT00339,351,102.43,2023-11-16,PL03
PO000099,2,MAT00324,474,600.11,2023-11-08,PL03
PO000099,3,MAT00282,67,477.71,2023-10-30,PL01
PO000100,1,MAT00259,22,265.85,2024-12-07,PL02
PO000100,2,MAT00270,177,43.33,2024-12-20,PL01
PO000101,1,MAT00080,444,293.98,2023-08-15,PL01
PO000101,2,MAT00104,272,261.22,2023-08-09,PL02
PO000101,3,MAT00375,318,396.46,2023-07-26,PL03
PO000102,1,MAT00192,447,282.55,2024-01-22,PL02
PO000102,2,MAT00379,186,233.57,2024-01-24,PL03
PO000102,3,MAT00277,382,577.97,2024-02-02,PL02
PO000103,1,MAT00107,383,583.51,2023-06-26,PL03
PO000103,2,MAT00117,165,312.7,2023-07-08,PL02
PO000104,1,MAT00092,222,120.28,2023-01-26,PL03
PO000104,2,MAT00062,105,542.33,2023-01-21,PL03
PO000105,1,MAT00363,262,367.06,2023-11-25,PL01
PO000105,2,MAT00381,144,200.71,2023-12-01,PL03
PO000106,1,MAT00390,340,165.13,2023-07-11,PL02
PO000106,2,MAT00389,316,486.65,2023-07-26,PL02
PO000106,3,MAT00328,331,448.36,2023-07-30,PL01
PO000107,1,MAT00059,84,213.24,2023-10-20,PL01
PO000108,1,MAT00080,335,593.57,2023-03-12,PL01
PO000108,2,MAT00386,281,418.2,2023-03-03,PL03
PO000109,1,MAT00289,288,215.11,2023-04-22,PL03
PO000110,1,MAT00255,59,351.1,2024-12-18,PL01
PO000110,2,MAT00060,275,188.67,2024-12-31,PL02
PO000111,1,MAT00210,267,149.95,2023-06-27,PL03
PO000112,1,MAT00288,443,349.61,2024-10-12,PL03
PO000112,2,MAT00294,245,596.09,2024-09-28,PL01
PO000112,3,MAT00073,188,208.03,2024-10-06,PL01
PO000113,1,MAT00261,391,530.96,2023-07-08,PL01
PO000114,1,MAT00035,50,280.72,2023-12-10,PL01
PO000115,1,MAT00298,397,284.86,2023-04-01,PL01
PO000115,2,MAT00127,26,517.14,2023-04-11,PL03
PO000116,1,MAT00337,32,50.53,2023-03-28,PL01
PO000116,2,MAT00056,481,394.35,2023-03-25,PL01
PO000117,1,MAT00066,492,186.08,2023-02-22,PL02
PO000117,2,MAT00286,190,111.08,2023-02-20,PL03
PO000117,3,MAT00367,323,163.25,2023-02-22,PL01
PO000118,1,MAT00369,280,147.31,2023-04-23,PL02
PO000119,1,MAT00371,253,243.27,2023-08-31,PL01
PO000119,2,MAT00108,235,440.4,2023-08-16,PL01
PO000119,3,MAT00070,437,235.8,2023-08-25,PL02
PO000120,1,MAT00294,67,496.82,2023-08-23,PL01
PO000120,2,MAT00149,276,95.26,2023-09-06,PL02
PO000121,1,MAT00080,207,190.08,2023-04-19,PL03
PO000122,1,MAT00139,447,282.75,2023-08-27,PL02
PO000122,2,MAT00066,16,649.18,2023-09-09,PL03
PO000123,1,MAT00027,53,84.54,2024-04-10,PL02
PO000123,2,MAT00370,43,241.5,2024-04-04,PL02
PO000123,3,MAT00102,72,157.5,2024-04-11,PL03
PO000124,1,MAT00176,149,493.55,2025-01-30,PL03
PO000124,2,MAT00363,351,395.23,2025-01-17,PL02
PO000124,3,MAT00398,65,86.45,2025-01-20,PL02
PO000125,1,MAT00200,265,443.34,2023-04-22,PL02
PO000126,1,MAT00262,399,57.12,2023-12-06,PL03
PO000127,1,MAT00004,261,332.08,2023-08-17,PL02
PO000127,2,MAT00200,230,573.04,2023-08-03,PL02
PO000128,1,MAT00099,26,121.55,2024-02-16,PL02
PO000129,1,MAT00176,209,320.95,2024-03-25,PL03
PO000129,2,MAT00034,355,322.94,2024-04-08,PL03
PO000129,3,MAT00027,286,375.36,2024-04-06,PL03
PO000130,1,MAT00147,144,325.59,2023-06-27,PL03
PO000130,2,MAT00356,174,47.43,2023-07-03,PL01
PO000131,1,MAT00088,23,499.25,2024-01-18,PL02
PO000131,2,MAT00054,192,272.46,2023-12-30,PL03
PO000131,3,MAT00210,313,62.53,2024-01-20,PL01
PO000132,1,MAT00400,29,303.9,2023-07-11,PL03
PO000132,2,MAT00383,273,586.71,2023-07-06,PL01
PO000133,1,MAT00327,172,250.51,2024-12-30,PL02
PO000134,1,MAT00398,182,326.9,2023-05-13,PL03
PO000135,1,MAT00394,113,327.04,2024-10-21,PL01
PO000135,2,MAT00218,145,38.52,2024-10-14,PL02
PO000136,1,MAT00295,149,51.19,2024-09-14,PL03
PO000136,2,MAT00381,253,282.2,2024-08-31,PL01
PO000137,1,MAT00229,421,200.54,2024-11-24,PL03
PO000137,2,MAT00067,138,409.23,2024-11-17,PL03
PO000137,3,MAT00280,331,459.54,2024-11-08,PL03
PO000138,1,MAT00170,446,501.77,2024-11-02,PL03
PO000138,2,MAT00023,196,304.92,2024-10-27,PL01
PO000138,3,MAT00252,220,212.58,2024-10-22,PL03
PO000139,1,MAT00179,92,172.64,2023-10-25,PL01
PO000139,2,MAT00184,108,25.79,2023-10-31,PL02
PO000139,3,MAT00037,341,589.43,2023-10-12,PL01
PO000140,1,MAT00233,339,555.32,2023-11-09,PL02
PO000141,1,MAT00249,453,48.82,2023-04-14,PL02
PO000141,2,MAT00321,492,547.16,2023-04-05,PL01
PO000142,1,MAT00118,496,505.62,2024-07-09,PL02
PO000142,2,MAT00376,131,393.09,2024-07-17,PL02
PO000142,3,MAT00191,422,488.46,2024-06-30,PL02
PO000143,1,MAT00001,235,270.18,2023-05-13,PL01
PO000143,2,MAT00295,368,617.07,2023-05-05,PL03
PO000144,1,MAT00188,460,511.5,2024-12-09,PL02
PO000144,2,MAT00284,430,205.85,2024-12-25,PL03
PO000145,1,MAT00195,132,170.42,2024-12-25,PL02
PO000145,2,MAT00150,337,623.35,2024-12-24,PL03
PO000145,3,MAT00045,72,351.41,2024-12-20,PL02
PO000146,1,MAT00209,484,635.87,2024-02-15,PL02
PO000146,2,MAT00077,56,609.12,2024-03-02,PL01
PO000147,1,MAT00265,478,289.74,2023-11-16,PL03
PO000148,1,MAT00022,251,481.12,2023-10-23,PL03
PO000148,2,MAT00155,367,175.54,2023-10-15,PL02
PO000149,1,MAT00141,338,419.9,2025-01-06,PL02
PO000150,1,MAT00043,112,411.37,2024-11-02,PL03
PO000150,2,MAT00361,52,79.15,2024-10-30,PL03
PO000151,1,MAT00109,400,91.52,2025-01-24,PL03
PO000151,2,MAT00213,220,516.88,2025-01-15,PL02
PO000151,3,MAT00227,254,568.79,2025-01-09,PL02
PO000152,1,MAT00367,419,188.91,2023-07-04,PL02
PO000152,2,MAT00121,211,570.64,2023-07-20,PL01
PO000153,1,MAT00022,127,590.19,2024-08-13,PL01
PO000153,2,MAT00331,35,265.46,2024-08-12,PL03
PO000153,3,MAT00299,55,623.06,2024-08-04,PL03
PO000154,1,MAT00391,433,440.46,2024-06-30,PL01
PO000154,2,MAT00144,494,561.36,2024-07-22,PL02
PO000155,1,MAT00073,317,146.39,2024-02-10,PL03
PO000156,1,MAT00221,219,516.76,2024-11-29,PL02
PO000157,1,MAT00106,199,382.22,2024-10-19,PL02
PO000158,1,MAT00109,364,263.23,2024-05-06,PL03
PO000158,2,MAT00031,206,462.83,2024-05-23,PL03
PO000159,1,MAT00020,40,41.46,2023-10-02,PL02
PO000159,2,MAT00011,475,235.46,2023-10-14,PL03
PO000159,3,MAT00057,420,392.06,2023-10-18,PL01
PO000160,1,MAT00150,205,202.21,2023-01-23,PL03
PO000160,2,MAT00309,466,367.24,2023-01-29,PL01
PO000160,3,MAT00090,267,324.4,2023-01-21,PL02
PO000161,1,MAT00042,82,175.18,2023-12-06,PL01
PO000161,2,MAT00236,456,632.9,2023-12-04,PL03
PO000162,1,MAT00329,323,540.6,2023-10-30,PL03
PO000162,2,MAT00200,170,287.77,2023-10-27,PL02
PO000163,1,MAT00042,294,555.65,2024-06-13,PL03
PO000164,1,MAT00313,28,309.9,2023-06-12,PL03
PO000165,1,MAT00214,30,291.46,2024-05-20,PL03
PO000165,2,MAT00108,262,80.22,2024-05-21,PL01
PO000166,1,MAT00018,102,544.04,2023-05-04,PL03
PO000166,2,MAT00260,308,648.72,2023-04-11,PL03
PO000167,1,MAT00342,356,68.54,2023-04-04,PL01
PO000167,2,MAT00054,211,247.82,2023-03-28,PL02
PO000168,1,MAT00313,347,316.07,2023-04-19,PL02
PO000168,2,MAT00231,32,429.26,2023-04-13,PL02
PO000168,3,MAT00332,451,39.25,2023-04-19,PL02
PO000169,1,MAT00387,205,67.42,2023-03-27,PL01
PO000169,2,MAT00117,55,21.17,2023-03-25,PL01
PO000169,3,MAT00301,155,423.48,2023-04-08,PL01
PO000170,1,MAT00228,422,599.73,2024-06-12,PL03
PO000170,2,MAT00220,272,136.32,2024-06-05,PL02
PO000170,3,MAT00255,397,279.27,2024-06-02,PL03
PO000171,1,MAT00313,356,151.96,2023-03-09,PL03
PO000171,2,MAT00194,279,412.18,2023-03-04,PL01
PO000172,1,MAT00344,163,103.41,2024-04-01,PL03
PO000172,2,MAT00226,472,200.86,2024-04-04,PL03
PO000173,1,MAT00376,292,57.13,2024-03-19,PL03
PO000174,1,MAT00060,378,372.96,2024-03-11,PL02
PO000174,2,MAT00399,140,383.93,2024-03-27,PL03
PO000174,3,MAT00035,18,81.15,2024-03-24,PL02
PO000175,1,MAT00245,33,61.47,2023-07-30,PL02
PO000175,2,MAT00319,329,526.63,2023-07-18,PL01
PO000176,1,MAT00050,19,11.75,2024-11-28,PL01
PO000176,2,MAT00283,97,429.02,2024-12-09,PL03
PO000176,3,MAT00073,217,565.76,2024-12-18,PL03
PO000177,1,MAT00036,194,451.41,2024-06-09,PL03
PO000177,2,MAT00138,54,88.31,2024-05-18,PL01
PO000177,3,MAT00077,366,631.07,2024-05-18,PL01
PO000178,1,MAT00373,449,515.19,2024-11-07,PL01
PO000178,2,MAT00300,85,312.3,2024-11-01,PL01
PO000178,3,MAT00307,388,459.07,2024-11-16,PL02
PO000179,1,MAT00144,301,540.51,2024-09-08,PL01
PO000179,2,MAT00252,62,412.72,2024-09-18,PL02
PO000180,1,MAT00291,158,31.77,2024-09-01,PL02
PO000180,2,MAT00052,375,46.97,2024-08-20,PL02
PO000180,3,MAT00351,147,581.23,2024-09-02,PL02
PO000181,1,MAT00044,239,455.8,2024-10-04,PL01
PO000181,2,MAT00303,157,474.23,2024-10-19,PL02
PO000182,1,MAT00184,310,591.62,2024-04-08,PL03
PO000183,1,MAT00048,223,542.84,2023-11-23,PL03
PO000183,2,MAT00186,419,631.34,2023-11-07,PL03
PO000184,1,MAT00357,257,90.88,2024-12-19,PL01
PO000184,2,MAT00091,416,275.06,2024-12-28,PL02
PO000184,3,MAT00349,295,38.21,2024-12-13,PL02
PO000185,1,MAT00345,26,525.98,2024-12-09,PL02
PO000185,2,MAT00198,71,368.79,2024-12-14,PL02
PO000185,3,MAT00216,403,37.97,2024-12-16,PL02
PO000186,1,MAT00267,419,301.48,2025-01-22,PL01
PO000186,2,MAT00165,64,509.82,2025-01-17,PL01
PO000187,1,MAT00147,95,412.41,2024-08-09,PL02
PO000188,1,MAT00244,236,497.18,2023-06-30,PL03
PO000188,2,MAT00339,341,241.52,2023-06-19,PL01
PO000188,3,MAT00169,222,501.84,2023-06-15,PL01
PO000189,1,MAT00247,146,247.1,2023-11-19,PL02
PO000190,1,MAT00036,225,513.39,2023-06-14,PL02
PO000190,2,MAT00095,497,555.23,2023-07-05,PL03
PO000190,3,MAT00052,84,502.44,2023-07-02,PL03
PO000191,1,MAT00286,232,47.46,2023-12-18,PL01
PO000192,1,MAT00364,458,341.7,2024-10-22,PL02
PO000192,2,MAT00013,215,576.67,2024-11-04,PL03
PO000192,3,MAT00351,457,203.38,2024-11-05,PL02
PO000193,1,MAT00399,470,346.84,2023-12-28,PL03
PO000193,2,MAT00190,216,294.45,2023-12-30,PL03
PO000194,1,MAT00181,236,455.78,2024-10-31,PL03
PO000194,2,MAT00352,53,31.73,2024-10-16,PL02
PO000194,3,MAT00065,119,67.59,2024-10-23,PL02
PO000195,1,MAT00011,313,174.08,2023-02-27,PL02
PO000195,2,MAT00270,440,247.45,2023-02-23,PL03
PO000195,3,MAT00305,239,199.29,2023-02-26,PL01
PO000196,1,MAT00265,411,531.28,2024-01-17,PL03
PO000196,2,MAT00320,276,481.48,2024-01-02,PL02
PO000196,3,MAT00317,242,70.91,2024-01-21,PL02
PO000197,1,MAT00274,253,145.89,2023-04-12,PL02
PO000198,1,MAT00001,296,341.16,2024-12-11,PL02
PO000198,2,MAT00212,235,450.35,2024-12-14,PL03
PO000198,3,MAT00254,83,332.71,2024-12-14,PL03
PO000199,1,MAT00397,70,453.85,2025-01-10,PL02
PO000199,2,MAT00132,493,366.9,2024-12-30,PL03
PO000199,3,MAT00111,71,245.27,2025-01-05,PL01
PO000200,1,MAT00157,165,196.74,2024-01-21,PL01
PO000200,2,MAT00249,34,609.44,2024-01-30,PL02
PO000201,1,MAT00177,188,51.38,2024-05-21,PL02
PO000201,2,MAT00070,256,375.9,2024-06-07,PL02
PO000201,3,MAT00311,470,224.88,2024-06-01,PL02
PO000202,1,MAT00327,268,416.61,2024-10-11,PL02
PO000203,1,MAT00288,176,65.34,2024-12-08,PL03
PO000203,2,MAT00320,129,585.96,2024-11-29,PL03
PO000203,3,MAT00019,386,186.07,2024-11-21,PL01
PO000204,1,MAT00374,296,62.67,2024-08-21,PL03
PO000204,2,MAT00343,394,313.49,2024-08-02,PL01
PO000204,3,MAT00292,150,513.1,2024-08-09,PL03
PO000205,1,MAT00360,311,36.88,2024-07-05,PL02
PO000205,2,MAT00251,222,23.44,2024-07-21,PL02
PO000206,1,MAT00069,287,115.96,2023-04-13,PL01
PO000207,1,MAT00131,167,619.29,2023-10-15,PL01
PO000208,1,MAT00316,209,71.39,2023-02-06,PL02
PO000208,2,MAT00277,202,612.49,2023-02-05,PL01
PO000209,1,MAT00365,270,491.03,2024-09-20,PL01
PO000209,2,MAT00284,172,306.42,2024-09-21,PL01
PO000210,1,MAT00159,147,363.72,2024-03-16,PL03
PO000211,1,MAT00232,165,372.81,2024-08-10,PL01
PO000212,1,MAT00370,410,165.39,2024-02-05,PL03
PO000213,1,MAT00123,158,427.26,2023-01-12,PL01
PO000213,2,MAT00357,316,169.07,2023-01-28,PL02
PO000213,3,MAT00351,33,111.63,2023-01-24,PL03
PO000214,1,MAT00077,381,365.26,2024-12-29,PL02
PO000215,1,MAT00142,462,445.91,2023-08-19,PL03
PO000215,2,MAT00387,149,165.89,2023-08-19,PL02
PO000216,1,MAT00162,78,423.02,2024-09-10,PL03
PO000216,2,MAT00245,471,14.15,2024-09-15,PL02
PO000216,3,MAT00205,285,60.1,2024-09-30,PL03
PO000217,1,MAT00013,190,632.05,2024-12-05,PL03
PO000218,1,MAT00057,14,88.1,2023-07-17,PL01
PO000218,2,MAT00336,398,188.49,2023-07-28,PL02
PO000218,3,MAT00393,129,637.24,2023-07-17,PL01
PO000219,1,MAT00220,212,79.23,2023-08-02,PL03
PO000219,2,MAT00138,266,325.16,2023-08-11,PL01
PO000219,3,MAT00174,347,482.32,2023-08-15,PL03
PO000220,1,MAT00375,311,90.33,2024-09-16,PL01
PO000221,1,MAT00093,108,552.2,2024-06-24,PL03
PO000221,2,MAT00200,11,610.13,2024-07-14,PL03
PO000222,1,MAT00282,150,86.14,2024-04-08,PL02
PO000222,2,MAT00252,34,186.43,2024-04-05,PL03
PO000223,1,MAT00210,423,24.29,2023-08-16,PL01
PO000223,2,MAT00144,479,168.49,2023-07-29,PL02
PO000223,3,MAT00012,330,409.44,2023-07-24,PL02
