gr_id,po_id,po_item,material_id,quantity_received,gr_date,plant,warehouse
GR000149,PO000091,2,MAT00244,80,2023-05-06,PL03,WH08
GR000150,PO000092,1,MAT00219,58,2024-09-17,PL01,WH07
GR000151,PO000092,2,MAT00350,86,2024-09-02,PL02,WH08
GR000152,PO000092,3,MAT00193,213,2024-09-10,PL02,WH02
GR000153,PO000093,1,MAT00184,47,2023-07-22,PL02,WH02
GR000154,PO000093,2,MAT00267,56,2023-08-09,PL01,WH01
GR000155,PO000094,1,MAT00323,287,2023-11-20,PL02,WH08
GR000156,PO000094,2,MAT00320,387,2023-11-11,PL01,WH01
GR000157,PO000094,3,MAT00344,456,2023-11-20,PL03,WH07
GR000158,PO000095,1,MAT00172,412,2024-09-10,PL03,WH08
GR000159,PO000095,2,MAT00112,165,2024-09-15,PL02,WH05
GR000160,PO000095,3,MAT00315,126,2024-08-30,PL01,WH06
GR000161,PO000096,1,MAT00152,326,2023-11-17,PL03,WH03
GR000162,PO000097,1,MAT00065,209,2023-07-08,PL01,WH06
GR000163,PO000097,2,MAT00395,125,2023-07-12,PL02,WH06
GR000164,PO000097,3,MAT00112,165,2023-07-20,PL03,WH02
GR000165,PO000098,1,MAT00281,403,2023-02-15,PL02,WH01
GR000166,PO000098,2,MAT00244,388,2023-02-18,PL02,WH08
GR000167,PO000100,1,MAT00259,22,2024-12-09,PL02,WH02
GR000168,PO000100,2,MAT00270,177,2024-12-21,PL01,WH05
GR000169,PO000102,1,MAT00192,447,2024-01-22,PL02,WH05
GR000170,PO000102,2,MAT00379,186,2024-01-24,PL03,WH04
GR000171,PO000102,3,MAT00277,382,2024-02-05,PL02,WH05
GR000172,PO000103,1,MAT00107,252,2023-06-27,PL03,WH04
GR000173,PO000103,2,MAT00117,56,2023-07-11,PL02,WH02
GR000174,PO000104,1,MAT00092,222,2023-01-27,PL03,WH04
GR000175,PO000104,2,MAT00062,105,2023-01-24,PL03,WH01
GR000176,PO000105,1,MAT00363,83,2023-11-25,PL01,WH03
GR000177,PO000105,2,MAT00381,84,2023-12-03,PL03,WH07
GR000178,PO000106,1,MAT00390,340,2023-07-14,PL02,WH02
GR000179,PO000106,2,MAT00389,316,2023-07-29,PL02,WH05
GR000180,PO000106,3,MAT00328,331,2023-08-01,PL01,WH01
GR000181,PO000107,1,MAT00059,84,2023-10-22,PL01,WH03
GR000182,PO000108,1,MAT00080,335,2023-03-14,PL01,WH05
GR000183,PO000108,2,MAT00386,281,2023-03-04,PL03,WH03
GR000184,PO000109,1,MAT00289,288,2023-04-24,PL03,WH05
GR000185,PO000110,1,MAT00255,59,2024-12-18,PL01,WH03
GR000186,PO000110,2,MAT00060,275,2025-01-03,PL02,WH06
GR000187,PO000112,1,MAT00288,443,2024-10-12,PL03,WH07
GR000188,PO000112,2,MAT00294,245,2024-09-28,PL01,WH08
GR000189,PO000112,3,MAT00073,188,2024-10-09,PL01,WH06
GR000190,PO000113,1,MAT00261,391,2023-07-09,PL01,WH04
GR000191,PO000116,1,MAT00337,32,2023-03-28,PL01,WH02
GR000192,PO000116,2,MAT00056,481,2023-03-26,PL01,WH06
GR000193,PO000118,1,MAT00369,113,2023-04-23,PL02,WH02
GR000194,PO000120,1,MAT00294,67,2023-08-26,PL01,WH02
GR000195,PO000120,2,MAT00149,276,2023-09-08,PL02,WH01
GR000196,PO000121,1,MAT00080,207,2023-04-21,PL03,WH08
GR000197,PO000122,1,MAT00139,447,2023-08-29,PL02,WH03
GR000198,PO000122,2,MAT00066,16,2023-09-09,PL03,WH07
GR000199,PO000123,1,MAT00027,53,2024-04-10,PL02,WH03
GR000200,PO000123,2,MAT00370,43,2024-04-05,PL02,WH07
GR000201,PO000123,3,MAT00102,72,2024-04-14,PL03,WH05
GR000202,PO000124,1,MAT00176,129,2025-02-01,PL03,WH08
GR000203,PO000124,2,MAT00363,213,2025-01-18,PL02,WH08
GR000204,PO000124,3,MAT00398,29,2025-01-21,PL02,WH01
GR000205,PO000125,1,MAT00200,265,2023-04-24,PL02,WH03
GR000206,PO000126,1,MAT00262,399,2023-12-09,PL03,WH08
GR000207,PO000127,1,MAT00004,261,2023-08-17,PL02,WH01
GR000208,PO000127,2,MAT00200,230,2023-08-06,PL02,WH06
GR000209,PO000128,1,MAT00099,26,2024-02-17,PL02,WH08
GR000210,PO000130,1,MAT00147,144,2023-06-29,PL03,WH05
GR000211,PO000130,2,MAT00356,174,2023-07-04,PL01,WH06
GR000212,PO000131,1,MAT00088,12,2024-01-21,PL02,WH06
GR000213,PO000131,2,MAT00054,86,2023-12-31,PL03,WH05
GR000214,PO000131,3,MAT00210,257,2024-01-20,PL01,WH06
GR000215,PO000133,1,MAT00327,172,2024-12-30,PL02,WH08
GR000216,PO000134,1,MAT00398,182,2023-05-15,PL03,WH03
GR000217,PO000135,1,MAT00394,113,2024-10-22,PL01,WH05
GR000218,PO000135,2,MAT00218,145,2024-10-15,PL02,WH02
GR000219,PO000137,1,MAT00229,205,2024-11-27,PL03,WH07
GR000220,PO000137,2,MAT00067,105,2024-11-18,PL03,WH01
GR000221,PO000137,3,MAT00280,198,2024-11-11,PL03,WH05
GR000222,PO000138,1,MAT00170,446,2024-11-02,PL03,WH04
GR000223,PO000138,2,MAT00023,196,2024-10-29,PL01,WH07
GR000224,PO000138,3,MAT00252,220,2024-10-23,PL03,WH07
GR000225,PO000139,1,MAT00179,50,2023-10-25,PL01,WH03
GR000226,PO000139,2,MAT00184,62,2023-11-03,PL02,WH07
GR000227,PO000139,3,MAT00037,158,2023-10-12,PL01,WH05
GR000228,PO000140,1,MAT00233,339,2023-11-09,PL02,WH01
GR000229,PO000141,1,MAT00249,453,2023-04-14,PL02,WH07
GR000230,PO000141,2,MAT00321,492,2023-04-05,PL01,WH02
GR000231,PO000142,1,MAT00118,496,2024-07-12,PL02,WH02
GR000232,PO000142,2,MAT00376,131,2024-07-19,PL02,WH07
GR000233,PO000142,3,MAT00191,422,2024-07-01,PL02,WH03
GR000234,PO000143,1,MAT00001,235,2023-05-16,PL01,WH06
GR000235,PO000143,2,MAT00295,368,2023-05-08,PL03,WH08
GR000236,PO000144,1,MAT00188,460,2024-12-12,PL02,WH06
GR000237,PO000144,2,MAT00284,430,2024-12-25,PL03,WH01
GR000238,PO000147,1,MAT00265,478,2023-11-19,PL03,WH01
GR000239,PO000148,1,MAT00022,139,2023-10-23,PL03,WH03
GR000240,PO000148,2,MAT00155,203,2023-10-17,PL02,WH08
GR000241,PO000152,1,MAT00367,419,2023-07-06,PL02,WH03
GR000242,PO000152,2,MAT00121,211,2023-07-20,PL01,WH01
GR000243,PO000153,1,MAT00022,127,2024-08-15,PL01,WH03
GR000244,PO000153,2,MAT00331,35,2024-08-14,PL03,WH03
GR000245,PO000153,3,MAT00299,55,2024-08-04,PL03,WH01
GR000246,PO000154,1,MAT00391,433,2024-07-01,PL01,WH04
GR000247,PO000154,2,MAT00144,494,2024-07-24,PL02,WH08
GR000248,PO000156,1,MAT00221,219,2024-12-01,PL02,WH04
GR000249,PO000157,1,MAT00106,199,2024-10-19,PL02,WH01
GR000250,PO000160,1,MAT00150,205,2023-01-25,PL03,WH03
GR000251,PO000160,2,MAT00309,466,2023-01-31,PL01,WH03
GR000252,PO000160,3,MAT00090,267,2023-01-22,PL02,WH02
GR000253,PO000161,1,MAT00042,82,2023-12-07,PL01,WH08
GR000254,PO000161,2,MAT00236,456,2023-12-06,PL03,WH07
GR000255,PO000163,1,MAT00042,229,2024-06-13,PL03,WH04
GR000256,PO000165,1,MAT00214,30,2024-05-23,PL03,WH08
GR000257,PO000165,2,MAT00108,262,2024-05-21,PL01,WH06
GR000258,PO000166,1,MAT00018,102,2023-05-06,PL03,WH04
GR000259,PO000166,2,MAT00260,308,2023-04-12,PL03,WH07
GR000260,PO000167,1,MAT00342,356,2023-04-06,PL01,WH02
GR000261,PO000167,2,MAT00054,211,2023-03-29,PL02,WH01
GR000262,PO000168,1,MAT00313,347,2023-04-19,PL02,WH06
GR000263,PO000168,2,MAT00231,32,2023-04-14,PL02,WH04
GR000264,PO000168,3,MAT00332,451,2023-04-21,PL02,WH01
GR000265,PO000169,1,MAT00387,205,2023-03-28,PL01,WH07
GR000266,PO000169,2,MAT00117,55,2023-03-28,PL01,WH07
GR000267,PO000169,3,MAT00301,155,2023-04-08,PL01,WH05
GR000268,PO000170,1,MAT00228,160,2024-06-12,PL03,WH06
GR000269,PO000170,2,MAT00220,159,2024-06-08,PL02,WH02
GR000270,PO000170,3,MAT00255,163,2024-06-05,PL03,WH02
GR000271,PO000171,1,MAT00313,356,2023-03-10,PL03,WH08
GR000272,PO000171,2,MAT00194,279,2023-03-06,PL01,WH08
GR000273,PO000173,1,MAT00376,292,2024-03-19,PL03,WH07
GR000274,PO000175,1,MAT00245,16,2023-08-02,PL02,WH08
GR000275,PO000175,2,MAT00319,140,2023-07-18,PL01,WH05
GR000276,PO000177,1,MAT00036,194,2024-06-12,PL03,WH05
GR000277,PO000177,2,MAT00138,54,2024-05-18,PL01,WH01
GR000278,PO000177,3,MAT00077,366,2024-05-21,PL01,WH03
GR000279,PO000178,1,MAT00373,449,2024-11-09,PL01,WH08
GR000280,PO000178,2,MAT00300,85,2024-11-02,PL01,WH03
GR000281,PO000178,3,MAT00307,388,2024-11-16,PL02,WH08
GR000282,PO000179,1,MAT00144,301,2024-09-10,PL01,WH01
GR000283,PO000179,2,MAT00252,62,2024-09-21,PL02,WH08
GR000284,PO000180,1,MAT00291,158,2024-09-04,PL02,WH04
GR000285,PO000180,2,MAT00052,375,2024-08-22,PL02,WH02
GR000286,PO000180,3,MAT00351,147,2024-09-02,PL02,WH08
GR000287,PO000182,1,MAT00184,310,2024-04-11,PL03,WH03
GR000288,PO000183,1,MAT00048,223,2023-11-25,PL03,WH08
GR000289,PO000183,2,MAT00186,419,2023-11-08,PL03,WH05
GR000290,PO000184,1,MAT00357,257,2024-12-22,PL01,WH02
GR000291,PO000184,2,MAT00091,416,2024-12-29,PL02,WH04
GR000292,PO000184,3,MAT00349,295,2024-12-15,PL02,WH06
GR000293,PO000185,1,MAT00345,26,2024-12-09,PL02,WH04
GR000294,PO000185,2,MAT00198,71,2024-12-16,PL02,WH06
GR000295,PO000185,3,MAT00216,403,2024-12-17,PL02,WH02
GR000296,PO000188,1,MAT00244,236,2023-06-30,PL03,WH03
GR000297,PO000188,2,MAT00339,341,2023-06-20,PL01,WH08
GR000298,PO000188,3,MAT00169,222,2023-06-18,PL01,WH06
GR000299,PO000189,1,MAT00247,146,2023-11-21,PL02,WH04
GR000300,PO000190,1,MAT00036,123,2023-06-17,PL02,WH08
GR000301,PO000190,2,MAT00095,257,2023-07-05,PL03,WH08
GR000302,PO000190,3,MAT00052,73,2023-07-02,PL03,WH06
GR000303,PO000191,1,MAT00286,232,2023-12-19,PL01,WH01
GR000304,PO000194,1,MAT00181,128,2024-11-01,PL03,WH05
GR000305,PO000194,2,MAT00352,39,2024-10-17,PL02,WH05
GR000306,PO000194,3,MAT00065,73,2024-10-24,PL02,WH01
GR000307,PO000195,1,MAT00011,230,2023-02-27,PL02,WH01
GR000308,PO000195,2,MAT00270,226,2023-02-23,PL03,WH02
GR000309,PO000195,3,MAT00305,137,2023-02-27,PL01,WH04
GR000310,PO000196,1,MAT00265,411,2024-01-18,PL03,WH07
GR000311,PO000196,2,MAT00320,276,2024-01-03,PL02,WH06
GR000312,PO000196,3,MAT00317,242,2024-01-24,PL02,WH02
GR000313,PO000198,1,MAT00001,296,2024-12-14,PL02,WH07
GR000314,PO000198,2,MAT00212,235,2024-12-17,PL03,WH03
GR000315,PO000198,3,MAT00254,83,2024-12-17,PL03,WH03
GR000316,PO000199,1,MAT00397,70,2025-01-10,PL02,WH03
GR000317,PO000199,2,MAT00132,493,2025-01-02,PL03,WH02
GR000318,PO000199,3,MAT00111,71,2025-01-06,PL01,WH02
GR000319,PO000200,1,MAT00157,165,2024-01-22,PL01,WH07
GR000320,PO000200,2,MAT00249,34,2024-01-31,PL02,WH03
GR000321,PO000203,1,MAT00288,176,2024-12-11,PL03,WH07
GR000322,PO000203,2,MAT00320,129,2024-11-29,PL03,WH08
GR000323,PO000203,3,MAT00019,386,2024-11-21,PL01,WH05
GR000324,PO000204,1,MAT00374,296,2024-08-21,PL03,WH04
GR000325,PO000204,2,MAT00343,394,2024-08-03,PL01,WH01
GR000326,PO000204,3,MAT00292,150,2024-08-12,PL03,WH02
GR000327,PO000205,1,MAT00360,311,2024-07-08,PL02,WH03
GR000328,PO000205,2,MAT00251,222,2024-07-24,PL02,WH05
GR000329,PO000207,1,MAT00131,56,2023-10-17,PL01,WH03
GR000330,PO000208,1,MAT00316,209,2023-02-08,PL02,WH05
GR000331,PO000208,2,MAT00277,202,2023-02-06,PL01,WH04
GR000332,PO000209,1,MAT00365,270,2024-09-22,PL01,WH01
GR000333,PO000209,2,MAT00284,172,2024-09-24,PL01,WH01
GR000334,PO000210,1,MAT00159,147,2024-03-16,PL03,WH04
GR000335,PO000211,1,MAT00232,165,2024-08-11,PL01,WH03
GR000336,PO000212,1,MAT00370,410,2024-02-08,PL03,WH01
GR000337,PO000213,1,MAT00123,53,2023-01-15,PL01,WH05
GR000338,PO000213,2,MAT00357,284,2023-01-29,PL02,WH05
GR000339,PO000213,3,MAT00351,11,2023-01-24,PL03,WH07
GR000340,PO000215,1,MAT00142,462,2023-08-21,PL03,WH08
GR000341,PO000215,2,MAT00387,149,2023-08-20,PL02,WH08
GR000342,PO000216,1,MAT00162,78,2024-09-13,PL03,WH01
GR000343,PO000216,2,MAT00245,471,2024-09-18,PL02,WH07
GR000344,PO000216,3,MAT00205,285,2024-09-30,PL03,WH01
GR000345,PO000217,1,MAT00013,190,2024-12-07,PL03,WH07
GR000346,PO000218,1,MAT00057,8,2023-07-18,PL01,WH01
GR000347,PO000218,2,MAT00336,165,2023-07-30,PL02,WH04
GR000348,PO000218,3,MAT00393,60,2023-07-18,PL01,WH01
GR000349,PO000220,1,MAT00375,311,2024-09-18,PL01,WH04
GR000350,PO000221,1,MAT00093,108,2024-06-26,PL03,WH08
GR000351,PO000221,2,MAT00200,11,2024-07-14,PL03,WH06
GR000352,PO000222,1,MAT00282,90,2024-04-08,PL02,WH04
GR000353,PO000222,2,MAT00252,19,2024-04-05,PL03,WH07
GR000354,PO000223,1,MAT00210,423,2023-08-19,PL01,WH02
GR000355,PO000223,2,MAT00144,479,2023-07-31,PL02,WH02
GR000356,PO000223,3,MAT00012,330,2023-07-27,PL02,WH01
GR000357,PO000224,1,MAT00300,195,2024-09-08,PL02,WH01
GR000358,PO000224,2,MAT00069,372,2024-10-01,PL01,WH02
GR000359,PO000225,1,MAT00152,53,2024-10-10,PL02,WH02
GR000360,PO000227,1,MAT00163,215,2023-03-25,PL02,WH01
GR000361,PO000227,2,MAT00360,242,2023-03-25,PL02,WH06
GR000362,PO000230,1,MAT00338,80,2024-10-05,PL01,WH07
GR000363,PO000232,1,MAT00345,275,2023-11-21,PL01,WH04
GR000364,PO000233,1,MAT00152,398,2024-06-20,PL01,WH02
GR000365,PO000233,2,MAT00184,132,2024-06-26,PL03,WH06
GR000366,PO000233,3,MAT00064,214,2024-06-20,PL03,WH03
GR000367,PO000234,1,MAT00136,263,2023-04-24,PL03,WH04
GR000368,PO000235,1,MAT00286,256,2024-05-10,PL03,WH04
GR000369,PO000236,1,MAT00332,195,2024-03-01,PL01,WH03
GR000370,PO000237,1,MAT00165,309,2023-11-10,PL01,WH04
GR000371,PO000237,2,MAT00376,111,2023-11-07,PL02,WH06
GR000372,PO000237,3,MAT00182,443,2023-11-04,PL01,WH03
GR000373,PO000239,1,MAT00289,166,2023-05-11,PL02,WH07
GR000374,PO000241,1,MAT00308,201,2023-08-04,PL03,WH01
GR000375,PO000241,2,MAT00319,400,2023-07-29,PL03,WH03
GR000376,PO000241,3,MAT00121,177,2023-08-11,PL02,WH08
GR000377,PO000242,1,MAT00091,414,2023-08-13,PL01,WH06
GR000378,PO000242,2,MAT00096,265,2023-08-15,PL02,WH08
GR000379,PO000243,1,MAT00150,215,2024-06-20,PL03,WH04
GR000380,PO000243,2,MAT00285,122,2024-06-12,PL01,WH04
GR000381,PO000243,3,MAT00348,166,2024-06-08,PL03,WH06
GR000382,PO000244,1,MAT00200,394,2023-10-09,PL03,WH04
GR000383,PO000246,1,MAT00113,48,2024-04-04,PL02,WH05
GR000384,PO000246,2,MAT00287,484,2024-04-07,PL01,WH01
GR000385,PO000246,3,MAT00056,289,2024-04-10,PL03,WH05
GR000386,PO000247,1,MAT00066,442,2023-12-04,PL03,WH05
GR000387,PO000247,2,MAT00369,14,2023-11-23,PL02,WH07
GR000388,PO000247,3,MAT00043,430,2023-12-04,PL01,WH03
GR000389,PO000248,1,MAT00207,393,2024-02-27,PL03,WH08
GR000390,PO000248,2,MAT00105,184,2024-03-01,PL01,WH07
GR000391,PO000248,3,MAT00239,117,2024-03-07,PL01,WH03
GR000392,PO000249,1,MAT00119,394,2024-09-05,PL03,WH04
GR000393,PO000249,2,MAT00400,170,2024-09-14,PL02,WH06
GR000394,PO000251,1,MAT00251,263,2024-10-23,PL01,WH07
GR000395,PO000251,2,MAT00010,93,2024-10-23,PL03,WH02
GR000396,PO000251,3,MAT00341,31,2024-10-31,PL01,WH01
GR000397,PO000252,1,MAT00229,155,2023-07-25,PL03,WH08
