material_id,product_id,material_type,base_unit,material_group,standard_price
MAT00097,PROD00097,HALB,EA,computers_accessories,564.03
MAT00098,PROD00098,HALB,EA,fashion_bags_accessories,614.52
MAT00099,PROD00099,HALB,EA,housewares,406.68
MAT00100,PROD00100,FERT,EA,office_furniture,676.58
MAT00101,PROD00101,FERT,EA,air_conditioning,541.28
MAT00102,PROD00102,HALB,EA,computers,673.25
MAT00103,PROD00103,FERT,EA,costruction_tools_garden,327.9
MAT00104,PROD00104,FERT,EA,books_general_interest,28.87
MAT00105,PROD00105,FERT,EA,furniture_bedroom,56.61
MAT00106,PROD00106,FERT,EA,fashion_shoes,696.0
MAT00107,PROD00107,FERT,EA,auto,168.65
MAT00108,PROD00108,FERT,EA,furniture_living_room,669.26
MAT00109,PROD00109,FERT,EA,bed_bath_table,16.71
MAT00110,PROD00110,HALB,EA,watches_gifts,181.3
MAT00111,PROD00111,FERT,EA,computers_accessories,474.85
MAT00112,PROD00112,HALB,EA,industry_commerce_and_business,62.46
MAT00113,PROD00113,HALB,EA,industry_commerce_and_business,338.82
MAT00114,PROD00114,FERT,EA,fashion_male_clothing,627.08
MAT00115,PROD00115,FERT,EA,health_beauty,663.51
MAT00116,PROD00116,FERT,EA,market_place,637.85
MAT00117,PROD00117,FERT,EA,computers,147.77
MAT00118,PROD00118,HALB,EA,small_appliances,612.19
MAT00119,PROD00119,FERT,EA,watches_gifts,149.91
MAT00120,PROD00120,FERT,EA,books_general_interest,436.83
MAT00121,PROD00121,FERT,EA,signaling_and_security,83.62
MAT00122,PROD00122,HALB,EA,home_appliances,476.31
MAT00123,PROD00123,FERT,EA,small_appliances,433.54
MAT00124,PROD00124,HALB,EA,garden_tools,383.62
MAT00125,PROD00125,FERT,EA,pet_shop,342.78
MAT00126,PROD00126,FERT,EA,market_place,349.71
MAT00127,PROD00127,HALB,EA,fashion_underwear_beach,628.93
MAT00128,PROD00128,HALB,EA,furniture_living_room,348.66
MAT00129,PROD00129,HALB,EA,watches_gifts,642.04
MAT00130,PROD00130,FERT,EA,watches_gifts,163.24
MAT00131,PROD00131,FERT,EA,telephony,47.36
MAT00132,PROD00132,HALB,EA,construction_tools_construction,340.04
MAT00133,PROD00133,FERT,EA,perfumery,356.71
MAT00134,PROD00134,FERT,EA,perfumery,483.57
MAT00135,PROD00135,FERT,EA,watches_gifts,683.79
MAT00136,PROD00136,FERT,EA,home_confort,327.45
MAT00137,PROD00137,FERT,EA,signaling_and_security,18.16
MAT00138,PROD00138,FERT,EA,furniture_decor,410.9
MAT00139,PROD00139,FERT,EA,fashion_underwear_beach,432.82
MAT00140,PROD00140,FERT,EA,home_confort,388.51
MAT00141,PROD00141,FERT,EA,furniture_decor,335.23
MAT00142,PROD00142,FERT,EA,furniture_living_room,262.49
MAT00143,PROD00143,FERT,EA,market_place,155.27
MAT00144,PROD00144,HALB,EA,perfumery,266.89
MAT00145,PROD00145,HALB,EA,computers_accessories,202.94
MAT00146,PROD00146,FERT,EA,furniture_decor,100.49
MAT00147,PROD00147,FERT,EA,sports_leisure,167.71
MAT00148,PROD00148,FERT,EA,market_place,196.26
MAT00149,PROD00149,FERT,EA,fashion_male_clothing,308.23
MAT00150,PROD00150,FERT,EA,luggage_accessories,110.63
MAT00151,PROD00151,HALB,EA,furniture_bedroom,113.19
MAT00152,PROD00152,HALB,EA,computers_accessories,131.86
MAT00153,PROD00153,FERT,EA,home_confort,696.94
MAT00154,PROD00154,HALB,EA,auto,366.73
MAT00155,PROD00155,HALB,EA,stationery,551.88
MAT00156,PROD00156,FERT,EA,furniture_decor,397.88
MAT00157,PROD00157,FERT,EA,furniture_bedroom,284.9
MAT00158,PROD00158,FERT,EA,pet_shop,51.43
MAT00159,PROD00159,HALB,EA,industry_commerce_and_business,338.81
MAT00160,PROD00160,FERT,EA,costruction_tools_garden,320.4
MAT00161,PROD00161,FERT,EA,books_general_interest,259.06
MAT00162,PROD00162,FERT,EA,luggage_accessories,652.97
MAT00163,PROD00163,FERT,EA,health_beauty,23.69
MAT00164,PROD00164,FERT,EA,garden_tools,608.48
MAT00165,PROD00165,HALB,EA,health_beauty,147.28
MAT00166,PROD00166,FERT,EA,furniture_living_room,457.9
MAT00167,PROD00167,FERT,EA,home_confort,548.41
MAT00168,PROD00168,FERT,EA,auto,474.5
MAT00169,PROD00169,FERT,EA,musical_instruments,518.2
MAT00170,PROD00170,HALB,EA,fashion_bags_accessories,272.94
MAT00171,PROD00171,FERT,EA,construction_tools_construction,445.88
MAT00172,PROD00172,FERT,EA,books_general_interest,125.63
MAT00173,PROD00173,HALB,EA,cine_photo,242.8
MAT00174,PROD00174,FERT,EA,pet_shop,404.43
MAT00175,PROD00175,HALB,EA,furniture_living_room,59.23
MAT00176,PROD00176,FERT,EA,small_appliances,167.47
MAT00177,PROD00177,FERT,EA,fashion_bags_accessories,211.04
MAT00178,PROD00178,FERT,EA,stationery,454.8
MAT00179,PROD00179,FERT,EA,furniture_decor,316.98
MAT00180,PROD00180,HALB,EA,computers,260.58
MAT00181,PROD00181,FERT,EA,fashion_shoes,676.21
MAT00182,PROD00182,FERT,EA,food_drink,136.88
MAT00183,PROD00183,FERT,EA,baby,512.16
MAT00184,PROD00184,FERT,EA,toys,658.9
MAT00185,PROD00185,HALB,EA,signaling_and_security,65.24
MAT00186,PROD00186,FERT,EA,computers_accessories,81.08
MAT00187,PROD00187,FERT,EA,office_furniture,616.3
MAT00188,PROD00188,FERT,EA,telephony,28.19
MAT00189,PROD00189,FERT,EA,costruction_tools_garden,537.85
MAT00190,PROD00190,FERT,EA,fashion_shoes,191.09
MAT00191,PROD00191,FERT,EA,auto,461.83
MAT00192,PROD00192,HALB,EA,fashion_shoes,223.47
MAT00193,PROD00193,FERT,EA,books_general_interest,206.08
MAT00194,PROD00194,FERT,EA,watches_gifts,100.58
MAT00195,PROD00195,HALB,EA,auto,29.71
MAT00196,PROD00196,FERT,EA,costruction_tools_garden,603.65
MAT00197,PROD00197,FERT,EA,furniture_living_room,338.55
MAT00198,PROD00198,HALB,EA,furniture_bedroom,383.0
MAT00199,PROD00199,FERT,EA,small_appliances,316.94
MAT00200,PROD00200,HALB,EA,books_general_interest,491.36
MAT00201,PROD00201,FERT,EA,watches_gifts,422.33
MAT00202,PROD00202,FERT,EA,fashion_underwear_beach,448.74
MAT00203,PROD00203,FERT,EA,garden_tools,371.19
MAT00204,PROD00204,FERT,EA,furniture_living_room,223.67
MAT00205,PROD00205,FERT,EA,pet_shop,382.37
MAT00206,PROD00206,HALB,EA,watches_gifts,314.88
MAT00207,PROD00207,FERT,EA,small_appliances,189.27
MAT00208,PROD00208,FERT,EA,industry_commerce_and_business,10.06
MAT00209,PROD00209,HALB,EA,fashion_underwear_beach,595.08
MAT00210,PROD00210,FERT,EA,computers,333.75
MAT00211,PROD00211,FERT,EA,housewares,646.24
MAT00212,PROD00212,HALB,EA,books_general_interest,339.18
MAT00213,PROD00213,FERT,EA,fashion_underwear_beach,307.0
MAT00214,PROD00214,FERT,EA,luggage_accessories,169.54
MAT00215,PROD00215,FERT,EA,garden_tools,267.81
MAT00216,PROD00216,FERT,EA,baby,396.78
MAT00217,PROD00217,FERT,EA,garden_tools,122.66
MAT00218,PROD00218,HALB,EA,home_appliances,278.91
MAT00219,PROD00219,FERT,EA,industry_commerce_and_business,191.46
MAT00220,PROD00220,FERT,EA,office_furniture,175.3
MAT00221,PROD00221,HALB,EA,stationery,637.87
MAT00222,PROD00222,HALB,EA,telephony,482.4
MAT00223,PROD00223,FERT,EA,fashion_shoes,522.62
MAT00224,PROD00224,HALB,EA,fashion_shoes,294.9
MAT00225,PROD00225,HALB,EA,air_conditioning,135.86
MAT00226,PROD00226,FERT,EA,electronics,449.46
MAT00227,PROD00227,FERT,EA,signaling_and_security,197.77
MAT00228,PROD00228,FERT,EA,auto,139.57
MAT00229,PROD00229,FERT,EA,home_appliances,44.25
MAT00230,PROD00230,FERT,EA,perfumery,138.3
MAT00231,PROD00231,FERT,EA,musical_instruments,195.74
MAT00232,PROD00232,HALB,EA,watches_gifts,511.7
MAT00233,PROD00233,FERT,EA,health_beauty,113.97
MAT00234,PROD00234,FERT,EA,air_conditioning,245.92
MAT00235,PROD00235,FERT,EA,health_beauty,561.63
MAT00236,PROD00236,HALB,EA,perfumery,329.94
MAT00237,PROD00237,HALB,EA,pet_shop,237.87
MAT00238,PROD00238,HALB,EA,luggage_accessories,666.63
MAT00239,PROD00239,FERT,EA,market_place,545.2
MAT00240,PROD00240,FERT,EA,food_drink,334.4
MAT00241,PROD00241,FERT,EA,electronics,590.66
MAT00242,PROD00242,HALB,EA,toys,581.49
MAT00243,PROD00243,FERT,EA,cine_photo,540.02
MAT00244,PROD00244,FERT,EA,signaling_and_security,542.15
MAT00245,PROD00245,FERT,EA,toys,518.96
MAT00246,PROD00246,FERT,EA,industry_commerce_and_business,327.98
MAT00247,PROD00247,HALB,EA,small_appliances,369.59
MAT00248,PROD00248,HALB,EA,auto,336.25
MAT00249,PROD00249,FERT,EA,sports_leisure,225.36
MAT00250,PROD00250,FERT,EA,fashion_shoes,444.12
MAT00251,PROD00251,FERT,EA,fashion_underwear_beach,656.82
MAT00252,PROD00252,FERT,EA,office_furniture,184.79
MAT00253,PROD00253,FERT,EA,market_place,147.12
MAT00254,PROD00254,HALB,EA,bed_bath_table,605.92
MAT00255,PROD00255,FERT,EA,consoles_games,87.92
MAT00256,PROD00256,FERT,EA,watches_gifts,233.91
MAT00257,PROD00257,FERT,EA,costruction_tools_garden,200.51
MAT00258,PROD00258,FERT,EA,cine_photo,554.51
MAT00259,PROD00259,FERT,EA,perfumery,38.98
MAT00260,PROD00260,HALB,EA,garden_tools,337.94
MAT00261,PROD00261,FERT,EA,luggage_accessories,266.27
MAT00262,PROD00262,FERT,EA,electronics,118.81
MAT00263,PROD00263,FERT,EA,construction_tools_construction,436.86
MAT00264,PROD00264,HALB,EA,market_place,697.91
MAT00265,PROD00265,FERT,EA,luggage_accessories,51.24
MAT00266,PROD00266,FERT,EA,housewares,493.92
MAT00267,PROD00267,HALB,EA,costruction_tools_garden,96.82
MAT00268,PROD00268,FERT,EA,home_appliances,687.36
MAT00269,PROD00269,HALB,EA,baby,532.12
MAT00270,PROD00270,HALB,EA,perfumery,312.72
MAT00271,PROD00271,FERT,EA,watches_gifts,485.58
MAT00272,PROD00272,FERT,EA,pet_shop,102.97
MAT00273,PROD00273,HALB,EA,computers_accessories,344.86
MAT00274,PROD00274,FERT,EA,garden_tools,213.35
MAT00275,PROD00275,FERT,EA,toys,140.95
MAT00276,PROD00276,FERT,EA,furniture_bedroom,249.89
MAT00277,PROD00277,HALB,EA,furniture_living_room,199.97
MAT00278,PROD00278,HALB,EA,bed_bath_table,640.99
MAT00279,PROD00279,FERT,EA,toys,57.52
MAT00280,PROD00280,FERT,EA,perfumery,214.01
MAT00281,PROD00281,FERT,EA,pet_shop,263.31
MAT00282,PROD00282,FERT,EA,signaling_and_security,450.24
MAT00283,PROD00283,FERT,EA,construction_tools_construction,138.02
MAT00284,PROD00284,FERT,EA,food_drink,601.21
MAT00285,PROD00285,HALB,EA,consoles_games,174.76
MAT00286,PROD00286,HALB,EA,construction_tools_construction,464.22
MAT00287,PROD00287,FERT,EA,fashion_bags_accessories,277.37
MAT00288,PROD00288,FERT,EA,food_drink,353.31
MAT00289,PROD00289,FERT,EA,toys,433.0
MAT00290,PROD00290,FERT,EA,musical_instruments,452.22
MAT00291,PROD00291,FERT,EA,baby,371.01
MAT00292,PROD00292,FERT,EA,auto,586.28
MAT00293,PROD00293,FERT,EA,cine_photo,612.71
MAT00294,PROD00294,FERT,EA,market_place,344.91
MAT00295,PROD00295,FERT,EA,books_general_interest,404.0
MAT00296,PROD00296,HALB,EA,signaling_and_security,463.97
MAT00297,PROD00297,FERT,EA,fashion_male_clothing,493.91
MAT00298,PROD00298,FERT,EA,watches_gifts,262.78
MAT00299,PROD00299,FERT,EA,cool_stuff,58.9
MAT00300,PROD00300,HALB,EA,signaling_and_security,154.03
MAT00301,PROD00301,FERT,EA,home_appliances,623.94
MAT00302,PROD00302,FERT,EA,garden_tools,562.7
MAT00303,PROD00303,FERT,EA,housewares,395.03
MAT00304,PROD00304,HALB,EA,watches_gifts,297.01
MAT00305,PROD00305,FERT,EA,stationery,498.82
MAT00306,PROD00306,HALB,EA,office_furniture,193.41
MAT00307,PROD00307,FERT,EA,cine_photo,58.57
MAT00308,PROD00308,FERT,EA,small_appliances,661.78
MAT00309,PROD00309,HALB,EA,industry_commerce_and_business,77.01
MAT00310,PROD00310,HALB,EA,luggage_accessories,376.85
MAT00311,PROD00311,FERT,EA,market_place,373.07
MAT00312,PROD00312,FERT,EA,watches_gifts,441.47
MAT00313,PROD00313,FERT,EA,cool_stuff,526.94
MAT00314,PROD00314,FERT,EA,air_conditioning,82.8
MAT00315,PROD00315,FERT,EA,furniture_bedroom,256.99
MAT00316,PROD00316,FERT,EA,garden_tools,469.02
MAT00317,PROD00317,HALB,EA,cine_photo,125.1
MAT00318,PROD00318,FERT,EA,sports_leisure,287.07
MAT00319,PROD00319,FERT,EA,fashion_bags_accessories,119.14
MAT00320,PROD00320,HALB,EA,office_furniture,315.68
MAT00321,PROD00321,FERT,EA,sports_leisure,227.46
MAT00322,PROD00322,HALB,EA,garden_tools,234.01
MAT00323,PROD00323,FERT,EA,industry_commerce_and_business,537.29
MAT00324,PROD00324,FERT,EA,signaling_and_security,510.85
MAT00325,PROD00325,FERT,EA,fashion_male_clothing,398.57
MAT00326,PROD00326,FERT,EA,consoles_games,538.34
MAT00327,PROD00327,HALB,EA,housewares,185.32
MAT00328,PROD00328,HALB,EA,small_appliances,318.77
MAT00329,PROD00329,FERT,EA,computers,511.16
MAT00330,PROD00330,HALB,EA,air_conditioning,421.08
MAT00331,PROD00331,FERT,EA,health_beauty,695.45
MAT00332,PROD00332,FERT,EA,construction_tools_construction,217.23
MAT00333,PROD00333,FERT,EA,furniture_decor,600.45
MAT00334,PROD00334,FERT,EA,home_confort,577.14
MAT00335,PROD00335,FERT,EA,furniture_bedroom,200.41
MAT00336,PROD00336,FERT,EA,fashion_bags_accessories,393.86
MAT00337,PROD00337,HALB,EA,baby,116.75
MAT00338,PROD00338,FERT,EA,health_beauty,255.4
MAT00339,PROD00339,FERT,EA,health_beauty,263.29
MAT00340,PROD00340,FERT,EA,luggage_accessories,170.77
MAT00341,PROD00341,HALB,EA,signaling_and_security,73.41
MAT00342,PROD00342,FERT,EA,baby,643.34
MAT00343,PROD00343,HALB,EA,construction_tools_construction,509.27
MAT00344,PROD00344,HALB,EA,office_furniture,129.3
MAT00345,PROD00345,HALB,EA,musical_instruments,485.82
MAT00346,PROD00346,FERT,EA,fashion_shoes,636.28
MAT00347,PROD00347,FERT,EA,furniture_living_room,217.27
MAT00348,PROD00348,HALB,EA,construction_tools_construction,407.64
MAT00349,PROD00349,FERT,EA,food_drink,48.59
MAT00350,PROD00350,HALB,EA,books_general_interest,250.07
MAT00351,PROD00351,HALB,EA,auto,297.4
MAT00352,PROD00352,HALB,EA,stationery,610.15
MAT00353,PROD00353,FERT,EA,telephony,460.42
MAT00354,PROD00354,FERT,EA,sports_leisure,17.89
MAT00355,PROD00355,HALB,EA,fashion_shoes,273.92
MAT00356,PROD00356,FERT,EA,furniture_bedroom,38.42
MAT00357,PROD00357,FERT,EA,air_conditioning,113.21
MAT00358,PROD00358,FERT,EA,fashion_bags_accessories,162.35
MAT00359,PROD00359,FERT,EA,stationery,514.79
MAT00360,PROD00360,FERT,EA,industry_commerce_and_business,317.48
MAT00361,PROD00361,FERT,EA,furniture_bedroom,358.26
MAT00362,PROD00362,FERT,EA,fashion_underwear_beach,209.95
MAT00363,PROD00363,FERT,EA,consoles_games,101.21
MAT00364,PROD00364,FERT,EA,toys,404.29
MAT00365,PROD00365,FERT,EA,electronics,285.44
MAT00366,PROD00366,FERT,EA,food_drink,356.26
MAT00367,PROD00367,HALB,EA,toys,99.96
MAT00368,PROD00368,FERT,EA,cool_stuff,395.91
MAT00369,PROD00369,FERT,EA,furniture_decor,460.05
MAT00370,PROD00370,FERT,EA,fashion_male_clothing,435.04
MAT00371,PROD00371,HALB,EA,bed_bath_table,179.91
MAT00372,PROD00372,FERT,EA,watches_gifts,545.97
MAT00373,PROD00373,FERT,EA,housewares,647.66
MAT00374,PROD00374,FERT,EA,stationery,473.51
MAT00375,PROD00375,FERT,EA,costruction_tools_garden,250.33
MAT00376,PROD00376,FERT,EA,computers_accessories,419.78
MAT00377,PROD00377,FERT,EA,watches_gifts,220.33
MAT00378,PROD00378,HALB,EA,furniture_bedroom,435.19
MAT00379,PROD00379,HALB,EA,fashion_male_clothing,315.12
MAT00380,PROD00380,FERT,EA,perfumery,40.97
MAT00381,PROD00381,HALB,EA,pet_shop,147.78
MAT00382,PROD00382,FERT,EA,office_furniture,532.84
MAT00383,PROD00383,HALB,EA,costruction_tools_garden,87.54
MAT00384,PROD00384,FERT,EA,construction_tools_construction,664.77
MAT00385,PROD00385,HALB,EA,consoles_games,609.44
MAT00386,PROD00386,HALB,EA,electronics,19.48
MAT00387,PROD00387,FERT,EA,consoles_games,86.78
MAT00388,PROD00388,FERT,EA,cool_stuff,25.7
MAT00389,PROD00389,FERT,EA,fashion_male_clothing,381.22
MAT00390,PROD00390,FERT,EA,toys,371.05
MAT00391,PROD00391,FERT,EA,signaling_and_security,343.29
MAT00392,PROD00392,HALB,EA,auto,107.53
MAT00393,PROD00393,FERT,EA,food_drink,22.69
MAT00394,PROD00394,FERT,EA,perfumery,467.83
MAT00395,PROD00395,FERT,EA,cool_stuff,127.52
MAT00396,PROD00396,FERT,EA,stationery,554.54
MAT00397,PROD00397,FERT,EA,musical_instruments,46.63
MAT00398,PROD00398,FERT,EA,auto,15.75
MAT00399,PROD00399,FERT,EA,signaling_and_security,197.2
MAT00400,PROD00400,HALB,EA,home_confort,465.47
