vendor_id,vendor_name,seller_id,country,payment_terms,currency
VEND00056,Patton-Jenkins,SELL00056,BR,NET60,BRL
VEND00057,"Shields, Cochran and Adams",SELL00057,BR,NET15,BRL
VEND00058,"Rodriguez, Brennan and Garrison",SELL00058,BR,NET15,BRL
VEND00059,Gonzalez Group,SELL00059,BR,NET60,BRL
VEND00060,Torres-Pope,SELL00060,BR,NET60,BRL
VEND00061,Walker Ltd,SELL00061,BR,NET45,BRL
VEND00062,Ross LLC,SELL00062,BR,NET60,BRL
VEND00063,Rasmussen LLC,SELL00063,BR,NET60,BRL
VEND00064,May-Ross,SELL00064,BR,NET15,BRL
VEND00065,"Rivera, Johnson and Wiley",SELL00065,BR,NET45,BRL
VEND00066,White-Estes,SELL00066,BR,NET30,BRL
VEND00067,Johnson-Carlson,SELL00067,BR,NET60,BRL
VEND00068,Chandler-Edwards,SELL00068,BR,NET45,BRL
VEND00069,"Joyce, Wilson and Lam",SELL00069,BR,NET45,BRL
VEND00070,Scott Ltd,SELL00070,BR,NET15,BRL
VEND00071,Smith-Frost,SELL00071,BR,NET60,BRL
VEND00072,"Mcdaniel, Bentley and Mclaughlin",SELL00072,BR,NET60,BRL
VEND00073,Diaz Inc,SELL00073,BR,NET45,BRL
VEND00074,"Mccall, Hanson and Alvarado",SELL00074,BR,NET60,BRL
VEND00075,Cortez LLC,SELL00075,BR,NET15,BRL
VEND00076,"Parker, Ortiz and Powell",SELL00076,BR,NET15,BRL
VEND00077,Spencer-Lee,SELL00077,BR,NET15,BRL
VEND00078,"Bentley, Byrd and Orr",SELL00078,BR,NET60,BRL
VEND00079,"Carroll, Sullivan and Bass",SELL00079,BR,NET60,BRL
VEND00080,Mitchell-Jordan,SELL00080,BR,NET15,BRL
VEND00081,"Lawson, Morris and Ramos",SELL00081,BR,NET30,BRL
VEND00082,"Lewis, Kennedy and Santana",SELL00082,BR,NET45,BRL
VEND00083,"Jackson, Miller and Robertson",SELL00083,BR,NET30,BRL
VEND00084,"Harvey, Davis and Crane",SELL00084,BR,NET60,BRL
VEND00085,Chambers and Sons,SELL00085,BR,NET45,BRL
VEND00086,Hernandez Inc,SELL00086,BR,NET45,BRL
VEND00087,Riggs PLC,SELL00087,BR,NET60,BRL
VEND00088,Gibson Ltd,SELL00088,BR,NET30,BRL
VEND00089,"Lee, Horton and Snyder",SELL00089,BR,NET30,BRL
VEND00090,Hernandez Ltd,SELL00090,BR,NET30,BRL
VEND00091,Stafford Inc,SELL00091,BR,NET30,BRL
VEND00092,Robinson-Brock,SELL00092,BR,NET15,BRL
VEND00093,"Holmes, Williams and Wright",SELL00093,BR,NET45,BRL
VEND00094,Bryant Group,SELL00094,BR,NET30,BRL
VEND00095,"Schmidt, Hansen and Stewart",SELL00095,BR,NET60,BRL
VEND00096,Salazar-Ball,SELL00096,BR,NET15,BRL
VEND00097,"Simmons, Meadows and Griffin",SELL00097,BR,NET45,BRL
VEND00098,Manning Group,SELL00098,BR,NET60,BRL
VEND00099,Green-Wright,SELL00099,BR,NET15,BRL
VEND00100,"Ramirez, Strickland and Washington",SELL00100,BR,NET45,BRL
VEND00101,Hill Inc,SELL00101,BR,NET60,BRL
VEND00102,"Mitchell, Nelson and Flores",SELL00102,BR,NET45,BRL
VEND00103,"Miller, Hernandez and Reyes",SELL00103,BR,NET15,BRL
VEND00104,Mccarthy Inc,SELL00104,BR,NET30,BRL
VEND00105,Russell-Daniels,SELL00105,BR,NET15,BRL
VEND00106,Brown-Wall,SELL00106,BR,NET60,BRL
VEND00107,Stein-Silva,SELL00107,BR,NET30,BRL
VEND00108,"Smith, Gilmore and Johnston",SELL00108,BR,NET45,BRL
VEND00109,Smith-Bell,SELL00109,BR,NET45,BRL
VEND00110,Castaneda-Ashley,SELL00110,BR,NET45,BRL
VEND00111,Medina-Navarro,SELL00111,BR,NET15,BRL
VEND00112,"Hurst, Freeman and Nelson",SELL00112,BR,NET45,BRL
VEND00113,Johnson-Rogers,SELL00113,BR,NET45,BRL
VEND00114,"Yates, Ramsey and Pittman",SELL00114,BR,NET45,BRL
VEND00115,Hooper PLC,SELL00115,BR,NET15,BRL
VEND00116,Meadows PLC,SELL00116,BR,NET60,BRL
VEND00117,"Alvarado, Miller and Patterson",SELL00117,BR,NET30,BRL
VEND00118,White-Green,SELL00118,BR,NET45,BRL
VEND00119,Lewis-Murphy,SELL00119,BR,NET15,BRL
VEND00120,Ramirez-Bean,SELL00120,BR,NET45,BRL
VEND00121,King-Miller,SELL00121,BR,NET30,BRL
VEND00122,Curry Inc,SELL00122,BR,NET60,BRL
VEND00123,Walker-Jones,SELL00123,BR,NET60,BRL
VEND00124,"Williams, Johnson and Wright",SELL00124,BR,NET45,BRL
VEND00125,Howell and Sons,SELL00125,BR,NET30,BRL
VEND00126,Wells Inc,SELL00126,BR,NET45,BRL
VEND00127,"Gould, Marshall and Scott",SELL00127,BR,NET60,BRL
VEND00128,Jackson-Lawson,SELL00128,BR,NET15,BRL
VEND00129,"Higgins, Strickland and Martin",SELL00129,BR,NET15,BRL
VEND00130,Rodriguez-Johnson,SELL00130,BR,NET15,BRL
VEND00131,Johnston-Odonnell,SELL00131,BR,NET30,BRL
VEND00132,Sanders-Espinoza,SELL00132,BR,NET30,BRL
VEND00133,Vargas Ltd,SELL00133,BR,NET60,BRL
VEND00134,Garcia LLC,SELL00134,BR,NET30,BRL
VEND00135,"Burke, Martinez and Riggs",SELL00135,BR,NET60,BRL
VEND00136,Reed Group,SELL00136,BR,NET60,BRL
VEND00137,"Wood, Hunter and Peterson",SELL00137,BR,NET45,BRL
VEND00138,Short-Garcia,SELL00138,BR,NET15,BRL
VEND00139,Reid-Poole,SELL00139,BR,NET15,BRL
VEND00140,"Hernandez, Thompson and Boyd",SELL00140,BR,NET60,BRL
VEND00141,"Nelson, Morton and Medina",SELL00141,BR,NET30,BRL
VEND00142,Marshall-Petersen,SELL00142,BR,NET60,BRL
VEND00143,"Adams, Christian and Rivas",SELL00143,BR,NET15,BRL
VEND00144,Ramirez Group,SELL00144,BR,NET45,BRL
VEND00145,Christensen PLC,SELL00145,BR,NET15,BRL
VEND00146,"Barnett, Rogers and Snyder",SELL00146,BR,NET60,BRL
VEND00147,White-Lewis,SELL00147,BR,NET60,BRL
VEND00148,Peterson-Beard,SELL00148,BR,NET15,BRL
VEND00149,"Beard, Peters and Black",SELL00149,BR,NET15,BRL
VEND00150,Miller Ltd,SELL00150,BR,NET30,BRL
