bom_id,material_id,component_material_id,quantity,unit
BOM000127,MAT00084,MAT00175,3.25,EA
BOM000128,MAT00084,MAT00170,9.31,EA
BOM000129,MAT00086,MAT00254,8.27,EA
BOM000130,MAT00086,MAT00344,8.7,EA
BOM000131,MAT00087,MAT00224,1.46,EA
BOM000132,MAT00089,MAT00021,8.52,EA
BOM000133,MAT00089,MAT00132,9.72,EA
BOM000134,MAT00089,MAT00277,9.34,EA
BOM000135,MAT00091,MAT00151,2.5,EA
BOM000136,MAT00092,MAT00088,5.33,EA
BOM000137,MAT00092,MAT00048,8.78,EA
BOM000138,MAT00093,MAT00350,2.48,EA
BOM000139,MAT00094,MAT00350,9.87,EA
BOM000140,MAT00095,MAT00351,9.34,EA
BOM000141,MAT00095,MAT00344,8.07,EA
BOM000142,MAT00096,MAT00145,4.81,EA
BOM000143,MAT00096,MAT00371,9.62,EA
BOM000144,MAT00100,MAT00277,6.96,EA
BOM000145,MAT00100,MAT00378,5.38,EA
BOM000146,MAT00100,MAT00102,2.71,EA
BOM000147,MAT00101,MAT00017,9.72,EA
BOM000148,MAT00103,MAT00128,7.62,EA
BOM000149,MAT00103,MAT00097,1.55,EA
BOM000150,MAT00103,MAT00337,3.82,EA
BOM000151,MAT00104,MAT00212,6.26,EA
BOM000152,MAT00105,MAT00273,9.27,EA
BOM000153,MAT00105,MAT00036,5.78,EA
BOM000154,MAT00105,MAT00267,1.51,EA
BOM000155,MAT00106,MAT00022,1.72,EA
BOM000156,MAT00106,MAT00385,2.67,EA
BOM000157,MAT00106,MAT00337,6.36,EA
BOM000158,MAT00107,MAT00005,8.76,EA
BOM000159,MAT00107,MAT00367,4.63,EA
BOM000160,MAT00107,MAT00351,9.47,EA
BOM000161,MAT00108,MAT00159,3.22,EA
BOM000162,MAT00108,MAT00236,6.35,EA
BOM000163,MAT00108,MAT00198,6.57,EA
BOM000164,MAT00109,MAT00088,6.92,EA
BOM000165,MAT00109,MAT00352,6.09,EA
BOM000166,MAT00111,MAT00165,9.41,EA
BOM000167,MAT00111,MAT00218,2.84,EA
BOM000168,MAT00114,MAT00285,3.83,EA
BOM000169,MAT00114,MAT00322,3.39,EA
BOM000170,MAT00114,MAT00267,2.18,EA
BOM000171,MAT00115,MAT00350,3.7,EA
BOM000172,MAT00115,MAT00127,3.85,EA
BOM000173,MAT00115,MAT00260,7.77,EA
BOM000174,MAT00116,MAT00099,1.08,EA
BOM000175,MAT00117,MAT00209,9.99,EA
BOM000176,MAT00117,MAT00061,9.96,EA
BOM000177,MAT00117,MAT00015,1.66,EA
BOM000178,MAT00119,MAT00155,5.55,EA
BOM000179,MAT00120,MAT00022,9.4,EA
BOM000180,MAT00121,MAT00337,8.91,EA
BOM000181,MAT00123,MAT00022,3.56,EA
BOM000182,MAT00123,MAT00345,4.94,EA
BOM000183,MAT00125,MAT00144,7.33,EA
BOM000184,MAT00125,MAT00237,6.51,EA
BOM000185,MAT00125,MAT00330,9.89,EA
BOM000186,MAT00126,MAT00129,5.76,EA
BOM000187,MAT00126,MAT00074,7.01,EA
BOM000188,MAT00126,MAT00218,5.99,EA
BOM000189,MAT00130,MAT00383,1.93,EA
BOM000190,MAT00130,MAT00309,8.9,EA
BOM000191,MAT00130,MAT00155,3.38,EA
BOM000192,MAT00131,MAT00222,7.68,EA
BOM000193,MAT00133,MAT00328,3.45,EA
BOM000194,MAT00134,MAT00021,2.9,EA
BOM000195,MAT00134,MAT00212,4.09,EA
BOM000196,MAT00134,MAT00165,7.19,EA
BOM000197,MAT00135,MAT00348,5.55,EA
BOM000198,MAT00135,MAT00225,3.26,EA
BOM000199,MAT00136,MAT00151,1.83,EA
BOM000200,MAT00137,MAT00144,8.46,EA
BOM000201,MAT00137,MAT00022,1.4,EA
BOM000202,MAT00138,MAT00352,7.94,EA
BOM000203,MAT00138,MAT00062,6.73,EA
BOM000204,MAT00139,MAT00209,2.45,EA
BOM000205,MAT00139,MAT00386,4.98,EA
BOM000206,MAT00140,MAT00151,4.85,EA
BOM000207,MAT00140,MAT00224,1.09,EA
BOM000208,MAT00140,MAT00296,1.68,EA
BOM000209,MAT00141,MAT00062,9.14,EA
BOM000210,MAT00141,MAT00155,5.91,EA
BOM000211,MAT00141,MAT00277,8.51,EA
BOM000212,MAT00142,MAT00122,5.97,EA
BOM000213,MAT00142,MAT00005,4.87,EA
BOM000214,MAT00142,MAT00310,1.38,EA
BOM000215,MAT00143,MAT00040,9.09,EA
BOM000216,MAT00143,MAT00124,8.17,EA
BOM000217,MAT00146,MAT00270,9.09,EA
BOM000218,MAT00147,MAT00145,7.14,EA
BOM000219,MAT00148,MAT00254,1.93,EA
BOM000220,MAT00148,MAT00345,8.02,EA
BOM000221,MAT00148,MAT00378,8.96,EA
BOM000222,MAT00149,MAT00007,9.76,EA
BOM000223,MAT00149,MAT00355,7.75,EA
BOM000224,MAT00150,MAT00098,8.78,EA
BOM000225,MAT00153,MAT00099,8.93,EA
BOM000226,MAT00156,MAT00351,2.61,EA
BOM000227,MAT00157,MAT00260,8.04,EA
BOM000228,MAT00157,MAT00367,4.71,EA
BOM000229,MAT00158,MAT00386,8.78,EA
BOM000230,MAT00158,MAT00098,8.3,EA
BOM000231,MAT00158,MAT00222,3.4,EA
BOM000232,MAT00160,MAT00242,1.97,EA
BOM000233,MAT00160,MAT00343,8.85,EA
BOM000234,MAT00160,MAT00320,8.73,EA
BOM000235,MAT00161,MAT00248,2.8,EA
BOM000236,MAT00162,MAT00110,4.15,EA
BOM000237,MAT00162,MAT00022,8.38,EA
BOM000238,MAT00163,MAT00099,3.01,EA
BOM000239,MAT00164,MAT00098,2.74,EA
BOM000240,MAT00164,MAT00277,3.95,EA
BOM000241,MAT00164,MAT00154,8.78,EA
BOM000242,MAT00166,MAT00328,4.16,EA
BOM000243,MAT00166,MAT00195,5.58,EA
BOM000244,MAT00167,MAT00330,9.83,EA
BOM000245,MAT00167,MAT00306,5.83,EA
BOM000246,MAT00167,MAT00285,9.45,EA
BOM000247,MAT00168,MAT00224,8.89,EA
BOM000248,MAT00169,MAT00392,2.61,EA
BOM000249,MAT00169,MAT00236,9.66,EA
BOM000250,MAT00171,MAT00110,1.34,EA
BOM000251,MAT00171,MAT00379,6.37,EA
BOM000252,MAT00172,MAT00170,7.56,EA
BOM000253,MAT00172,MAT00221,3.82,EA
BOM000254,MAT00174,MAT00232,9.86,EA
BOM000255,MAT00174,MAT00264,2.04,EA
BOM000256,MAT00174,MAT00122,9.1,EA
BOM000257,MAT00176,MAT00320,3.29,EA
BOM000258,MAT00177,MAT00328,4.92,EA
BOM000259,MAT00177,MAT00036,5.68,EA
BOM000260,MAT00177,MAT00062,8.26,EA
BOM000261,MAT00178,MAT00345,7.47,EA
BOM000262,MAT00178,MAT00054,7.68,EA
BOM000263,MAT00178,MAT00040,7.04,EA
BOM000264,MAT00179,MAT00042,4.88,EA
BOM000265,MAT00179,MAT00383,9.54,EA
BOM000266,MAT00181,MAT00040,6.61,EA
BOM000267,MAT00181,MAT00062,6.97,EA
BOM000268,MAT00182,MAT00042,7.48,EA
BOM000269,MAT00183,MAT00077,5.56,EA
BOM000270,MAT00183,MAT00154,7.0,EA
BOM000271,MAT00184,MAT00264,4.62,EA
BOM000272,MAT00184,MAT00015,3.66,EA
BOM000273,MAT00186,MAT00317,2.73,EA
BOM000274,MAT00187,MAT00054,9.46,EA
BOM000275,MAT00187,MAT00343,7.1,EA
BOM000276,MAT00187,MAT00277,9.13,EA
BOM000277,MAT00188,MAT00085,6.12,EA
BOM000278,MAT00188,MAT00015,4.65,EA
BOM000279,MAT00188,MAT00273,8.5,EA
BOM000280,MAT00189,MAT00310,3.58,EA
BOM000281,MAT00189,MAT00327,4.87,EA
BOM000282,MAT00190,MAT00022,6.46,EA
BOM000283,MAT00190,MAT00102,3.9,EA
BOM000284,MAT00190,MAT00077,4.98,EA
BOM000285,MAT00191,MAT00400,2.92,EA
BOM000286,MAT00191,MAT00344,5.26,EA
BOM000287,MAT00191,MAT00112,9.11,EA
BOM000288,MAT00193,MAT00386,2.53,EA
BOM000289,MAT00193,MAT00320,1.76,EA
BOM000290,MAT00193,MAT00129,5.64,EA
BOM000291,MAT00194,MAT00367,6.57,EA
BOM000292,MAT00194,MAT00144,1.84,EA
BOM000293,MAT00194,MAT00102,9.57,EA
BOM000294,MAT00196,MAT00155,7.06,EA
BOM000295,MAT00197,MAT00198,8.26,EA
BOM000296,MAT00199,MAT00015,1.22,EA
BOM000297,MAT00201,MAT00367,9.86,EA
BOM000298,MAT00202,MAT00132,8.65,EA
BOM000299,MAT00202,MAT00200,1.66,EA
BOM000300,MAT00202,MAT00278,4.73,EA
BOM000301,MAT00203,MAT00200,6.18,EA
BOM000302,MAT00203,MAT00337,7.47,EA
BOM000303,MAT00203,MAT00152,4.46,EA
BOM000304,MAT00204,MAT00248,3.2,EA
BOM000305,MAT00204,MAT00350,6.9,EA
BOM000306,MAT00205,MAT00022,9.03,EA
BOM000307,MAT00207,MAT00355,8.01,EA
BOM000308,MAT00208,MAT00054,2.58,EA
BOM000309,MAT00210,MAT00170,5.66,EA
BOM000310,MAT00210,MAT00007,1.45,EA
BOM000311,MAT00210,MAT00344,3.24,EA
BOM000312,MAT00211,MAT00005,5.11,EA
BOM000313,MAT00213,MAT00378,7.01,EA
BOM000314,MAT00213,MAT00097,9.89,EA
BOM000315,MAT00214,MAT00118,3.86,EA
BOM000316,MAT00214,MAT00122,7.8,EA
BOM000317,MAT00214,MAT00225,4.98,EA
BOM000318,MAT00215,MAT00048,9.03,EA
BOM000319,MAT00215,MAT00383,4.84,EA
BOM000320,MAT00215,MAT00343,9.16,EA
BOM000321,MAT00216,MAT00118,9.07,EA
BOM000322,MAT00216,MAT00170,7.69,EA
BOM000323,MAT00217,MAT00017,5.05,EA
BOM000324,MAT00217,MAT00062,7.77,EA
BOM000325,MAT00219,MAT00077,3.5,EA
BOM000326,MAT00219,MAT00015,8.0,EA
BOM000327,MAT00219,MAT00113,5.36,EA
BOM000328,MAT00220,MAT00378,3.47,EA
BOM000329,MAT00223,MAT00269,7.42,EA
BOM000330,MAT00226,MAT00048,3.45,EA
BOM000331,MAT00227,MAT00212,9.04,EA
BOM000332,MAT00227,MAT00306,1.73,EA
BOM000333,MAT00228,MAT00144,3.08,EA
BOM000334,MAT00229,MAT00159,2.38,EA
BOM000335,MAT00229,MAT00152,2.93,EA
BOM000336,MAT00229,MAT00151,4.73,EA
BOM000337,MAT00230,MAT00273,5.88,EA
BOM000338,MAT00230,MAT00264,4.74,EA
BOM000339,MAT00231,MAT00200,8.5,EA
BOM000340,MAT00233,MAT00110,9.14,EA
BOM000341,MAT00233,MAT00344,6.26,EA
BOM000342,MAT00234,MAT00124,1.18,EA
BOM000343,MAT00234,MAT00097,8.93,EA
BOM000344,MAT00234,MAT00378,6.18,EA
BOM000345,MAT00235,MAT00113,1.05,EA
BOM000346,MAT00235,MAT00267,4.17,EA
BOM000347,MAT00239,MAT00173,8.68,EA
BOM000348,MAT00239,MAT00345,9.58,EA
BOM000349,MAT00240,MAT00236,5.84,EA
BOM000350,MAT00240,MAT00221,7.61,EA
BOM000351,MAT00241,MAT00224,9.08,EA
BOM000352,MAT00241,MAT00020,5.39,EA
BOM000353,MAT00241,MAT00341,3.46,EA
BOM000354,MAT00243,MAT00310,1.26,EA
BOM000355,MAT00243,MAT00175,4.03,EA
BOM000356,MAT00244,MAT00110,8.18,EA
BOM000357,MAT00244,MAT00350,7.52,EA
BOM000358,MAT00244,MAT00327,8.56,EA
BOM000359,MAT00245,MAT00350,9.83,EA
BOM000360,MAT00246,MAT00020,1.24,EA
BOM000361,MAT00246,MAT00304,4.55,EA
BOM000362,MAT00246,MAT00090,6.08,EA
BOM000363,MAT00249,MAT00304,1.76,EA
BOM000364,MAT00250,MAT00170,2.22,EA
BOM000365,MAT00250,MAT00269,5.16,EA
BOM000366,MAT00251,MAT00074,3.34,EA
BOM000367,MAT00252,MAT00159,2.9,EA
BOM000368,MAT00252,MAT00343,3.94,EA
BOM000369,MAT00253,MAT00352,3.5,EA
BOM000370,MAT00253,MAT00277,9.56,EA
BOM000371,MAT00255,MAT00269,3.27,EA
BOM000372,MAT00255,MAT00074,1.74,EA
BOM000373,MAT00256,MAT00352,7.74,EA
BOM000374,MAT00257,MAT00317,10.0,EA
BOM000375,MAT00258,MAT00400,3.02,EA
BOM000376,MAT00258,MAT00225,1.62,EA
BOM000377,MAT00259,MAT00122,1.36,EA
BOM000378,MAT00259,MAT00218,1.28,EA
BOM000379,MAT00259,MAT00154,3.23,EA
BOM000380,MAT00261,MAT00224,6.59,EA
BOM000381,MAT00262,MAT00270,2.14,EA
BOM000382,MAT00263,MAT00198,2.03,EA
BOM000383,MAT00263,MAT00400,9.53,EA
BOM000384,MAT00263,MAT00152,5.19,EA
BOM000385,MAT00265,MAT00061,7.9,EA
BOM000386,MAT00265,MAT00330,2.51,EA
BOM000387,MAT00266,MAT00180,9.67,EA
BOM000388,MAT00266,MAT00247,7.47,EA
BOM000389,MAT00266,MAT00254,8.0,EA
BOM000390,MAT00268,MAT00112,9.68,EA
BOM000391,MAT00271,MAT00306,6.21,EA
BOM000392,MAT00272,MAT00090,6.18,EA
BOM000393,MAT00272,MAT00232,9.17,EA
BOM000394,MAT00274,MAT00236,4.57,EA
BOM000395,MAT00274,MAT00110,7.44,EA
BOM000396,MAT00275,MAT00124,6.33,EA
BOM000397,MAT00276,MAT00221,3.19,EA
BOM000398,MAT00276,MAT00020,7.27,EA
BOM000399,MAT00276,MAT00348,3.71,EA
BOM000400,MAT00279,MAT00341,6.4,EA
BOM000401,MAT00279,MAT00063,2.09,EA
BOM000402,MAT00279,MAT00088,9.85,EA
BOM000403,MAT00280,MAT00112,4.12,EA
BOM000404,MAT00281,MAT00400,6.95,EA
BOM000405,MAT00281,MAT00063,1.62,EA
BOM000406,MAT00282,MAT00022,4.07,EA
BOM000407,MAT00282,MAT00145,8.65,EA
BOM000408,MAT00282,MAT00350,8.4,EA
BOM000409,MAT00283,MAT00232,4.9,EA
BOM000410,MAT00284,MAT00328,6.72,EA
BOM000411,MAT00284,MAT00063,8.46,EA
BOM000412,MAT00287,MAT00221,2.38,EA
BOM000413,MAT00287,MAT00048,2.59,EA
BOM000414,MAT00287,MAT00285,5.7,EA
BOM000415,MAT00288,MAT00122,3.43,EA
BOM000416,MAT00288,MAT00378,8.27,EA
BOM000417,MAT00288,MAT00159,5.84,EA
BOM000418,MAT00289,MAT00383,5.18,EA
BOM000419,MAT00289,MAT00378,8.43,EA
BOM000420,MAT00290,MAT00304,3.42,EA
BOM000421,MAT00290,MAT00273,8.67,EA
BOM000422,MAT00290,MAT00175,8.48,EA
BOM000423,MAT00291,MAT00122,3.51,EA
BOM000424,MAT00292,MAT00165,3.19,EA
BOM000425,MAT00292,MAT00077,5.18,EA
BOM000426,MAT00293,MAT00118,7.01,EA
BOM000427,MAT00293,MAT00185,4.03,EA
BOM000428,MAT00293,MAT00099,5.45,EA
BOM000429,MAT00294,MAT00110,2.64,EA
BOM000430,MAT00294,MAT00074,2.91,EA
BOM000431,MAT00295,MAT00102,4.06,EA
BOM000432,MAT00295,MAT00209,8.92,EA
BOM000433,MAT00297,MAT00063,8.92,EA
BOM000434,MAT00297,MAT00022,6.0,EA
BOM000435,MAT00297,MAT00020,5.65,EA
BOM000436,MAT00298,MAT00242,1.77,EA
BOM000437,MAT00299,MAT00269,4.66,EA
BOM000438,MAT00299,MAT00097,6.0,EA
BOM000439,MAT00299,MAT00351,3.16,EA
BOM000440,MAT00301,MAT00090,6.81,EA
BOM000441,MAT00301,MAT00098,5.42,EA
BOM000442,MAT00302,MAT00159,1.84,EA
BOM000443,MAT00303,MAT00127,4.64,EA
BOM000444,MAT00305,MAT00102,3.76,EA
BOM000445,MAT00307,MAT00277,4.32,EA
BOM000446,MAT00307,MAT00285,5.98,EA
BOM000447,MAT00307,MAT00350,4.09,EA
BOM000448,MAT00308,MAT00155,5.95,EA
BOM000449,MAT00308,MAT00309,4.17,EA
BOM000450,MAT00308,MAT00330,5.08,EA
BOM000451,MAT00311,MAT00352,3.26,EA
BOM000452,MAT00311,MAT00195,2.09,EA
BOM000453,MAT00312,MAT00110,3.84,EA
BOM000454,MAT00313,MAT00097,5.82,EA
BOM000455,MAT00313,MAT00224,7.86,EA
BOM000456,MAT00313,MAT00248,2.67,EA
BOM000457,MAT00314,MAT00152,7.65,EA
BOM000458,MAT00315,MAT00367,7.52,EA
BOM000459,MAT00315,MAT00099,9.79,EA
BOM000460,MAT00316,MAT00040,6.37,EA
BOM000461,MAT00316,MAT00054,9.82,EA
BOM000462,MAT00316,MAT00392,8.49,EA
BOM000463,MAT00318,MAT00200,3.05,EA
BOM000464,MAT00318,MAT00286,2.61,EA
BOM000465,MAT00319,MAT00159,7.37,EA
BOM000466,MAT00321,MAT00320,3.47,EA
BOM000467,MAT00323,MAT00351,5.98,EA
BOM000468,MAT00324,MAT00192,9.5,EA
BOM000469,MAT00324,MAT00327,6.74,EA
BOM000470,MAT00324,MAT00128,7.78,EA
BOM000471,MAT00325,MAT00074,8.85,EA
BOM000472,MAT00326,MAT00062,3.56,EA
BOM000473,MAT00326,MAT00007,5.31,EA
BOM000474,MAT00326,MAT00165,4.07,EA
BOM000475,MAT00329,MAT00232,3.27,EA
BOM000476,MAT00331,MAT00085,2.03,EA
BOM000477,MAT00331,MAT00345,1.59,EA
BOM000478,MAT00332,MAT00260,1.67,EA
BOM000479,MAT00332,MAT00322,6.67,EA
BOM000480,MAT00333,MAT00195,2.37,EA
BOM000481,MAT00334,MAT00224,9.54,EA
BOM000482,MAT00334,MAT00273,1.77,EA
BOM000483,MAT00334,MAT00237,3.23,EA
BOM000484,MAT00335,MAT00132,7.88,EA
BOM000485,MAT00335,MAT00348,6.46,EA
BOM000486,MAT00335,MAT00355,8.12,EA
BOM000487,MAT00336,MAT00343,7.98,EA
BOM000488,MAT00338,MAT00344,5.05,EA
BOM000489,MAT00338,MAT00345,4.98,EA
BOM000490,MAT00339,MAT00392,9.91,EA
BOM000491,MAT00339,MAT00248,3.75,EA
BOM000492,MAT00339,MAT00242,6.59,EA
BOM000493,MAT00340,MAT00381,9.64,EA
BOM000494,MAT00340,MAT00264,1.89,EA
BOM000495,MAT00340,MAT00209,7.86,EA
BOM000496,MAT00342,MAT00063,2.9,EA
BOM000497,MAT00342,MAT00254,6.94,EA
BOM000498,MAT00342,MAT00209,2.41,EA
BOM000499,MAT00346,MAT00122,5.97,EA
BOM000500,MAT00347,MAT00040,1.02,EA
BOM000501,MAT00349,MAT00218,7.2,EA
BOM000502,MAT00349,MAT00348,5.23,EA
BOM000503,MAT00353,MAT00054,3.08,EA
BOM000504,MAT00354,MAT00112,3.54,EA
BOM000505,MAT00354,MAT00310,8.74,EA
BOM000506,MAT00354,MAT00074,1.64,EA
BOM000507,MAT00356,MAT00392,9.32,EA
BOM000508,MAT00357,MAT00192,6.31,EA
BOM000509,MAT00357,MAT00170,8.24,EA
BOM000510,MAT00357,MAT00122,2.78,EA
BOM000511,MAT00358,MAT00267,5.9,EA
BOM000512,MAT00359,MAT00381,2.34,EA
BOM000513,MAT00359,MAT00232,3.39,EA
BOM000514,MAT00359,MAT00367,2.28,EA
BOM000515,MAT00360,MAT00344,2.49,EA
BOM000516,MAT00361,MAT00378,6.36,EA
BOM000517,MAT00361,MAT00098,8.42,EA
BOM000518,MAT00362,MAT00327,4.95,EA
BOM000519,MAT00362,MAT00224,5.22,EA
BOM000520,MAT00363,MAT00212,7.3,EA
BOM000521,MAT00363,MAT00317,9.48,EA
BOM000522,MAT00364,MAT00144,5.86,EA
BOM000523,MAT00364,MAT00351,4.94,EA
BOM000524,MAT00364,MAT00218,6.38,EA
BOM000525,MAT00365,MAT00224,7.61,EA
BOM000526,MAT00365,MAT00090,6.43,EA
BOM000527,MAT00366,MAT00236,1.82,EA
BOM000528,MAT00368,MAT00129,8.52,EA
BOM000529,MAT00368,MAT00165,6.18,EA
BOM000530,MAT00368,MAT00343,9.56,EA
BOM000531,MAT00369,MAT00254,8.39,EA
BOM000532,MAT00369,MAT00144,6.19,EA
BOM000533,MAT00369,MAT00061,7.87,EA
BOM000534,MAT00370,MAT00322,5.23,EA
BOM000535,MAT00372,MAT00021,4.98,EA
BOM000536,MAT00372,MAT00285,3.5,EA
BOM000537,MAT00372,MAT00195,9.97,EA
BOM000538,MAT00373,MAT00152,6.71,EA
BOM000539,MAT00373,MAT00005,5.43,EA
BOM000540,MAT00374,MAT00173,5.23,EA
BOM000541,MAT00375,MAT00350,4.0,EA
BOM000542,MAT00375,MAT00260,7.03,EA
BOM000543,MAT00376,MAT00296,3.97,EA
BOM000544,MAT00377,MAT00040,5.46,EA
BOM000545,MAT00377,MAT00127,6.96,EA
BOM000546,MAT00377,MAT00151,4.6,EA
BOM000547,MAT00380,MAT00145,1.33,EA
BOM000548,MAT00380,MAT00127,1.79,EA
BOM000549,MAT00380,MAT00254,3.27,EA
BOM000550,MAT00382,MAT00351,9.73,EA
BOM000551,MAT00384,MAT00102,8.78,EA
BOM000552,MAT00384,MAT00270,8.42,EA
BOM000553,MAT00387,MAT00022,6.92,EA
BOM000554,MAT00388,MAT00330,5.16,EA
BOM000555,MAT00388,MAT00040,1.49,EA
BOM000556,MAT00388,MAT00090,5.67,EA
BOM000557,MAT00389,MAT00036,7.81,EA
BOM000558,MAT00389,MAT00381,6.63,EA
