production_order_id,material_id,plant,work_center_id,order_quantity,planned_start_date,planned_end_date,actual_start_date,actual_end_date,status
PRO000040,MAT00389,PL03,WC011,1476,2023-05-19,2023-05-26,2023-05-21,2023-06-02,Completed
PRO000041,MAT00018,PL03,WC005,1391,2024-03-05,2024-03-15,2024-03-05,2024-03-12,Confirmed
PRO000042,MAT00116,PL01,WC008,1463,2024-05-16,2024-05-26,2024-05-17,2024-05-18,Completed
PRO000043,MAT00280,PL02,WC008,253,2023-08-11,2023-08-19,2023-08-11,2023-08-17,Completed
PRO000044,MAT00244,PL03,WC014,174,2024-01-12,2024-01-21,2024-01-14,2024-01-20,Confirmed
PRO000045,MAT00119,PL02,WC006,1407,2023-10-10,2023-10-14,2023-10-11,2023-10-13,Confirmed
PRO000046,MAT00147,PL01,WC013,548,2024-10-19,2024-10-29,2024-10-19,2024-10-25,Confirmed
PRO000047,MAT00108,PL01,WC002,1617,2024-08-01,2024-08-05,,,Planned
PRO000048,MAT00288,PL03,WC011,722,2023-08-01,2023-08-11,2023-08-01,,In Process
PRO000049,MAT00116,PL01,WC003,316,2024-09-02,2024-09-03,2024-09-02,,In Process
PRO000050,MAT00019,PL03,WC006,1824,2023-09-14,2023-09-17,,,Planned
PRO000051,MAT00078,PL01,WC004,713,2023-05-15,2023-05-16,2023-05-15,2023-05-25,Completed
PRO000052,MAT00038,PL01,WC002,1569,2023-06-28,2023-07-03,,,Planned
PRO000053,MAT00064,PL02,WC014,1643,2024-06-22,2024-06-24,2024-06-23,2024-07-01,Confirmed
PRO000054,MAT00245,PL02,WC001,1081,2024-06-09,2024-06-19,,,Planned
PRO000055,MAT00068,PL01,WC003,667,2024-09-21,2024-09-22,2024-09-23,2024-10-02,Confirmed
PRO000056,MAT00380,PL02,WC004,1030,2024-10-20,2024-10-21,,,Planned
PRO000057,MAT00384,PL02,WC003,1891,2024-03-12,2024-03-14,2024-03-13,2024-03-15,Completed
PRO000058,MAT00299,PL01,WC008,308,2023-11-26,2023-12-06,,,Planned
PRO000059,MAT00380,PL02,WC002,1273,2024-10-01,2024-10-11,2024-10-02,2024-10-09,Completed
PRO000060,MAT00258,PL03,WC010,1674,2023-10-29,2023-11-06,2023-10-30,2023-11-01,Completed
PRO000061,MAT00250,PL03,WC012,974,2023-04-28,2023-05-07,2023-04-28,2023-05-05,Confirmed
PRO000062,MAT00287,PL01,WC004,1544,2024-02-28,2024-03-05,2024-02-29,2024-03-07,Confirmed
PRO000063,MAT00357,PL01,WC008,816,2023-11-17,2023-11-24,2023-11-18,,In Process
PRO000064,MAT00359,PL01,WC004,1753,2024-12-04,2024-12-12,,,Planned
PRO000065,MAT00194,PL01,WC009,1563,2023-04-06,2023-04-13,,,Planned
PRO000066,MAT00012,PL02,WC011,1200,2023-05-14,2023-05-23,,,Planned
PRO000067,MAT00114,PL03,WC005,1827,2023-12-04,2023-12-06,2023-12-06,2023-12-13,Completed
PRO000068,MAT00339,PL03,WC014,1233,2023-02-22,2023-02-27,2023-02-23,2023-02-25,Completed
PRO000069,MAT00208,PL03,WC012,767,2023-08-06,2023-08-09,2023-08-06,2023-08-08,Completed
PRO000070,MAT00008,PL03,WC001,1703,2024-01-12,2024-01-14,2024-01-14,2024-01-18,Confirmed
PRO000071,MAT00216,PL02,WC010,103,2024-07-28,2024-08-07,2024-07-30,2024-08-08,Completed
PRO000072,MAT00259,PL03,WC012,609,2024-11-04,2024-11-09,,,Planned
PRO000073,MAT00067,PL03,WC005,1209,2023-11-13,2023-11-19,2023-11-13,2023-11-16,Completed
PRO000074,MAT00100,PL03,WC012,1346,2024-02-15,2024-02-17,,,Planned
PRO000075,MAT00276,PL01,WC013,979,2023-04-04,2023-04-13,2023-04-05,,In Process
PRO000076,MAT00162,PL02,WC012,1640,2023-06-11,2023-06-17,2023-06-12,,In Process
PRO000077,MAT00140,PL03,WC014,1595,2024-09-02,2024-09-04,2024-09-02,2024-09-05,Confirmed
PRO000078,MAT00199,PL03,WC012,918,2023-02-20,2023-02-22,2023-02-22,,In Process
PRO000079,MAT00140,PL02,WC003,283,2024-09-13,2024-09-21,2024-09-13,2024-09-22,Completed
PRO000080,MAT00258,PL02,WC012,1264,2024-03-16,2024-03-18,2024-03-18,,In Process
PRO000081,MAT00289,PL02,WC001,859,2024-06-23,2024-06-28,,,Planned
PRO000082,MAT00342,PL03,WC011,1621,2023-02-26,2023-02-27,2023-02-26,,In Process
PRO000083,MAT00280,PL01,WC007,1068,2023-09-19,2023-09-24,2023-09-19,,In Process
PRO000084,MAT00336,PL03,WC010,1140,2024-03-16,2024-03-19,,,Planned
PRO000085,MAT00257,PL03,WC012,197,2023-08-24,2023-09-02,2023-08-26,2023-09-01,Completed
PRO000086,MAT00321,PL02,WC004,1936,2023-02-13,2023-02-20,,,Planned
PRO000087,MAT00259,PL01,WC008,1361,2023-11-17,2023-11-27,2023-11-18,2023-11-30,Completed
PRO000088,MAT00219,PL02,WC006,1691,2023-10-24,2023-10-26,2023-10-25,2023-10-28,Completed
PRO000089,MAT00037,PL03,WC012,1779,2024-04-16,2024-04-22,,,Planned
PRO000090,MAT00246,PL01,WC002,860,2023-09-07,2023-09-14,2023-09-09,2023-09-11,Completed
PRO000091,MAT00125,PL02,WC013,206,2023-12-14,2023-12-18,2023-12-14,,In Process
PRO000092,MAT00204,PL03,WC014,769,2024-10-10,2024-10-12,2024-10-10,2024-10-16,Completed
PRO000093,MAT00340,PL03,WC005,574,2024-10-22,2024-10-25,2024-10-22,,In Process
PRO000094,MAT00346,PL01,WC002,204,2023-06-27,2023-07-07,2023-06-29,,In Process
PRO000095,MAT00204,PL01,WC007,969,2024-10-05,2024-10-13,2024-10-07,2024-10-17,Completed
PRO000096,MAT00280,PL03,WC014,697,2024-08-01,2024-08-11,2024-08-03,,In Process
PRO000097,MAT00079,PL01,WC002,1680,2024-03-26,2024-03-28,2024-03-28,2024-04-02,Completed
PRO000098,MAT00357,PL02,WC008,995,2024-08-28,2024-08-29,2024-08-28,2024-09-02,Completed
PRO000099,MAT00295,PL02,WC001,1370,2023-02-08,2023-02-09,2023-02-09,2023-02-11,Completed
PRO000100,MAT00024,PL01,WC013,1185,2024-09-21,2024-10-01,2024-09-22,2024-10-02,Completed
PRO000101,MAT00302,PL03,WC006,435,2023-02-12,2023-02-20,2023-02-14,2023-02-25,Confirmed
PRO000102,MAT00349,PL02,WC001,261,2024-09-11,2024-09-19,2024-09-11,2024-09-19,Completed
PRO000103,MAT00363,PL02,WC011,1499,2023-03-28,2023-04-06,2023-03-28,2023-04-01,Completed
PRO000104,MAT00081,PL02,WC011,813,2024-03-25,2024-04-03,2024-03-25,2024-03-31,Completed
PRO000105,MAT00315,PL02,WC010,157,2024-02-01,2024-02-08,2024-02-03,2024-02-13,Confirmed
PRO000106,MAT00162,PL03,WC010,243,2024-10-24,2024-10-30,,,Planned
PRO000107,MAT00071,PL03,WC001,1794,2024-11-25,2024-12-02,2024-11-27,,In Process
PRO000108,MAT00394,PL03,WC010,1409,2024-09-09,2024-09-12,2024-09-11,,In Process
PRO000109,MAT00241,PL01,WC015,852,2023-12-25,2023-12-30,2023-12-27,2024-01-07,Confirmed
PRO000110,MAT00167,PL01,WC004,1367,2024-09-01,2024-09-03,2024-09-02,,In Process
PRO000111,MAT00027,PL02,WC003,1423,2023-05-11,2023-05-20,,,Planned
PRO000112,MAT00329,PL02,WC001,682,2024-06-04,2024-06-10,,,Planned
PRO000113,MAT00068,PL01,WC009,513,2023-08-08,2023-08-14,2023-08-09,2023-08-13,Confirmed
PRO000114,MAT00227,PL01,WC009,1089,2023-06-08,2023-06-10,2023-06-08,,In Process
PRO000115,MAT00079,PL03,WC011,1273,2024-06-23,2024-06-24,2024-06-25,2024-06-28,Completed
PRO000116,MAT00009,PL02,WC006,1629,2023-06-07,2023-06-10,2023-06-09,,In Process
PRO000117,MAT00303,PL03,WC012,796,2023-06-19,2023-06-27,,,Planned
PRO000118,MAT00045,PL03,WC012,529,2023-09-01,2023-09-09,2023-09-03,2023-09-11,Completed
PRO000119,MAT00045,PL03,WC010,803,2023-09-02,2023-09-07,2023-09-03,2023-09-07,Confirmed
PRO000120,MAT00026,PL03,WC001,1079,2024-08-07,2024-08-15,2024-08-08,2024-08-15,Completed
PRO000121,MAT00053,PL03,WC014,1837,2024-03-04,2024-03-07,2024-03-06,2024-03-09,Confirmed
PRO000122,MAT00009,PL02,WC009,1506,2023-02-23,2023-03-03,2023-02-25,2023-02-27,Confirmed
PRO000123,MAT00147,PL03,WC012,378,2023-05-08,2023-05-13,,,Planned
PRO000124,MAT00239,PL02,WC005,945,2024-04-05,2024-04-14,,,Planned
PRO000125,MAT00059,PL01,WC004,159,2023-08-16,2023-08-24,2023-08-16,2023-08-23,Confirmed
PRO000126,MAT00038,PL02,WC004,817,2024-05-29,2024-06-04,2024-05-29,,In Process
PRO000127,MAT00163,PL01,WC004,736,2023-01-29,2023-02-04,2023-01-31,2023-02-11,Confirmed
PRO000128,MAT00117,PL01,WC007,1475,2023-05-21,2023-05-22,2023-05-22,,In Process
PRO000129,MAT00342,PL01,WC007,88,2024-12-23,2024-12-31,2024-12-23,2024-12-25,Completed
PRO000130,MAT00168,PL02,WC004,1130,2023-08-09,2023-08-12,2023-08-11,2023-08-21,Completed
PRO000131,MAT00271,PL02,WC008,147,2023-04-24,2023-04-29,2023-04-24,,In Process
PRO000132,MAT00215,PL01,WC013,1272,2024-03-05,2024-03-15,2024-03-05,2024-03-13,Completed
PRO000133,MAT00142,PL03,WC005,646,2023-01-17,2023-01-26,2023-01-19,2023-01-22,Completed
PRO000134,MAT00135,PL02,WC012,433,2023-01-02,2023-01-12,2023-01-04,2023-01-11,Completed
PRO000135,MAT00016,PL03,WC010,1127,2024-11-15,2024-11-17,2024-11-16,2024-11-18,Completed
PRO000136,MAT00010,PL03,WC010,139,2024-06-03,2024-06-12,2024-06-04,2024-06-12,Completed
PRO000137,MAT00305,PL03,WC001,781,2024-02-01,2024-02-07,2024-02-01,,In Process
PRO000138,MAT00201,PL01,WC008,1630,2023-12-20,2023-12-24,2023-12-22,2023-12-24,Confirmed
PRO000139,MAT00163,PL03,WC001,1168,2023-12-07,2023-12-10,,,Planned
PRO000140,MAT00038,PL02,WC002,1474,2024-10-20,2024-10-23,2024-10-22,2024-10-30,Confirmed
PRO000141,MAT00368,PL02,WC013,1639,2024-10-08,2024-10-11,2024-10-08,2024-10-20,Confirmed
PRO000142,MAT00390,PL02,WC009,1864,2023-02-07,2023-02-12,2023-02-07,,In Process
PRO000143,MAT00029,PL01,WC013,568,2023-11-20,2023-11-25,2023-11-22,2023-11-30,Completed
PRO000144,MAT00199,PL01,WC004,1823,2024-10-24,2024-10-28,2024-10-24,,In Process
PRO000145,MAT00141,PL03,WC005,803,2023-12-06,2023-12-11,,,Planned
PRO000146,MAT00393,PL02,WC007,432,2024-02-14,2024-02-22,2024-02-15,2024-02-21,Confirmed
PRO000147,MAT00133,PL02,WC005,1690,2024-12-09,2024-12-17,2024-12-11,2024-12-16,Completed
PRO000148,MAT00028,PL01,WC003,651,2024-03-10,2024-03-12,2024-03-10,2024-03-19,Completed
PRO000149,MAT00229,PL02,WC013,677,2023-04-16,2023-04-18,2023-04-17,,In Process
PRO000150,MAT00199,PL02,WC004,769,2024-09-09,2024-09-16,2024-09-10,,In Process
PRO000151,MAT00052,PL02,WC005,1359,2023-02-13,2023-02-19,2023-02-14,2023-02-19,Completed
PRO000152,MAT00331,PL01,WC003,377,2023-03-18,2023-03-25,2023-03-20,2023-03-31,Completed
PRO000153,MAT00226,PL01,WC002,308,2023-05-27,2023-06-06,2023-05-28,2023-05-29,Completed
PRO000154,MAT00111,PL01,WC008,1289,2023-08-30,2023-09-05,2023-09-01,2023-09-02,Completed
PRO000155,MAT00194,PL01,WC004,1612,2024-11-26,2024-12-04,2024-11-27,2024-12-05,Confirmed
PRO000156,MAT00055,PL01,WC013,1380,2024-08-10,2024-08-13,2024-08-11,2024-08-17,Completed
PRO000157,MAT00025,PL02,WC010,431,2023-09-13,2023-09-15,,,Planned
PRO000158,MAT00091,PL02,WC010,1637,2024-06-14,2024-06-21,2024-06-14,2024-06-19,Confirmed
PRO000159,MAT00197,PL02,WC001,634,2024-12-21,2024-12-29,2024-12-23,,In Process
PRO000160,MAT00250,PL03,WC012,1796,2024-05-17,2024-05-21,,,Planned
PRO000161,MAT00084,PL01,WC003,1709,2024-04-07,2024-04-10,2024-04-08,2024-04-10,Confirmed
PRO000162,MAT00069,PL03,WC005,644,2023-11-24,2023-11-30,2023-11-26,2023-12-05,Confirmed
PRO000163,MAT00065,PL02,WC004,298,2023-06-11,2023-06-14,2023-06-13,2023-06-17,Confirmed
PRO000164,MAT00169,PL01,WC009,1184,2023-05-23,2023-05-27,2023-05-23,2023-05-29,Confirmed
PRO000165,MAT00266,PL03,WC005,1303,2024-01-13,2024-01-21,2024-01-15,2024-01-18,Confirmed
PRO000166,MAT00073,PL01,WC015,1030,2023-03-09,2023-03-14,2023-03-11,2023-03-23,Completed
PRO000167,MAT00028,PL03,WC014,699,2024-02-25,2024-03-03,2024-02-25,2024-02-28,Confirmed
PRO000168,MAT00163,PL03,WC012,312,2023-03-17,2023-03-25,2023-03-19,2023-03-25,Completed
PRO000169,MAT00064,PL03,WC014,936,2024-10-17,2024-10-27,2024-10-17,,In Process
PRO000170,MAT00334,PL03,WC010,381,2023-02-26,2023-02-28,2023-02-27,2023-03-02,Completed
PRO000171,MAT00295,PL02,WC013,1882,2024-12-27,2024-12-31,2024-12-29,,In Process
PRO000172,MAT00214,PL02,WC008,612,2023-03-22,2023-03-27,2023-03-24,,In Process
PRO000173,MAT00018,PL01,WC015,1362,2024-10-02,2024-10-07,2024-10-02,2024-10-11,Completed
PRO000174,MAT00319,PL01,WC007,1328,2024-08-29,2024-09-08,2024-08-31,,In Process
PRO000175,MAT00334,PL03,WC005,1740,2024-09-11,2024-09-17,2024-09-13,2024-09-14,Confirmed
PRO000176,MAT00013,PL01,WC007,1383,2023-03-25,2023-03-26,2023-03-27,2023-04-01,Confirmed
PRO000177,MAT00332,PL01,WC002,1870,2024-08-08,2024-08-15,2024-08-08,2024-08-16,Completed
PRO000178,MAT00031,PL03,WC010,551,2024-07-12,2024-07-17,2024-07-13,2024-07-21,Completed
PRO000179,MAT00215,PL03,WC006,373,2024-02-20,2024-02-25,2024-02-22,2024-02-23,Completed
PRO000180,MAT00101,PL02,WC014,344,2024-03-01,2024-03-09,2024-03-02,2024-03-12,Completed
PRO000181,MAT00377,PL02,WC005,1104,2023-11-23,2023-11-29,2023-11-23,2023-11-29,Confirmed
PRO000182,MAT00246,PL03,WC014,597,2023-04-19,2023-04-25,2023-04-19,,In Process
PRO000183,MAT00019,PL02,WC005,644,2023-09-11,2023-09-14,,,Planned
PRO000184,MAT00162,PL02,WC004,1716,2024-09-22,2024-09-29,2024-09-22,,In Process
PRO000185,MAT00164,PL02,WC011,1070,2024-08-14,2024-08-20,2024-08-14,,In Process
PRO000186,MAT00190,PL03,WC010,234,2024-04-23,2024-05-01,2024-04-24,2024-04-25,Confirmed
PRO000187,MAT00030,PL02,WC003,772,2024-06-01,2024-06-09,2024-06-01,2024-06-11,Confirmed
PRO000188,MAT00250,PL01,WC015,1013,2023-02-21,2023-02-26,2023-02-23,2023-03-06,Completed
PRO000189,MAT00228,PL02,WC014,1857,2024-07-03,2024-07-04,2024-07-04,2024-07-07,Confirmed
PRO000190,MAT00028,PL02,WC006,1217,2024-01-10,2024-01-17,2024-01-11,2024-01-12,Completed
PRO000191,MAT00101,PL03,WC001,1082,2023-07-19,2023-07-25,2023-07-19,2023-07-26,Completed
PRO000192,MAT00087,PL02,WC012,1301,2024-07-17,2024-07-22,2024-07-19,2024-07-30,Confirmed
PRO000193,MAT00245,PL01,WC003,1972,2023-05-12,2023-05-14,2023-05-13,2023-05-22,Completed
PRO000194,MAT00390,PL02,WC005,132,2023-05-28,2023-06-01,2023-05-29,2023-06-07,Completed
PRO000195,MAT00291,PL01,WC002,985,2023-02-09,2023-02-12,2023-02-10,2023-02-19,Confirmed
PRO000196,MAT00231,PL01,WC009,1957,2024-09-12,2024-09-21,,,Planned
PRO000197,MAT00070,PL03,WC012,1775,2023-11-23,2023-11-26,2023-11-25,2023-12-07,Completed
PRO000198,MAT00041,PL02,WC003,1053,2024-08-30,2024-09-05,2024-09-01,2024-09-10,Completed
PRO000199,MAT00315,PL03,WC011,728,2024-07-30,2024-08-04,2024-07-30,2024-08-05,Completed
PRO000200,MAT00257,PL03,WC006,1338,2023-04-23,2023-04-30,2023-04-25,2023-05-07,Completed
PRO000201,MAT00186,PL01,WC008,1653,2024-09-03,2024-09-11,2024-09-05,,In Process
PRO000202,MAT00002,PL03,WC001,399,2024-08-14,2024-08-18,2024-08-16,2024-08-24,Confirmed
PRO000203,MAT00268,PL03,WC006,1732,2024-10-06,2024-10-16,2024-10-07,2024-10-10,Confirmed
PRO000204,MAT00250,PL03,WC014,440,2023-09-06,2023-09-07,2023-09-08,2023-09-10,Completed
PRO000205,MAT00301,PL01,WC002,467,2024-03-27,2024-04-02,2024-03-28,2024-04-09,Completed
PRO000206,MAT00181,PL02,WC005,177,2024-05-28,2024-06-07,2024-05-30,2024-06-11,Confirmed
PRO000207,MAT00034,PL03,WC010,1406,2023-05-22,2023-05-31,2023-05-23,,In Process
PRO000208,MAT00369,PL02,WC001,991,2024-06-22,2024-06-29,2024-06-22,,In Process
PRO000209,MAT00109,PL03,WC012,1367,2023-12-17,2023-12-26,2023-12-19,2023-12-30,Completed
PRO000210,MAT00191,PL03,WC011,1192,2023-09-28,2023-10-08,2023-09-28,2023-10-03,Completed
PRO000211,MAT00004,PL02,WC013,1463,2023-08-19,2023-08-24,2023-08-21,2023-08-25,Confirmed
PRO000212,MAT00239,PL03,WC014,610,2024-05-15,2024-05-21,2024-05-17,2024-05-29,Completed
PRO000213,MAT00075,PL02,WC008,1726,2023-05-05,2023-05-15,2023-05-06,2023-05-13,Completed
PRO000214,MAT00312,PL02,WC003,1512,2023-05-30,2023-06-04,,,Planned
PRO000215,MAT00143,PL01,WC004,488,2023-12-21,2023-12-29,2023-12-23,2023-12-31,Completed
PRO000216,MAT00067,PL01,WC009,331,2024-07-05,2024-07-10,2024-07-07,2024-07-12,Confirmed
PRO000217,MAT00243,PL01,WC004,1421,2024-09-22,2024-10-02,2024-09-22,,In Process
PRO000218,MAT00276,PL03,WC011,896,2023-08-20,2023-08-24,,,Planned
PRO000219,MAT00096,PL02,WC006,1177,2024-04-28,2024-04-30,2024-04-28,2024-04-29,Completed
PRO000220,MAT00299,PL01,WC004,707,2024-02-21,2024-02-29,2024-02-21,2024-02-26,Completed
PRO000221,MAT00291,PL02,WC003,1225,2024-10-23,2024-10-24,2024-10-23,2024-11-03,Confirmed
PRO000222,MAT00338,PL01,WC007,1856,2024-07-01,2024-07-02,2024-07-01,2024-07-08,Confirmed
PRO000223,MAT00347,PL01,WC013,1836,2023-02-07,2023-02-14,2023-02-07,2023-02-19,Confirmed
PRO000224,MAT00338,PL02,WC007,269,2023-02-08,2023-02-09,2023-02-10,,In Process
PRO000225,MAT00274,PL02,WC011,1061,2023-10-19,2023-10-27,2023-10-21,2023-10-30,Confirmed
PRO000226,MAT00013,PL01,WC013,727,2024-05-31,2024-06-08,2024-05-31,,In Process
PRO000227,MAT00235,PL01,WC003,740,2024-04-14,2024-04-19,2024-04-14,2024-04-26,Confirmed
PRO000228,MAT00065,PL02,WC003,1887,2024-08-04,2024-08-08,2024-08-06,,In Process
PRO000229,MAT00359,PL02,WC009,1420,2024-03-13,2024-03-22,2024-03-14,,In Process
PRO000230,MAT00249,PL01,WC008,584,2023-07-09,2023-07-12,2023-07-09,2023-07-10,Completed
PRO000231,MAT00391,PL02,WC012,1242,2023-08-30,2023-09-07,2023-08-31,2023-09-05,Confirmed
PRO000232,MAT00032,PL03,WC012,1468,2024-08-09,2024-08-10,2024-08-10,,In Process
PRO000233,MAT00311,PL01,WC015,1455,2023-03-05,2023-03-07,2023-03-05,2023-03-12,Completed
PRO000234,MAT00018,PL03,WC012,802,2024-12-21,2024-12-26,2024-12-23,2024-12-28,Completed
PRO000235,MAT00163,PL03,WC006,981,2023-08-15,2023-08-19,2023-08-16,2023-08-19,Confirmed
PRO000236,MAT00391,PL03,WC014,1601,2024-09-12,2024-09-18,2024-09-14,2024-09-22,Completed
PRO000237,MAT00203,PL03,WC005,1838,2024-11-11,2024-11-15,2024-11-13,2024-11-23,Confirmed
PRO000238,MAT00084,PL01,WC007,1928,2024-06-22,2024-06-30,2024-06-23,2024-06-25,Completed
PRO000239,MAT00389,PL03,WC001,1222,2023-04-25,2023-04-26,2023-04-27,2023-05-01,Confirmed
PRO000240,MAT00201,PL03,WC011,954,2023-06-03,2023-06-06,2023-06-05,,In Process
PRO000241,MAT00297,PL01,WC008,1890,2024-11-27,2024-12-01,2024-11-28,2024-11-30,Confirmed
PRO000242,MAT00369,PL03,WC014,985,2024-04-01,2024-04-02,2024-04-03,2024-04-10,Completed
PRO000243,MAT00094,PL03,WC001,94,2023-03-01,2023-03-10,2023-03-02,2023-03-14,Completed
PRO000244,MAT00324,PL02,WC005,142,2023-09-18,2023-09-19,2023-09-20,2023-09-22,Confirmed
PRO000245,MAT00095,PL02,WC012,1962,2023-12-19,2023-12-21,2023-12-19,2023-12-21,Completed
PRO000246,MAT00196,PL02,WC002,1543,2023-02-02,2023-02-07,2023-02-02,2023-02-13,Completed
PRO000247,MAT00274,PL03,WC012,1830,2024-03-06,2024-03-12,2024-03-07,2024-03-15,Confirmed
PRO000248,MAT00215,PL02,WC012,322,2024-01-20,2024-01-22,2024-01-22,2024-01-31,Completed
PRO000249,MAT00141,PL03,WC014,854,2023-12-23,2023-12-25,2023-12-25,,In Process
PRO000250,MAT00281,PL03,WC012,998,2023-05-11,2023-05-15,2023-05-11,2023-05-16,Confirmed
PRO000251,MAT00008,PL03,WC006,993,2024-07-11,2024-07-18,2024-07-11,2024-07-15,Completed
PRO000252,MAT00282,PL02,WC009,1617,2023-06-08,2023-06-13,2023-06-10,,In Process
PRO000253,MAT00057,PL01,WC007,472,2023-02-02,2023-02-09,2023-02-02,2023-02-06,Completed
PRO000254,MAT00052,PL01,WC009,1274,2023-04-14,2023-04-24,,,Planned
PRO000255,MAT00139,PL03,WC011,873,2024-12-21,2024-12-22,2024-12-21,,In Process
PRO000256,MAT00324,PL02,WC004,336,2023-08-28,2023-09-06,2023-08-28,,In Process
PRO000257,MAT00106,PL03,WC005,703,2023-10-24,2023-10-28,2023-10-26,2023-11-05,Confirmed
PRO000258,MAT00196,PL03,WC011,1402,2024-09-04,2024-09-10,2024-09-04,,In Process
PRO000259,MAT00220,PL03,WC014,1190,2023-08-15,2023-08-22,2023-08-15,,In Process
PRO000260,MAT00194,PL03,WC014,1978,2023-06-29,2023-07-06,2023-06-29,2023-07-05,Completed
PRO000261,MAT00253,PL03,WC005,902,2024-11-18,2024-11-25,2024-11-19,2024-12-01,Confirmed
PRO000262,MAT00231,PL02,WC002,543,2023-06-02,2023-06-07,2023-06-04,2023-06-12,Completed
PRO000263,MAT00305,PL01,WC008,895,2023-11-04,2023-11-07,2023-11-04,2023-11-13,Confirmed
PRO000264,MAT00234,PL02,WC011,547,2024-07-24,2024-08-02,,,Planned
PRO000265,MAT00008,PL02,WC014,239,2023-07-28,2023-08-03,2023-07-29,2023-08-04,Completed
PRO000266,MAT00044,PL03,WC001,1288,2023-07-15,2023-07-16,2023-07-17,,In Process
