payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,pay_date
PAY000034,EMP00013,2024-01,9708.03,1269.32,8438.71,2024-01-28
PAY000035,EMP00013,2024-02,9708.03,1400.55,8307.48,2024-02-28
PAY000036,EMP00013,2024-03,9708.03,1676.65,8031.38,2024-03-28
PAY000037,EMP00014,2024-01,17437.89,3246.99,14190.9,2024-01-28
PAY000038,EMP00014,2024-02,17437.89,3371.35,14066.54,2024-02-28
PAY000039,EMP00014,2024-03,17437.89,2086.48,15351.41,2024-03-28
PAY000040,EMP00015,2024-01,7321.1,1240.5,6080.6,2024-01-28
PAY000041,EMP00015,2024-02,7321.1,1548.17,5772.93,2024-02-28
PAY000042,EMP00015,2024-03,7321.1,1237.97,6083.13,2024-03-28
PAY000043,EMP00016,2024-01,16574.41,2403.9,14170.51,2024-01-28
PAY000044,EMP00016,2024-02,16574.41,3529.96,13044.45,2024-02-28
PAY000045,EMP00016,2024-03,16574.41,2051.9,14522.51,2024-03-28
PAY000046,EMP00017,2024-01,11677.52,2331.63,9345.89,2024-01-28
PAY000047,EMP00017,2024-02,11677.52,1508.06,10169.46,2024-02-28
PAY000048,EMP00017,2024-03,11677.52,2144.73,9532.79,2024-03-28
PAY000049,EMP00018,2024-01,7174.53,1306.56,5867.97,2024-01-28
PAY000050,EMP00018,2024-02,7174.53,1410.97,5763.56,2024-02-28
PAY000051,EMP00018,2024-03,7174.53,1402.96,5771.57,2024-03-28
PAY000052,EMP00019,2024-01,11271.95,1182.75,10089.2,2024-01-28
PAY000053,EMP00019,2024-02,11271.95,1847.8,9424.15,2024-02-28
PAY000054,EMP00019,2024-03,11271.95,2021.99,9249.96,2024-03-28
PAY000055,EMP00020,2024-01,3568.83,634.2,2934.63,2024-01-28
PAY000056,EMP00020,2024-02,3568.83,362.3,3206.53,2024-02-28
PAY000057,EMP00020,2024-03,3568.83,536.78,3032.05,2024-03-28
PAY000058,EMP00021,2024-01,10098.13,1535.15,8562.98,2024-01-28
PAY000059,EMP00021,2024-02,10098.13,1448.7,8649.43,2024-02-28
PAY000060,EMP00021,2024-03,10098.13,2090.2,8007.93,2024-03-28
PAY000061,EMP00022,2024-01,9625.96,1139.32,8486.64,2024-01-28
PAY000062,EMP00022,2024-02,9625.96,1166.05,8459.91,2024-02-28
PAY000063,EMP00022,2024-03,9625.96,1565.27,8060.69,2024-03-28
PAY000064,EMP00023,2024-01,12582.09,2188.14,10393.95,2024-01-28
PAY000065,EMP00023,2024-02,12582.09,2646.69,9935.4,2024-02-28
PAY000066,EMP00023,2024-03,12582.09,2427.8,10154.29,2024-03-28
PAY000067,EMP00024,2024-01,9705.54,1932.26,7773.28,2024-01-28
PAY000068,EMP00024,2024-02,9705.54,1660.59,8044.95,2024-02-28
PAY000069,EMP00024,2024-03,9705.54,1345.93,8359.61,2024-03-28
PAY000070,EMP00025,2024-01,6305.18,1337.67,4967.51,2024-01-28
PAY000071,EMP00025,2024-02,6305.18,841.56,5463.62,2024-02-28
PAY000072,EMP00025,2024-03,6305.18,971.6,5333.58,2024-03-28
PAY000073,EMP00026,2024-01,14132.38,2379.64,11752.74,2024-01-28
PAY000074,EMP00026,2024-02,14132.38,2546.41,11585.97,2024-02-28
PAY000075,EMP00026,2024-03,14132.38,1983.73,12148.65,2024-03-28
PAY000076,EMP00027,2024-01,10161.75,1412.5,8749.25,2024-01-28
PAY000077,EMP00027,2024-02,10161.75,1610.7,8551.05,2024-02-28
PAY000078,EMP00027,2024-03,10161.75,1448.85,8712.9,2024-03-28
PAY000079,EMP00028,2024-01,6504.46,868.73,5635.73,2024-01-28
PAY000080,EMP00028,2024-02,6504.46,1115.77,5388.69,2024-02-28
PAY000081,EMP00028,2024-03,6504.46,1337.4,5167.06,2024-03-28
PAY000082,EMP00029,2024-01,11114.76,1800.54,9314.22,2024-01-28
PAY000083,EMP00029,2024-02,11114.76,1366.3,9748.46,2024-02-28
PAY000084,EMP00029,2024-03,11114.76,1433.39,9681.37,2024-03-28
PAY000085,EMP00030,2024-01,8799.64,1466.21,7333.43,2024-01-28
PAY000086,EMP00030,2024-02,8799.64,1133.74,7665.9,2024-02-28
PAY000087,EMP00030,2024-03,8799.64,1382.7,7416.94,2024-03-28
PAY000088,EMP00031,2024-01,13533.56,2081.2,11452.36,2024-01-28
PAY000089,EMP00031,2024-02,13533.56,1381.36,12152.2,2024-02-28
PAY000090,EMP00031,2024-03,13533.56,1831.2,11702.36,2024-03-28
PAY000091,EMP00033,2024-01,8768.22,1132.82,7635.4,2024-01-28
PAY000092,EMP00033,2024-02,8768.22,1575.43,7192.79,2024-02-28
PAY000093,EMP00033,2024-03,8768.22,1265.1,7503.12,2024-03-28
PAY000094,EMP00034,2024-01,11078.83,1564.89,9513.94,2024-01-28
PAY000095,EMP00034,2024-02,11078.83,2432.86,8645.97,2024-02-28
PAY000096,EMP00034,2024-03,11078.83,1839.6,9239.23,2024-03-28
PAY000097,EMP00035,2024-01,7953.06,1228.35,6724.71,2024-01-28
PAY000098,EMP00035,2024-02,7953.06,1087.94,6865.12,2024-02-28
PAY000099,EMP00035,2024-03,7953.06,1015.32,6937.74,2024-03-28
PAY000100,EMP00036,2024-01,13679.91,1885.99,11793.92,2024-01-28
PAY000101,EMP00036,2024-02,13679.91,2587.5,11092.41,2024-02-28
PAY000102,EMP00036,2024-03,13679.91,2928.94,10750.97,2024-03-28
PAY000103,EMP00037,2024-01,13197.54,1623.1,11574.44,2024-01-28
PAY000104,EMP00037,2024-02,13197.54,2489.49,10708.05,2024-02-28
PAY000105,EMP00037,2024-03,13197.54,1757.65,11439.89,2024-03-28
PAY000106,EMP00038,2024-01,11638.6,2225.59,9413.01,2024-01-28
PAY000107,EMP00038,2024-02,11638.6,1997.36,9641.24,2024-02-28
PAY000108,EMP00038,2024-03,11638.6,2533.27,9105.33,2024-03-28
PAY000109,EMP00039,2024-01,15405.74,2088.24,13317.5,2024-01-28
PAY000110,EMP00039,2024-02,15405.74,2207.73,13198.01,2024-02-28
PAY000111,EMP00039,2024-03,15405.74,2099.37,13306.37,2024-03-28
PAY000112,EMP00040,2024-01,13474.29,1552.1,11922.19,2024-01-28
PAY000113,EMP00040,2024-02,13474.29,1421.02,12053.27,2024-02-28
PAY000114,EMP00040,2024-03,13474.29,1435.59,12038.7,2024-03-28
PAY000115,EMP00041,2024-01,7028.12,1499.03,5529.09,2024-01-28
PAY000116,EMP00041,2024-02,7028.12,1240.77,5787.35,2024-02-28
PAY000117,EMP00041,2024-03,7028.12,1337.7,5690.42,2024-03-28
PAY000118,EMP00042,2024-01,4090.11,415.03,3675.08,2024-01-28
PAY000119,EMP00042,2024-02,4090.11,548.57,3541.54,2024-02-28
PAY000120,EMP00042,2024-03,4090.11,643.97,3446.14,2024-03-28
PAY000121,EMP00043,2024-01,7780.94,1679.59,6101.35,2024-01-28
PAY000122,EMP00043,2024-02,7780.94,1013.84,6767.1,2024-02-28
PAY000123,EMP00043,2024-03,7780.94,1582.7,6198.24,2024-03-28
PAY000124,EMP00044,2024-01,4268.35,460.3,3808.05,2024-01-28
PAY000125,EMP00044,2024-02,4268.35,678.71,3589.64,2024-02-28
PAY000126,EMP00044,2024-03,4268.35,722.39,3545.96,2024-03-28
PAY000127,EMP00045,2024-01,13139.99,1553.24,11586.75,2024-01-28
PAY000128,EMP00045,2024-02,13139.99,2593.01,10546.98,2024-02-28
PAY000129,EMP00045,2024-03,13139.99,2810.58,10329.41,2024-03-28
PAY000130,EMP00048,2024-01,3820.3,495.81,3324.49,2024-01-28
PAY000131,EMP00048,2024-02,3820.3,637.87,3182.43,2024-02-28
PAY000132,EMP00048,2024-03,3820.3,572.82,3247.48,2024-03-28
PAY000133,EMP00049,2024-01,11739.97,2045.22,9694.75,2024-01-28
PAY000134,EMP00049,2024-02,11739.97,2266.79,9473.18,2024-02-28
PAY000135,EMP00049,2024-03,11739.97,1709.87,10030.1,2024-03-28
PAY000136,EMP00050,2024-01,16581.82,2249.86,14331.96,2024-01-28
PAY000137,EMP00050,2024-02,16581.82,2829.24,13752.58,2024-02-28
PAY000138,EMP00050,2024-03,16581.82,2511.48,14070.34,2024-03-28
PAY000139,EMP00051,2024-01,11313.76,1213.15,10100.61,2024-01-28
PAY000140,EMP00051,2024-02,11313.76,2434.87,8878.89,2024-02-28
PAY000141,EMP00051,2024-03,11313.76,1266.1,10047.66,2024-03-28
PAY000142,EMP00052,2024-01,14322.43,2507.31,11815.12,2024-01-28
PAY000143,EMP00052,2024-02,14322.43,1887.09,12435.34,2024-02-28
PAY000144,EMP00052,2024-03,14322.43,1571.78,12750.65,2024-03-28
PAY000145,EMP00053,2024-01,6217.91,1033.66,5184.25,2024-01-28
PAY000146,EMP00053,2024-02,6217.91,738.59,5479.32,2024-02-28
PAY000147,EMP00053,2024-03,6217.91,926.61,5291.3,2024-03-28
PAY000148,EMP00054,2024-01,13185.25,2062.03,11123.22,2024-01-28
PAY000149,EMP00054,2024-02,13185.25,1370.17,11815.08,2024-02-28
PAY000150,EMP00054,2024-03,13185.25,1774.37,11410.88,2024-03-28
PAY000151,EMP00055,2024-01,6882.13,1398.12,5484.01,2024-01-28
PAY000152,EMP00055,2024-02,6882.13,747.0,6135.13,2024-02-28
PAY000153,EMP00055,2024-03,6882.13,880.99,6001.14,2024-03-28
PAY000154,EMP00056,2024-01,6600.6,1286.79,5313.81,2024-01-28
PAY000155,EMP00056,2024-02,6600.6,1127.22,5473.38,2024-02-28
PAY000156,EMP00056,2024-03,6600.6,1296.81,5303.79,2024-03-28
PAY000157,EMP00057,2024-01,5566.2,633.28,4932.92,2024-01-28
PAY000158,EMP00057,2024-02,5566.2,706.78,4859.42,2024-02-28
PAY000159,EMP00057,2024-03,5566.2,656.14,4910.06,2024-03-28
PAY000160,EMP00058,2024-01,6617.3,774.68,5842.62,2024-01-28
PAY000161,EMP00058,2024-02,6617.3,709.09,5908.21,2024-02-28
PAY000162,EMP00058,2024-03,6617.3,1291.14,5326.16,2024-03-28
PAY000163,EMP00059,2024-01,11723.18,2331.84,9391.34,2024-01-28
PAY000164,EMP00059,2024-02,11723.18,2468.23,9254.95,2024-02-28
PAY000165,EMP00059,2024-03,11723.18,1790.11,9933.07,2024-03-28
PAY000166,EMP00060,2024-01,9764.82,1332.81,8432.01,2024-01-28
PAY000167,EMP00060,2024-02,9764.82,1448.13,8316.69,2024-02-28
PAY000168,EMP00060,2024-03,9764.82,1295.49,8469.33,2024-03-28
PAY000169,EMP00061,2024-01,10869.71,1657.97,9211.74,2024-01-28
PAY000170,EMP00061,2024-02,10869.71,1867.03,9002.68,2024-02-28
PAY000171,EMP00061,2024-03,10869.71,2247.1,8622.61,2024-03-28
PAY000172,EMP00062,2024-01,13885.28,2394.46,11490.82,2024-01-28
PAY000173,EMP00062,2024-02,13885.28,1431.62,12453.66,2024-02-28
PAY000174,EMP00062,2024-03,13885.28,1769.97,12115.31,2024-03-28
PAY000175,EMP00063,2024-01,12951.62,2632.57,10319.05,2024-01-28
PAY000176,EMP00063,2024-02,12951.62,2207.67,10743.95,2024-02-28
PAY000177,EMP00063,2024-03,12951.62,1327.4,11624.22,2024-03-28
PAY000178,EMP00064,2024-01,14353.79,2850.24,11503.55,2024-01-28
PAY000179,EMP00064,2024-02,14353.79,2427.94,11925.85,2024-02-28
PAY000180,EMP00064,2024-03,14353.79,2749.8,11603.99,2024-03-28
PAY000181,EMP00065,2024-01,5215.46,846.34,4369.12,2024-01-28
PAY000182,EMP00065,2024-02,5215.46,798.32,4417.14,2024-02-28
PAY000183,EMP00065,2024-03,5215.46,695.63,4519.83,2024-03-28
PAY000184,EMP00067,2024-01,17952.65,2734.3,15218.35,2024-01-28
PAY000185,EMP00067,2024-02,17952.65,3549.41,14403.24,2024-02-28
PAY000186,EMP00067,2024-03,17952.65,3882.92,14069.73,2024-03-28
PAY000187,EMP00068,2024-01,9785.16,1458.01,8327.15,2024-01-28
PAY000188,EMP00068,2024-02,9785.16,1355.51,8429.65,2024-02-28
PAY000189,EMP00068,2024-03,9785.16,1101.34,8683.82,2024-03-28
PAY000190,EMP00070,2024-01,4992.79,745.91,4246.88,2024-01-28
PAY000191,EMP00070,2024-02,4992.79,796.13,4196.66,2024-02-28
PAY000192,EMP00070,2024-03,4992.79,896.26,4096.53,2024-03-28
PAY000193,EMP00071,2024-01,8707.01,1665.3,7041.71,2024-01-28
PAY000194,EMP00071,2024-02,8707.01,909.04,7797.97,2024-02-28
PAY000195,EMP00071,2024-03,8707.01,962.71,7744.3,2024-03-28
PAY000196,EMP00072,2024-01,6412.18,730.42,5681.76,2024-01-28
PAY000197,EMP00072,2024-02,6412.18,1235.66,5176.52,2024-02-28
PAY000198,EMP00072,2024-03,6412.18,1306.73,5105.45,2024-03-28
PAY000199,EMP00073,2024-01,15286.37,1530.75,13755.62,2024-01-28
PAY000200,EMP00073,2024-02,15286.37,3123.37,12163.0,2024-02-28
PAY000201,EMP00073,2024-03,15286.37,2376.07,12910.3,2024-03-28
PAY000202,EMP00074,2024-01,3340.16,541.82,2798.34,2024-01-28
PAY000203,EMP00074,2024-02,3340.16,583.58,2756.58,2024-02-28
PAY000204,EMP00074,2024-03,3340.16,533.82,2806.34,2024-03-28
PAY000205,EMP00075,2024-01,9351.63,993.08,8358.55,2024-01-28
PAY000206,EMP00075,2024-02,9351.63,1234.85,8116.78,2024-02-28
PAY000207,EMP00075,2024-03,9351.63,1082.19,8269.44,2024-03-28
PAY000208,EMP00076,2024-01,6964.45,1432.6,5531.85,2024-01-28
PAY000209,EMP00076,2024-02,6964.45,1101.54,5862.91,2024-02-28
PAY000210,EMP00076,2024-03,6964.45,720.57,6243.88,2024-03-28
PAY000211,EMP00077,2024-01,12265.35,2403.0,9862.35,2024-01-28
PAY000212,EMP00077,2024-02,12265.35,2271.22,9994.13,2024-02-28
PAY000213,EMP00077,2024-03,12265.35,1683.91,10581.44,2024-03-28
PAY000214,EMP00078,2024-01,2711.95,403.97,2307.98,2024-01-28
PAY000215,EMP00078,2024-02,2711.95,344.32,2367.63,2024-02-28
PAY000216,EMP00078,2024-03,2711.95,545.02,2166.93,2024-03-28
PAY000217,EMP00079,2024-01,4258.65,909.85,3348.8,2024-01-28
PAY000218,EMP00079,2024-02,4258.65,756.87,3501.78,2024-02-28
PAY000219,EMP00079,2024-03,4258.65,504.55,3754.1,2024-03-28
PAY000220,EMP00080,2024-01,16956.12,2289.47,14666.65,2024-01-28
PAY000221,EMP00080,2024-02,16956.12,3130.94,13825.18,2024-02-28
PAY000222,EMP00080,2024-03,16956.12,2541.02,14415.1,2024-03-28
PAY000223,EMP00081,2024-01,9978.74,1563.33,8415.41,2024-01-28
PAY000224,EMP00081,2024-02,9978.74,1544.85,8433.89,2024-02-28
PAY000225,EMP00081,2024-03,9978.74,1171.08,8807.66,2024-03-28
PAY000226,EMP00082,2024-01,5454.46,937.76,4516.7,2024-01-28
PAY000227,EMP00082,2024-02,5454.46,1033.92,4420.54,2024-02-28
PAY000228,EMP00082,2024-03,5454.46,634.8,4819.66,2024-03-28
PAY000229,EMP00083,2024-01,3582.06,690.34,2891.72,2024-01-28
PAY000230,EMP00083,2024-02,3582.06,725.47,2856.59,2024-02-28
PAY000231,EMP00083,2024-03,3582.06,504.3,3077.76,2024-03-28
PAY000232,EMP00084,2024-01,14709.62,1942.56,12767.06,2024-01-28
PAY000233,EMP00084,2024-02,14709.62,1475.49,13234.13,2024-02-28
PAY000234,EMP00084,2024-03,14709.62,2752.55,11957.07,2024-03-28
PAY000235,EMP00085,2024-01,15480.88,2625.41,12855.47,2024-01-28
PAY000236,EMP00085,2024-02,15480.88,2774.06,12706.82,2024-02-28
PAY000237,EMP00085,2024-03,15480.88,3155.49,12325.39,2024-03-28
PAY000238,EMP00086,2024-01,9421.48,1489.73,7931.75,2024-01-28
PAY000239,EMP00086,2024-02,9421.48,1318.0,8103.48,2024-02-28
PAY000240,EMP00086,2024-03,9421.48,1804.63,7616.85,2024-03-28
PAY000241,EMP00087,2024-01,8346.76,1769.03,6577.73,2024-01-28
PAY000242,EMP00087,2024-02,8346.76,1705.68,6641.08,2024-02-28
PAY000243,EMP00087,2024-03,8346.76,1817.03,6529.73,2024-03-28
PAY000244,EMP00088,2024-01,6201.49,905.15,5296.34,2024-01-28
PAY000245,EMP00088,2024-02,6201.49,1257.18,4944.31,2024-02-28
PAY000246,EMP00088,2024-03,6201.49,925.84,5275.65,2024-03-28
PAY000247,EMP00089,2024-01,7431.73,1164.98,6266.75,2024-01-28
PAY000248,EMP00089,2024-02,7431.73,1557.78,5873.95,2024-02-28
PAY000249,EMP00089,2024-03,7431.73,1083.16,6348.57,2024-03-28
PAY000250,EMP00090,2024-01,17820.42,3476.54,14343.88,2024-01-28
PAY000251,EMP00090,2024-02,17820.42,3176.35,14644.07,2024-02-28
PAY000252,EMP00090,2024-03,17820.42,2107.31,15713.11,2024-03-28
PAY000253,EMP00091,2024-01,17454.78,2009.91,15444.87,2024-01-28
PAY000254,EMP00091,2024-02,17454.78,3767.48,13687.3,2024-02-28
PAY000255,EMP00091,2024-03,17454.78,2440.87,15013.91,2024-03-28
PAY000256,EMP00092,2024-01,4055.65,816.83,3238.82,2024-01-28
PAY000257,EMP00092,2024-02,4055.65,454.09,3601.56,2024-02-28
PAY000258,EMP00092,2024-03,4055.65,848.66,3206.99,2024-03-28
PAY000259,EMP00093,2024-01,2737.89,321.15,2416.74,2024-01-28
PAY000260,EMP00093,2024-02,2737.89,559.93,2177.96,2024-02-28
PAY000261,EMP00093,2024-03,2737.89,592.47,2145.42,2024-03-28
PAY000262,EMP00094,2024-01,3659.84,709.21,2950.63,2024-01-28
PAY000263,EMP00094,2024-02,3659.84,482.38,3177.46,2024-02-28
PAY000264,EMP00094,2024-03,3659.84,639.71,3020.13,2024-03-28
PAY000265,EMP00095,2024-01,8660.99,949.57,7711.42,2024-01-28
PAY000266,EMP00095,2024-02,8660.99,1207.58,7453.41,2024-02-28
PAY000267,EMP00095,2024-03,8660.99,1566.97,7094.02,2024-03-28
PAY000268,EMP00096,2024-01,10771.15,2310.38,8460.77,2024-01-28
PAY000269,EMP00096,2024-02,10771.15,1887.28,8883.87,2024-02-28
PAY000270,EMP00096,2024-03,10771.15,2224.16,8546.99,2024-03-28
PAY000271,EMP00097,2024-01,10063.19,1659.64,8403.55,2024-01-28
PAY000272,EMP00097,2024-02,10063.19,1751.95,8311.24,2024-02-28
PAY000273,EMP00097,2024-03,10063.19,1289.82,8773.37,2024-03-28
PAY000274,EMP00098,2024-01,13108.19,1762.86,11345.33,2024-01-28
PAY000275,EMP00098,2024-02,13108.19,1668.65,11439.54,2024-02-28
PAY000276,EMP00098,2024-03,13108.19,1452.98,11655.21,2024-03-28
PAY000277,EMP00099,2024-01,17664.23,3378.18,14286.05,2024-01-28
PAY000278,EMP00099,2024-02,17664.23,3258.47,14405.76,2024-02-28
PAY000279,EMP00099,2024-03,17664.23,1979.47,15684.76,2024-03-28
PAY000280,EMP00100,2024-01,5078.65,690.37,4388.28,2024-01-28
PAY000281,EMP00100,2024-02,5078.65,525.51,4553.14,2024-02-28
PAY000282,EMP00100,2024-03,5078.65,705.55,4373.1,2024-03-28
PAY000283,EMP00101,2024-01,3369.85,481.94,2887.91,2024-01-28
PAY000284,EMP00101,2024-02,3369.85,511.15,2858.7,2024-02-28
PAY000285,EMP00101,2024-03,3369.85,435.73,2934.12,2024-03-28
PAY000286,EMP00102,2024-01,8886.8,1615.76,7271.04,2024-01-28
PAY000287,EMP00102,2024-02,8886.8,1080.7,7806.1,2024-02-28
PAY000288,EMP00102,2024-03,8886.8,1075.38,7811.42,2024-03-28
PAY000289,EMP00103,2024-01,11947.12,1743.15,10203.97,2024-01-28
PAY000290,EMP00103,2024-02,11947.12,2174.09,9773.03,2024-02-28
PAY000291,EMP00103,2024-03,11947.12,1908.19,10038.93,2024-03-28
PAY000292,EMP00104,2024-01,11538.94,1475.4,10063.54,2024-01-28
PAY000293,EMP00104,2024-02,11538.94,2037.18,9501.76,2024-02-28
PAY000294,EMP00104,2024-03,11538.94,1790.25,9748.69,2024-03-28
PAY000295,EMP00105,2024-01,12836.03,2668.21,10167.82,2024-01-28
PAY000296,EMP00105,2024-02,12836.03,2000.24,10835.79,2024-02-28
PAY000297,EMP00105,2024-03,12836.03,1726.65,11109.38,2024-03-28
PAY000298,EMP00106,2024-01,10972.27,1194.48,9777.79,2024-01-28
PAY000299,EMP00106,2024-02,10972.27,2341.79,8630.48,2024-02-28
PAY000300,EMP00106,2024-03,10972.27,2397.64,8574.63,2024-03-28
PAY000301,EMP00107,2024-01,7136.89,1537.6,5599.29,2024-01-28
PAY000302,EMP00107,2024-02,7136.89,1304.89,5832.0,2024-02-28
PAY000303,EMP00107,2024-03,7136.89,1104.94,6031.95,2024-03-28
PAY000304,EMP00108,2024-01,7182.89,1579.7,5603.19,2024-01-28
PAY000305,EMP00108,2024-02,7182.89,1453.82,5729.07,2024-02-28
PAY000306,EMP00108,2024-03,7182.89,810.22,6372.67,2024-03-28
PAY000307,EMP00109,2024-01,8411.15,1203.43,7207.72,2024-01-28
PAY000308,EMP00109,2024-02,8411.15,1139.75,7271.4,2024-02-28
PAY000309,EMP00109,2024-03,8411.15,1546.92,6864.23,2024-03-28
PAY000310,EMP00110,2024-01,2840.06,566.89,2273.17,2024-01-28
PAY000311,EMP00110,2024-02,2840.06,418.9,2421.16,2024-02-28
PAY000312,EMP00110,2024-03,2840.06,286.77,2553.29,2024-03-28
PAY000313,EMP00111,2024-01,15908.54,3076.67,12831.87,2024-01-28
PAY000314,EMP00111,2024-02,15908.54,3449.49,12459.05,2024-02-28
PAY000315,EMP00111,2024-03,15908.54,3329.24,12579.3,2024-03-28
PAY000316,EMP00112,2024-01,14050.17,2809.2,11240.97,2024-01-28
PAY000317,EMP00112,2024-02,14050.17,2927.38,11122.79,2024-02-28
PAY000318,EMP00112,2024-03,14050.17,2712.93,11337.24,2024-03-28
PAY000319,EMP00113,2024-01,6066.84,1190.51,4876.33,2024-01-28
PAY000320,EMP00113,2024-02,6066.84,766.12,5300.72,2024-02-28
PAY000321,EMP00113,2024-03,6066.84,745.1,5321.74,2024-03-28
PAY000322,EMP00114,2024-01,6384.72,1217.37,5167.35,2024-01-28
PAY000323,EMP00114,2024-02,6384.72,1226.48,5158.24,2024-02-28
PAY000324,EMP00114,2024-03,6384.72,1160.12,5224.6,2024-03-28
PAY000325,EMP00115,2024-01,4620.08,515.88,4104.2,2024-01-28
PAY000326,EMP00115,2024-02,4620.08,809.88,3810.2,2024-02-28
PAY000327,EMP00115,2024-03,4620.08,483.86,4136.22,2024-03-28
PAY000328,EMP00116,2024-01,14723.46,1531.29,13192.17,2024-01-28
PAY000329,EMP00116,2024-02,14723.46,2116.99,12606.47,2024-02-28
PAY000330,EMP00116,2024-03,14723.46,1704.53,13018.93,2024-03-28
PAY000331,EMP00117,2024-01,16599.23,2310.72,14288.51,2024-01-28
PAY000332,EMP00117,2024-02,16599.23,2487.57,14111.66,2024-02-28
PAY000333,EMP00117,2024-03,16599.23,2059.89,14539.34,2024-03-28
PAY000334,EMP00118,2024-01,14690.95,3014.22,11676.73,2024-01-28
PAY000335,EMP00118,2024-02,14690.95,2114.07,12576.88,2024-02-28
PAY000336,EMP00118,2024-03,14690.95,2353.72,12337.23,2024-03-28
PAY000337,EMP00119,2024-01,6724.17,805.19,5918.98,2024-01-28
PAY000338,EMP00119,2024-02,6724.17,1409.96,5314.21,2024-02-28
PAY000339,EMP00119,2024-03,6724.17,1434.28,5289.89,2024-03-28
PAY000340,EMP00120,2024-01,17494.45,2369.05,15125.4,2024-01-28
PAY000341,EMP00120,2024-02,17494.45,3576.7,13917.75,2024-02-28
PAY000342,EMP00120,2024-03,17494.45,3437.8,14056.65,2024-03-28
PAY000343,EMP00121,2024-01,9759.14,1064.1,8695.04,2024-01-28
PAY000344,EMP00121,2024-02,9759.14,1859.1,7900.04,2024-02-28
PAY000345,EMP00121,2024-03,9759.14,1240.13,8519.01,2024-03-28
PAY000346,EMP00122,2024-01,12983.02,2349.0,10634.02,2024-01-28
PAY000347,EMP00122,2024-02,12983.02,1917.45,11065.57,2024-02-28
PAY000348,EMP00122,2024-03,12983.02,2615.94,10367.08,2024-03-28
PAY000349,EMP00123,2024-01,11138.35,1234.53,9903.82,2024-01-28
PAY000350,EMP00123,2024-02,11138.35,1641.22,9497.13,2024-02-28
PAY000351,EMP00123,2024-03,11138.35,1467.31,9671.04,2024-03-28
PAY000352,EMP00124,2024-01,4415.63,636.87,3778.76,2024-01-28
PAY000353,EMP00124,2024-02,4415.63,838.45,3577.18,2024-02-28
PAY000354,EMP00124,2024-03,4415.63,580.48,3835.15,2024-03-28
PAY000355,EMP00125,2024-01,8405.9,1484.7,6921.2,2024-01-28
PAY000356,EMP00125,2024-02,8405.9,1215.3,7190.6,2024-02-28
PAY000357,EMP00125,2024-03,8405.9,1521.3,6884.6,2024-03-28
PAY000358,EMP00127,2024-01,9807.89,1709.96,8097.93,2024-01-28
PAY000359,EMP00127,2024-02,9807.89,2090.85,7717.04,2024-02-28
