invoice_id,po_id,vendor_id,invoice_date,due_date,amount,currency,payment_status
APINV000166,PO000217,VEND00116,2024-11-28,2025-01-12,36467.38,BRL,Paid
APINV000167,PO000218,VEND00087,2023-07-14,2023-08-28,36892.29,BRL,Overdue
APINV000168,PO000220,VEND00121,2024-09-22,2024-11-06,26004.6,BRL,Paid
APINV000169,PO000221,VEND00058,2024-07-05,2024-08-19,28080.88,BRL,Paid
APINV000170,PO000222,VEND00146,2024-04-01,2024-05-16,40954.57,BRL,Open
APINV000171,PO000223,VEND00092,2023-08-05,2023-09-19,35484.74,BRL,Paid
APINV000172,PO000224,VEND00081,2024-09-14,2024-10-29,34125.97,BRL,Paid
APINV000173,PO000225,VEND00073,2024-10-16,2024-11-30,18610.08,BRL,Paid
APINV000174,PO000227,VEND00134,2023-03-02,2023-04-16,20840.74,BRL,Paid
APINV000175,PO000230,VEND00019,2024-10-12,2024-11-26,51828.0,BRL,Paid
APINV000176,PO000232,VEND00038,2023-11-09,2023-12-24,12113.24,BRL,Paid
APINV000177,PO000233,VEND00098,2024-06-15,2024-07-30,54081.54,BRL,Open
APINV000178,PO000234,VEND00124,2023-05-05,2023-06-19,39971.29,BRL,Paid
APINV000179,PO000235,VEND00043,2024-04-27,2024-06-11,39668.63,BRL,Overdue
APINV000180,PO000236,VEND00016,2024-02-27,2024-04-12,54507.78,BRL,Paid
APINV000181,PO000237,VEND00068,2023-10-31,2023-12-15,35398.4,BRL,Overdue
APINV000182,PO000239,VEND00052,2023-05-05,2023-06-19,21246.86,BRL,Paid
APINV000183,PO000241,VEND00138,2023-08-05,2023-09-19,54485.06,BRL,Paid
APINV000184,PO000242,VEND00014,2023-08-17,2023-10-01,50879.74,BRL,Open
APINV000185,PO000243,VEND00017,2024-05-31,2024-07-15,18333.26,BRL,Paid
APINV000186,PO000244,VEND00056,2023-10-01,2023-11-15,43786.01,BRL,Paid
APINV000187,PO000246,VEND00022,2024-04-07,2024-05-22,56868.48,BRL,Open
APINV000188,PO000247,VEND00111,2023-11-13,2023-12-28,14112.96,BRL,Paid
APINV000189,PO000248,VEND00062,2024-02-26,2024-04-11,25807.88,BRL,Open
APINV000190,PO000249,VEND00052,2024-08-30,2024-10-14,16372.99,BRL,Paid
APINV000191,PO000251,VEND00097,2024-10-14,2024-11-28,28761.66,BRL,Open
APINV000192,PO000252,VEND00038,2023-07-18,2023-09-01,28860.96,BRL,Paid
APINV000193,PO000253,VEND00095,2024-02-13,2024-03-29,52182.37,BRL,Paid
APINV000194,PO000255,VEND00132,2024-05-15,2024-06-29,25373.33,BRL,Open
APINV000195,PO000256,VEND00039,2024-04-27,2024-06-11,9104.55,BRL,Paid
APINV000196,PO000257,VEND00026,2025-01-03,2025-02-17,59244.3,BRL,Open
APINV000197,PO000259,VEND00088,2023-03-06,2023-04-20,9450.22,BRL,Open
APINV000198,PO000260,VEND00012,2024-02-23,2024-04-08,46957.53,BRL,Paid
APINV000199,PO000261,VEND00094,2024-05-07,2024-06-21,19491.43,BRL,Paid
APINV000200,PO000263,VEND00148,2023-07-21,2023-09-04,17138.14,BRL,Open
APINV000201,PO000264,VEND00074,2024-02-14,2024-03-30,35000.46,BRL,Paid
APINV000202,PO000266,VEND00096,2023-06-28,2023-08-12,8634.95,BRL,Paid
APINV000203,PO000267,VEND00078,2024-07-26,2024-09-09,24800.22,BRL,Overdue
APINV000204,PO000268,VEND00049,2024-05-01,2024-06-15,1275.48,BRL,Paid
APINV000205,PO000269,VEND00117,2024-09-22,2024-11-06,57054.05,BRL,Open
APINV000206,PO000270,VEND00089,2024-06-10,2024-07-25,2057.05,BRL,Paid
APINV000207,PO000271,VEND00144,2024-03-26,2024-05-10,14349.68,BRL,Open
APINV000208,PO000272,VEND00014,2023-02-08,2023-03-25,8606.92,BRL,Paid
APINV000209,PO000274,VEND00088,2024-09-12,2024-10-27,10854.19,BRL,Open
APINV000210,PO000275,VEND00036,2023-07-02,2023-08-16,56959.34,BRL,Paid
APINV000211,PO000276,VEND00136,2024-10-27,2024-12-11,26586.25,BRL,Paid
APINV000212,PO000278,VEND00072,2023-07-08,2023-08-22,21221.24,BRL,Overdue
APINV000213,PO000281,VEND00013,2023-08-03,2023-09-17,45256.82,BRL,Paid
APINV000214,PO000285,VEND00131,2025-01-10,2025-02-24,2128.36,BRL,Paid
APINV000215,PO000286,VEND00096,2024-12-18,2025-02-01,13460.22,BRL,Paid
APINV000216,PO000287,VEND00006,2023-07-02,2023-08-16,8266.56,BRL,Paid
APINV000217,PO000288,VEND00007,2023-06-30,2023-08-14,23136.35,BRL,Paid
APINV000218,PO000289,VEND00009,2024-08-09,2024-09-23,36041.52,BRL,Paid
APINV000219,PO000291,VEND00113,2023-04-06,2023-05-21,39560.49,BRL,Paid
APINV000220,PO000292,VEND00104,2024-11-20,2025-01-04,25589.76,BRL,Paid
APINV000221,PO000293,VEND00091,2024-05-25,2024-07-09,28989.38,BRL,Paid
APINV000222,PO000296,VEND00102,2024-01-18,2024-03-03,18765.87,BRL,Paid
APINV000223,PO000297,VEND00061,2024-02-27,2024-04-12,37745.07,BRL,Paid
APINV000224,PO000298,VEND00067,2023-11-15,2023-12-30,50008.51,BRL,Paid
APINV000225,PO000299,VEND00138,2023-08-13,2023-09-27,17679.7,BRL,Open
APINV000226,PO000300,VEND00051,2023-04-23,2023-06-07,12720.15,BRL,Paid
APINV000227,PO000301,VEND00137,2023-08-30,2023-10-14,50058.43,BRL,Overdue
APINV000228,PO000302,VEND00063,2023-03-21,2023-05-05,42502.77,BRL,Paid
APINV000229,PO000303,VEND00051,2024-06-22,2024-08-06,33340.19,BRL,Overdue
APINV000230,PO000304,VEND00041,2023-12-03,2024-01-17,20505.61,BRL,Paid
APINV000231,PO000305,VEND00005,2024-05-21,2024-07-05,54505.92,BRL,Open
APINV000232,PO000306,VEND00086,2024-07-14,2024-08-28,9799.53,BRL,Paid
APINV000233,PO000307,VEND00149,2024-04-20,2024-06-04,43690.25,BRL,Paid
APINV000234,PO000308,VEND00094,2024-03-26,2024-05-10,39015.87,BRL,Paid
APINV000235,PO000312,VEND00138,2024-06-19,2024-08-03,16583.38,BRL,Paid
APINV000236,PO000315,VEND00060,2023-01-16,2023-03-02,52574.29,BRL,Open
APINV000237,PO000316,VEND00148,2024-06-18,2024-08-02,48294.17,BRL,Paid
APINV000238,PO000319,VEND00072,2023-06-25,2023-08-09,6604.91,BRL,Open
APINV000239,PO000320,VEND00024,2023-03-20,2023-05-04,1570.67,BRL,Paid
APINV000240,PO000321,VEND00080,2024-09-20,2024-11-04,20390.99,BRL,Open
APINV000241,PO000322,VEND00041,2023-09-02,2023-10-17,52830.06,BRL,Paid
APINV000242,PO000323,VEND00076,2023-07-14,2023-08-28,11789.3,BRL,Paid
APINV000243,PO000324,VEND00123,2024-02-22,2024-04-07,17038.15,BRL,Paid
APINV000244,PO000325,VEND00081,2025-01-14,2025-02-28,48194.05,BRL,Paid
APINV000245,PO000326,VEND00020,2023-03-30,2023-05-14,7670.34,BRL,Paid
APINV000246,PO000328,VEND00060,2024-07-05,2024-08-19,58912.58,BRL,Open
APINV000247,PO000329,VEND00084,2023-06-30,2023-08-14,25545.64,BRL,Paid
APINV000248,PO000330,VEND00060,2023-11-22,2024-01-06,11694.37,BRL,Paid
APINV000249,PO000331,VEND00031,2024-10-10,2024-11-24,37070.15,BRL,Open
APINV000250,PO000332,VEND00112,2024-01-03,2024-02-17,29501.7,BRL,Paid
APINV000251,PO000334,VEND00035,2024-01-27,2024-03-12,27000.58,BRL,Paid
APINV000252,PO000335,VEND00064,2023-06-08,2023-07-23,1729.25,BRL,Open
APINV000253,PO000336,VEND00147,2023-06-26,2023-08-10,58695.84,BRL,Paid
APINV000254,PO000339,VEND00030,2023-09-26,2023-11-10,31626.88,BRL,Paid
APINV000255,PO000341,VEND00019,2023-01-27,2023-03-13,26538.03,BRL,Paid
APINV000256,PO000342,VEND00142,2023-09-05,2023-10-20,21399.22,BRL,Paid
APINV000257,PO000343,VEND00072,2023-12-11,2024-01-25,9770.61,BRL,Open
APINV000258,PO000345,VEND00007,2023-12-15,2024-01-29,1687.05,BRL,Overdue
APINV000259,PO000346,VEND00104,2024-01-26,2024-03-11,51260.4,BRL,Open
APINV000260,PO000348,VEND00066,2025-01-05,2025-02-19,45334.37,BRL,Paid
APINV000261,PO000349,VEND00019,2024-12-26,2025-02-09,58238.56,BRL,Paid
APINV000262,PO000350,VEND00009,2023-08-12,2023-09-26,33479.24,BRL,Paid
APINV000263,PO000351,VEND00055,2023-11-19,2024-01-03,5651.01,BRL,Paid
APINV000264,PO000352,VEND00088,2023-08-23,2023-10-07,6193.17,BRL,Paid
APINV000265,PO000353,VEND00042,2025-01-07,2025-02-21,8003.7,BRL,Paid
APINV000266,PO000354,VEND00129,2024-12-10,2025-01-24,7055.96,BRL,Paid
APINV000267,PO000356,VEND00058,2024-08-11,2024-09-25,49728.62,BRL,Open
APINV000268,PO000358,VEND00009,2023-05-07,2023-06-21,53516.54,BRL,Paid
APINV000269,PO000359,VEND00146,2024-05-24,2024-07-08,57070.95,BRL,Paid
APINV000270,PO000361,VEND00076,2024-03-19,2024-05-03,49178.73,BRL,Open
APINV000271,PO000362,VEND00053,2023-04-04,2023-05-19,34048.9,BRL,Paid
APINV000272,PO000363,VEND00045,2024-04-03,2024-05-18,43282.83,BRL,Paid
APINV000273,PO000366,VEND00043,2023-12-12,2024-01-26,7727.38,BRL,Open
APINV000274,PO000367,VEND00057,2024-07-17,2024-08-31,1129.62,BRL,Paid
APINV000275,PO000368,VEND00100,2024-01-19,2024-03-04,33313.74,BRL,Paid
APINV000276,PO000370,VEND00045,2024-05-11,2024-06-25,3700.91,BRL,Paid
APINV000277,PO000371,VEND00017,2023-06-12,2023-07-27,49488.48,BRL,Paid
APINV000278,PO000375,VEND00085,2024-05-21,2024-07-05,7310.73,BRL,Paid
APINV000279,PO000376,VEND00011,2023-08-16,2023-09-30,8124.0,BRL,Open
APINV000280,PO000377,VEND00101,2023-03-02,2023-04-16,27965.71,BRL,Open
APINV000281,PO000378,VEND00134,2023-12-21,2024-02-04,7358.18,BRL,Paid
APINV000282,PO000379,VEND00030,2024-12-06,2025-01-20,46556.57,BRL,Paid
APINV000283,PO000380,VEND00117,2024-09-26,2024-11-10,57867.43,BRL,Paid
APINV000284,PO000381,VEND00003,2023-11-19,2024-01-03,33640.35,BRL,Paid
APINV000285,PO000382,VEND00100,2023-03-31,2023-05-15,55537.88,BRL,Open
APINV000286,PO000383,VEND00135,2024-08-15,2024-09-29,41817.25,BRL,Paid
APINV000287,PO000384,VEND00140,2024-12-08,2025-01-22,7109.68,BRL,Paid
APINV000288,PO000385,VEND00119,2024-02-04,2024-03-20,30742.5,BRL,Paid
APINV000289,PO000386,VEND00012,2023-07-16,2023-08-30,17142.16,BRL,Overdue
APINV000290,PO000387,VEND00078,2023-10-27,2023-12-11,27717.9,BRL,Paid
APINV000291,PO000389,VEND00006,2024-03-23,2024-05-07,36548.94,BRL,Open
APINV000292,PO000390,VEND00065,2024-12-24,2025-02-07,50741.39,BRL,Paid
APINV000293,PO000391,VEND00030,2023-12-13,2024-01-27,43000.59,BRL,Overdue
APINV000294,PO000392,VEND00073,2023-05-20,2023-07-04,12852.46,BRL,Paid
APINV000295,PO000394,VEND00143,2024-03-10,2024-04-24,41510.07,BRL,Overdue
APINV000296,PO000395,VEND00106,2024-12-28,2025-02-11,58898.79,BRL,Paid
APINV000297,PO000396,VEND00058,2023-04-27,2023-06-11,30729.71,BRL,Paid
APINV000298,PO000397,VEND00049,2024-11-06,2024-12-21,42910.81,BRL,Open
APINV000299,PO000398,VEND00081,2024-02-08,2024-03-24,35385.57,BRL,Overdue
APINV000300,PO000399,VEND00062,2024-04-10,2024-05-25,40780.37,BRL,Open
APINV000301,PO000400,VEND00061,2024-10-08,2024-11-22,52771.16,BRL,Paid
APINV000302,PO000401,VEND00139,2024-10-16,2024-11-30,31841.07,BRL,Paid
APINV000303,PO000403,VEND00111,2023-05-03,2023-06-17,4130.83,BRL,Paid
APINV000304,PO000404,VEND00115,2023-08-17,2023-10-01,45260.92,BRL,Paid
APINV000305,PO000409,VEND00084,2024-06-05,2024-07-20,41320.03,BRL,Paid
APINV000306,PO000411,VEND00088,2023-04-27,2023-06-11,41745.1,BRL,Paid
APINV000307,PO000412,VEND00064,2024-09-16,2024-10-31,22162.26,BRL,Paid
APINV000308,PO000413,VEND00041,2023-08-19,2023-10-03,44802.35,BRL,Paid
APINV000309,PO000414,VEND00003,2024-12-11,2025-01-25,31144.42,BRL,Open
APINV000310,PO000415,VEND00035,2023-09-14,2023-10-29,41883.23,BRL,Paid
APINV000311,PO000418,VEND00130,2023-05-22,2023-07-06,23865.72,BRL,Overdue
APINV000312,PO000420,VEND00061,2023-10-19,2023-12-03,57984.16,BRL,Paid
APINV000313,PO000421,VEND00045,2024-10-27,2024-12-11,12982.15,BRL,Open
APINV000314,PO000422,VEND00052,2023-12-15,2024-01-29,49969.03,BRL,Overdue
APINV000315,PO000424,VEND00015,2023-05-04,2023-06-18,45551.35,BRL,Paid
APINV000316,PO000425,VEND00127,2023-03-23,2023-05-07,46792.66,BRL,Overdue
APINV000317,PO000426,VEND00129,2024-05-01,2024-06-15,27480.08,BRL,Overdue
