document_number,line_item,gl_account,debit_credit_indicator,amount,cost_center,profit_center,order_id
JE0000072,2,500000,C,995.38,,PC008,ORD001136
JE0000073,1,110000,D,292.13,,PC012,ORD001598
JE0000073,2,500000,C,292.13,,PC012,ORD001598
JE0000074,1,110000,D,75.22,,PC003,ORD000206
JE0000074,2,500000,C,75.22,,PC003,ORD000206
JE0000075,1,110000,D,1777.1,,PC001,ORD002260
JE0000075,2,500000,C,1777.1,,PC001,ORD002260
JE0000076,1,110000,D,554.92,,PC005,ORD000004
JE0000076,2,500000,C,554.92,,PC005,ORD000004
JE0000077,1,110000,D,496.1,,PC012,ORD000621
JE0000077,2,500000,C,496.1,,PC012,ORD000621
JE0000078,1,110000,D,200.34,,PC008,ORD000536
JE0000078,2,500000,C,200.34,,PC008,ORD000536
JE0000079,1,110000,D,1164.87,,PC009,ORD002361
JE0000079,2,500000,C,1164.87,,PC009,ORD002361
JE0000080,1,110000,D,208.42,,PC011,ORD001491
JE0000080,2,500000,C,208.42,,PC011,ORD001491
JE0000081,1,110000,D,166.72,,PC013,ORD000293
JE0000081,2,500000,C,166.72,,PC013,ORD000293
JE0000082,1,110000,D,494.65,,PC004,ORD000928
JE0000082,2,500000,C,494.65,,PC004,ORD000928
JE0000083,1,110000,D,1073.05,,PC013,ORD002301
JE0000083,2,500000,C,1073.05,,PC013,ORD002301
JE0000084,1,110000,D,801.23,,PC012,ORD001661
JE0000084,2,500000,C,801.23,,PC012,ORD001661
JE0000085,1,110000,D,931.35,,PC002,ORD000433
JE0000085,2,500000,C,931.35,,PC002,ORD000433
JE0000086,1,110000,D,1103.83,,PC012,ORD000749
JE0000086,2,500000,C,1103.83,,PC012,ORD000749
JE0000087,1,110000,D,866.98,,PC006,ORD000608
JE0000087,2,500000,C,866.98,,PC006,ORD000608
JE0000088,1,110000,D,1339.94,,PC001,ORD000614
JE0000088,2,500000,C,1339.94,,PC001,ORD000614
JE0000089,1,110000,D,655.73,,PC007,ORD000789
JE0000089,2,500000,C,655.73,,PC007,ORD000789
JE0000090,1,110000,D,898.65,,PC004,ORD001989
JE0000090,2,500000,C,898.65,,PC004,ORD001989
JE0000091,1,110000,D,538.47,,PC002,ORD000784
JE0000091,2,500000,C,538.47,,PC002,ORD000784
JE0000092,1,110000,D,82.31,,PC011,ORD001793
JE0000092,2,500000,C,82.31,,PC011,ORD001793
JE0000093,1,110000,D,178.94,,PC009,ORD002030
JE0000093,2,500000,C,178.94,,PC009,ORD002030
JE0000094,1,110000,D,511.78,,PC013,ORD002472
JE0000094,2,500000,C,511.78,,PC013,ORD002472
JE0000095,1,110000,D,931.05,,PC014,ORD000797
JE0000095,2,500000,C,931.05,,PC014,ORD000797
JE0000096,1,110000,D,1933.69,,PC009,ORD002186
JE0000096,2,500000,C,1933.69,,PC009,ORD002186
JE0000097,1,110000,D,255.45,,PC011,ORD001673
JE0000097,2,500000,C,255.45,,PC011,ORD001673
JE0000098,1,110000,D,1010.68,,PC013,ORD000714
JE0000098,2,500000,C,1010.68,,PC013,ORD000714
JE0000099,1,110000,D,722.7,,PC004,ORD002213
JE0000099,2,500000,C,722.7,,PC004,ORD002213
JE0000100,1,110000,D,303.33,,PC013,ORD001966
JE0000100,2,500000,C,303.33,,PC013,ORD001966
JE0000101,1,110000,D,799.11,,PC012,ORD000528
JE0000101,2,500000,C,799.11,,PC012,ORD000528
JE0000102,1,110000,D,295.18,,PC009,ORD001637
JE0000102,2,500000,C,295.18,,PC009,ORD001637
JE0000103,1,110000,D,351.26,,PC001,ORD000051
JE0000103,2,500000,C,351.26,,PC001,ORD000051
JE0000104,1,110000,D,693.7,,PC013,ORD002816
JE0000104,2,500000,C,693.7,,PC013,ORD002816
JE0000105,1,110000,D,741.9,,PC011,ORD000292
JE0000105,2,500000,C,741.9,,PC011,ORD000292
JE0000106,1,110000,D,764.81,,PC003,ORD001431
JE0000106,2,500000,C,764.81,,PC003,ORD001431
JE0000107,1,110000,D,2009.36,,PC003,ORD000221
JE0000107,2,500000,C,2009.36,,PC003,ORD000221
JE0000108,1,110000,D,252.59,,PC008,ORD001824
JE0000108,2,500000,C,252.59,,PC008,ORD001824
JE0000109,1,110000,D,316.13,,PC009,ORD002460
JE0000109,2,500000,C,316.13,,PC009,ORD002460
JE0000110,1,110000,D,912.78,,PC012,ORD001552
JE0000110,2,500000,C,912.78,,PC012,ORD001552
JE0000111,1,110000,D,611.19,,PC004,ORD002161
JE0000111,2,500000,C,611.19,,PC004,ORD002161
JE0000112,1,110000,D,211.48,,PC015,ORD002546
JE0000112,2,500000,C,211.48,,PC015,ORD002546
JE0000113,1,110000,D,618.8,,PC009,ORD002767
JE0000113,2,500000,C,618.8,,PC009,ORD002767
JE0000114,1,110000,D,148.92,,PC004,ORD002964
JE0000114,2,500000,C,148.92,,PC004,ORD002964
JE0000115,1,110000,D,852.09,,PC001,ORD001154
JE0000115,2,500000,C,852.09,,PC001,ORD001154
JE0000116,1,110000,D,269.0,,PC012,ORD000814
JE0000116,2,500000,C,269.0,,PC012,ORD000814
JE0000117,1,110000,D,1845.17,,PC003,ORD001947
JE0000117,2,500000,C,1845.17,,PC003,ORD001947
JE0000118,1,110000,D,498.59,,PC008,ORD001590
JE0000118,2,500000,C,498.59,,PC008,ORD001590
JE0000119,1,110000,D,364.14,,PC003,ORD002699
JE0000119,2,500000,C,364.14,,PC003,ORD002699
JE0000120,1,110000,D,1012.86,,PC014,ORD002673
JE0000120,2,500000,C,1012.86,,PC014,ORD002673
JE0000121,1,110000,D,701.12,,PC014,ORD002365
JE0000121,2,500000,C,701.12,,PC014,ORD002365
JE0000122,1,110000,D,1069.04,,PC005,ORD000005
JE0000122,2,500000,C,1069.04,,PC005,ORD000005
JE0000123,1,110000,D,1244.72,,PC004,ORD000726
JE0000123,2,500000,C,1244.72,,PC004,ORD000726
JE0000124,1,110000,D,278.39,,PC013,ORD002456
JE0000124,2,500000,C,278.39,,PC013,ORD002456
JE0000125,1,110000,D,452.66,,PC010,ORD001948
JE0000125,2,500000,C,452.66,,PC010,ORD001948
JE0000126,1,110000,D,1663.72,,PC006,ORD002681
JE0000126,2,500000,C,1663.72,,PC006,ORD002681
JE0000127,1,110000,D,689.34,,PC007,ORD000007
JE0000127,2,500000,C,689.34,,PC007,ORD000007
JE0000128,1,110000,D,569.81,,PC011,ORD001105
JE0000128,2,500000,C,569.81,,PC011,ORD001105
JE0000129,1,110000,D,377.0,,PC014,ORD001293
JE0000129,2,500000,C,377.0,,PC014,ORD001293
JE0000130,1,110000,D,423.21,,PC014,ORD002710
JE0000130,2,500000,C,423.21,,PC014,ORD002710
JE0000131,1,110000,D,499.77,,PC006,ORD001630
JE0000131,2,500000,C,499.77,,PC006,ORD001630
JE0000132,1,110000,D,334.71,,PC006,ORD002849
JE0000132,2,500000,C,334.71,,PC006,ORD002849
JE0000133,1,110000,D,1173.18,,PC001,ORD000526
JE0000133,2,500000,C,1173.18,,PC001,ORD000526
JE0000134,1,110000,D,391.91,,PC008,ORD001927
JE0000134,2,500000,C,391.91,,PC008,ORD001927
JE0000135,1,110000,D,1692.28,,PC006,ORD000912
JE0000135,2,500000,C,1692.28,,PC006,ORD000912
JE0000136,1,110000,D,33.47,,PC013,ORD002097
JE0000136,2,500000,C,33.47,,PC013,ORD002097
JE0000137,1,110000,D,461.26,,PC015,ORD001855
JE0000137,2,500000,C,461.26,,PC015,ORD001855
JE0000138,1,110000,D,97.9,,PC010,ORD000774
JE0000138,2,500000,C,97.9,,PC010,ORD000774
JE0000139,1,110000,D,281.62,,PC005,ORD000590
JE0000139,2,500000,C,281.62,,PC005,ORD000590
JE0000140,1,110000,D,970.61,,PC012,ORD000903
JE0000140,2,500000,C,970.61,,PC012,ORD000903
JE0000141,1,110000,D,488.59,,PC012,ORD002600
JE0000141,2,500000,C,488.59,,PC012,ORD002600
JE0000142,1,110000,D,902.16,,PC004,ORD001968
JE0000142,2,500000,C,902.16,,PC004,ORD001968
JE0000143,1,110000,D,524.3,,PC002,ORD002930
JE0000143,2,500000,C,524.3,,PC002,ORD002930
JE0000144,1,110000,D,850.15,,PC015,ORD001684
JE0000144,2,500000,C,850.15,,PC015,ORD001684
JE0000145,1,110000,D,384.49,,PC014,ORD002704
JE0000145,2,500000,C,384.49,,PC014,ORD002704
JE0000146,1,110000,D,746.89,,PC005,ORD001847
JE0000146,2,500000,C,746.89,,PC005,ORD001847
JE0000147,1,110000,D,422.26,,PC005,ORD002583
JE0000147,2,500000,C,422.26,,PC005,ORD002583
JE0000148,1,110000,D,594.64,,PC008,ORD001662
JE0000148,2,500000,C,594.64,,PC008,ORD001662
JE0000149,1,110000,D,940.41,,PC009,ORD000307
JE0000149,2,500000,C,940.41,,PC009,ORD000307
JE0000150,1,110000,D,742.01,,PC004,ORD000517
JE0000150,2,500000,C,742.01,,PC004,ORD000517
JE0000151,1,110000,D,2105.52,,PC003,ORD001614
JE0000151,2,500000,C,2105.52,,PC003,ORD001614
JE0000152,1,110000,D,151.2,,PC001,ORD001587
JE0000152,2,500000,C,151.2,,PC001,ORD001587
JE0000153,1,110000,D,513.28,,PC009,ORD003000
JE0000153,2,500000,C,513.28,,PC009,ORD003000
JE0000154,1,110000,D,1168.27,,PC008,ORD002572
JE0000154,2,500000,C,1168.27,,PC008,ORD002572
JE0000155,1,110000,D,456.34,,PC010,ORD000041
JE0000155,2,500000,C,456.34,,PC010,ORD000041
JE0000156,1,110000,D,1264.93,,PC013,ORD000367
JE0000156,2,500000,C,1264.93,,PC013,ORD000367
JE0000157,1,110000,D,418.73,,PC006,ORD001652
JE0000157,2,500000,C,418.73,,PC006,ORD001652
JE0000158,1,110000,D,524.94,,PC010,ORD000589
JE0000158,2,500000,C,524.94,,PC010,ORD000589
JE0000159,1,110000,D,716.66,,PC013,ORD000011
JE0000159,2,500000,C,716.66,,PC013,ORD000011
JE0000160,1,110000,D,1695.98,,PC006,ORD002687
JE0000160,2,500000,C,1695.98,,PC006,ORD002687
JE0000161,1,110000,D,615.53,,PC001,ORD001239
JE0000161,2,500000,C,615.53,,PC001,ORD001239
JE0000162,1,110000,D,1684.66,,PC004,ORD002337
JE0000162,2,500000,C,1684.66,,PC004,ORD002337
JE0000163,1,110000,D,1381.01,,PC005,ORD002689
JE0000163,2,500000,C,1381.01,,PC005,ORD002689
JE0000164,1,110000,D,299.48,,PC006,ORD002342
JE0000164,2,500000,C,299.48,,PC006,ORD002342
JE0000165,1,110000,D,2379.74,,PC008,ORD002338
JE0000165,2,500000,C,2379.74,,PC008,ORD002338
JE0000166,1,110000,D,728.99,,PC008,ORD002657
JE0000166,2,500000,C,728.99,,PC008,ORD002657
JE0000167,1,110000,D,898.16,,PC012,ORD001827
JE0000167,2,500000,C,898.16,,PC012,ORD001827
JE0000168,1,110000,D,750.39,,PC009,ORD002947
JE0000168,2,500000,C,750.39,,PC009,ORD002947
JE0000169,1,110000,D,268.29,,PC012,ORD001376
JE0000169,2,500000,C,268.29,,PC012,ORD001376
JE0000170,1,110000,D,387.26,,PC009,ORD002797
JE0000170,2,500000,C,387.26,,PC009,ORD002797
JE0000171,1,110000,D,944.76,,PC015,ORD001219
JE0000171,2,500000,C,944.76,,PC015,ORD001219
JE0000172,1,110000,D,159.92,,PC012,ORD001127
JE0000172,2,500000,C,159.92,,PC012,ORD001127
JE0000173,1,110000,D,929.92,,PC003,ORD001987
JE0000173,2,500000,C,929.92,,PC003,ORD001987
JE0000174,1,110000,D,2290.82,,PC003,ORD000322
JE0000174,2,500000,C,2290.82,,PC003,ORD000322
JE0000175,1,110000,D,2375.93,,PC004,ORD002923
JE0000175,2,500000,C,2375.93,,PC004,ORD002923
JE0000176,1,110000,D,929.61,,PC013,ORD001407
JE0000176,2,500000,C,929.61,,PC013,ORD001407
JE0000177,1,110000,D,852.98,,PC009,ORD001563
JE0000177,2,500000,C,852.98,,PC009,ORD001563
JE0000178,1,110000,D,540.92,,PC001,ORD000397
JE0000178,2,500000,C,540.92,,PC001,ORD000397
JE0000179,1,110000,D,1810.91,,PC012,ORD001434
JE0000179,2,500000,C,1810.91,,PC012,ORD001434
JE0000180,1,110000,D,526.68,,PC009,ORD002146
JE0000180,2,500000,C,526.68,,PC009,ORD002146
JE0000181,1,110000,D,222.23,,PC009,ORD002191
JE0000181,2,500000,C,222.23,,PC009,ORD002191
JE0000182,1,110000,D,1658.49,,PC008,ORD000772
JE0000182,2,500000,C,1658.49,,PC008,ORD000772
JE0000183,1,110000,D,1239.45,,PC006,ORD001242
JE0000183,2,500000,C,1239.45,,PC006,ORD001242
JE0000184,1,110000,D,214.27,,PC011,ORD002739
JE0000184,2,500000,C,214.27,,PC011,ORD002739
JE0000185,1,110000,D,2044.26,,PC003,ORD002770
JE0000185,2,500000,C,2044.26,,PC003,ORD002770
JE0000186,1,110000,D,216.86,,PC008,ORD001146
JE0000186,2,500000,C,216.86,,PC008,ORD001146
JE0000187,1,110000,D,372.35,,PC001,ORD001656
JE0000187,2,500000,C,372.35,,PC001,ORD001656
JE0000188,1,110000,D,293.51,,PC011,ORD001754
JE0000188,2,500000,C,293.51,,PC011,ORD001754
JE0000189,1,110000,D,102.34,,PC001,ORD000112
JE0000189,2,500000,C,102.34,,PC001,ORD000112
JE0000190,1,110000,D,178.71,,PC013,ORD001698
JE0000190,2,500000,C,178.71,,PC013,ORD001698
JE0000191,1,110000,D,205.5,,PC010,ORD002668
JE0000191,2,500000,C,205.5,,PC010,ORD002668
JE0000192,1,110000,D,797.4,,PC001,ORD002535
JE0000192,2,500000,C,797.4,,PC001,ORD002535
JE0000193,1,110000,D,708.88,,PC004,ORD002692
JE0000193,2,500000,C,708.88,,PC004,ORD002692
JE0000194,1,110000,D,892.33,,PC015,ORD001525
JE0000194,2,500000,C,892.33,,PC015,ORD001525
JE0000195,1,110000,D,129.55,,PC001,ORD000331
JE0000195,2,500000,C,129.55,,PC001,ORD000331
JE0000196,1,110000,D,953.52,,PC009,ORD002697
JE0000196,2,500000,C,953.52,,PC009,ORD002697
JE0000197,1,110000,D,696.3,,PC004,ORD000256
JE0000197,2,500000,C,696.3,,PC004,ORD000256
JE0000198,1,110000,D,713.18,,PC014,ORD000158
JE0000198,2,500000,C,713.18,,PC014,ORD000158
JE0000199,1,110000,D,1086.2,,PC006,ORD000319
JE0000199,2,500000,C,1086.2,,PC006,ORD000319
JE0000200,1,110000,D,775.08,,PC015,ORD000631
JE0000200,2,500000,C,775.08,,PC015,ORD000631
JE0000201,1,110000,D,347.45,,PC004,ORD002207
JE0000201,2,500000,C,347.45,,PC004,ORD002207
JE0000202,1,110000,D,1048.66,,PC002,ORD000315
JE0000202,2,500000,C,1048.66,,PC002,ORD000315
JE0000203,1,110000,D,1287.19,,PC007,ORD001826
JE0000203,2,500000,C,1287.19,,PC007,ORD001826
JE0000204,1,110000,D,1148.39,,PC001,ORD002960
JE0000204,2,500000,C,1148.39,,PC001,ORD002960
JE0000205,1,110000,D,613.21,,PC005,ORD001545
JE0000205,2,500000,C,613.21,,PC005,ORD001545
JE0000206,1,110000,D,1864.12,,PC001,ORD000855
JE0000206,2,500000,C,1864.12,,PC001,ORD000855
JE0000207,1,110000,D,313.17,,PC014,ORD002016
JE0000207,2,500000,C,313.17,,PC014,ORD002016
JE0000208,1,110000,D,1065.35,,PC015,ORD002398
JE0000208,2,500000,C,1065.35,,PC015,ORD002398
JE0000209,1,110000,D,659.99,,PC011,ORD000347
JE0000209,2,500000,C,659.99,,PC011,ORD000347
JE0000210,1,110000,D,1539.95,,PC008,ORD000599
JE0000210,2,500000,C,1539.95,,PC008,ORD000599
JE0000211,1,110000,D,1706.63,,PC010,ORD000856
JE0000211,2,500000,C,1706.63,,PC010,ORD000856
JE0000212,1,110000,D,1222.19,,PC012,ORD000443
JE0000212,2,500000,C,1222.19,,PC012,ORD000443
JE0000213,1,110000,D,2504.98,,PC011,ORD002333
JE0000213,2,500000,C,2504.98,,PC011,ORD002333
JE0000214,1,110000,D,1047.02,,PC003,ORD002001
JE0000214,2,500000,C,1047.02,,PC003,ORD002001
JE0000215,1,110000,D,470.83,,PC010,ORD002848
JE0000215,2,500000,C,470.83,,PC010,ORD002848
JE0000216,1,110000,D,199.79,,PC012,ORD001534
JE0000216,2,500000,C,199.79,,PC012,ORD001534
JE0000217,1,110000,D,559.72,,PC011,ORD000762
JE0000217,2,500000,C,559.72,,PC011,ORD000762
JE0000218,1,110000,D,757.79,,PC013,ORD002012
JE0000218,2,500000,C,757.79,,PC013,ORD002012
JE0000219,1,110000,D,1447.3,,PC011,ORD002901
JE0000219,2,500000,C,1447.3,,PC011,ORD002901
JE0000220,1,110000,D,661.32,,PC010,ORD001358
JE0000220,2,500000,C,661.32,,PC010,ORD001358
JE0000221,1,110000,D,113.06,,PC002,ORD001638
JE0000221,2,500000,C,113.06,,PC002,ORD001638
JE0000222,1,110000,D,1373.52,,PC012,ORD001078
JE0000222,2,500000,C,1373.52,,PC012,ORD001078
JE0000223,1,110000,D,748.75,,PC009,ORD001991
JE0000223,2,500000,C,748.75,,PC009,ORD001991
JE0000224,1,110000,D,1461.04,,PC009,ORD000966
JE0000224,2,500000,C,1461.04,,PC009,ORD000966
JE0000225,1,110000,D,340.61,,PC011,ORD002276
JE0000225,2,500000,C,340.61,,PC011,ORD002276
JE0000226,1,110000,D,732.52,,PC004,ORD002195
JE0000226,2,500000,C,732.52,,PC004,ORD002195
JE0000227,1,110000,D,314.41,,PC014,ORD000587
JE0000227,2,500000,C,314.41,,PC014,ORD000587
JE0000228,1,110000,D,891.98,,PC003,ORD000066
JE0000228,2,500000,C,891.98,,PC003,ORD000066
JE0000229,1,110000,D,612.82,,PC008,ORD000937
JE0000229,2,500000,C,612.82,,PC008,ORD000937
JE0000230,1,110000,D,794.96,,PC008,ORD002485
JE0000230,2,500000,C,794.96,,PC008,ORD002485
JE0000231,1,110000,D,240.34,,PC013,ORD000731
JE0000231,2,500000,C,240.34,,PC013,ORD000731
JE0000232,1,110000,D,838.41,,PC004,ORD001235
JE0000232,2,500000,C,838.41,,PC004,ORD001235
JE0000233,1,110000,D,580.83,,PC015,ORD001132
JE0000233,2,500000,C,580.83,,PC015,ORD001132
JE0000234,1,110000,D,602.74,,PC009,ORD001472
JE0000234,2,500000,C,602.74,,PC009,ORD001472
JE0000235,1,110000,D,804.24,,PC005,ORD002317
JE0000235,2,500000,C,804.24,,PC005,ORD002317
JE0000236,1,110000,D,865.16,,PC001,ORD000757
JE0000236,2,500000,C,865.16,,PC001,ORD000757
JE0000237,1,110000,D,998.86,,PC006,ORD002027
JE0000237,2,500000,C,998.86,,PC006,ORD002027
JE0000238,1,110000,D,2034.51,,PC009,ORD002250
JE0000238,2,500000,C,2034.51,,PC009,ORD002250
JE0000239,1,110000,D,443.61,,PC007,ORD002515
JE0000239,2,500000,C,443.61,,PC007,ORD002515
JE0000240,1,110000,D,929.98,,PC014,ORD002256
JE0000240,2,500000,C,929.98,,PC014,ORD002256
JE0000241,1,110000,D,119.39,,PC010,ORD002953
JE0000241,2,500000,C,119.39,,PC010,ORD002953
JE0000242,1,110000,D,2237.63,,PC010,ORD001594
JE0000242,2,500000,C,2237.63,,PC010,ORD001594
JE0000243,1,110000,D,464.67,,PC014,ORD001609
JE0000243,2,500000,C,464.67,,PC014,ORD001609
JE0000244,1,110000,D,170.01,,PC012,ORD002052
JE0000244,2,500000,C,170.01,,PC012,ORD002052
JE0000245,1,110000,D,767.3,,PC007,ORD000798
JE0000245,2,500000,C,767.3,,PC007,ORD000798
JE0000246,1,110000,D,1258.25,,PC005,ORD001269
JE0000246,2,500000,C,1258.25,,PC005,ORD001269
