posting_id,cost_center,gl_account,fiscal_year,period,amount,posting_date
COP000113,CC0015,440000,2023,9,24682.33,2023-09-28
COP000114,CC0024,400000,2023,2,31897.08,2023-02-22
COP000115,CC0010,400000,2023,10,675.51,2023-10-11
COP000116,CC0013,420000,2023,5,8498.31,2023-05-14
COP000117,CC0019,440000,2024,3,35430.54,2024-03-28
COP000118,CC0011,400000,2024,7,6037.76,2024-07-28
COP000119,CC0009,410000,2024,12,27506.72,2024-12-08
COP000120,CC0010,440000,2024,1,27849.99,2024-01-14
COP000121,CC0024,410000,2024,3,2570.53,2024-03-16
COP000122,CC0016,400000,2024,1,44996.77,2024-01-09
COP000123,CC0025,410000,2023,8,33513.2,2023-08-04
COP000124,CC0015,440000,2023,12,44264.67,2023-12-29
COP000125,CC0006,440000,2024,2,37599.14,2024-02-21
COP000126,CC0005,410000,2023,8,48822.2,2023-08-31
COP000127,CC0020,430000,2023,7,1726.92,2023-07-01
COP000128,CC0005,430000,2023,12,40210.64,2023-12-07
COP000129,CC0023,420000,2023,9,8380.29,2023-09-12
COP000130,CC0009,400000,2024,12,19435.82,2024-12-19
COP000131,CC0024,430000,2023,2,11510.47,2023-02-09
COP000132,CC0001,420000,2024,4,15606.95,2024-04-16
COP000133,CC0008,410000,2023,8,1671.39,2023-08-22
COP000134,CC0013,430000,2023,7,16748.97,2023-07-17
COP000135,CC0019,420000,2023,3,17881.73,2023-03-13
COP000136,CC0025,430000,2024,6,34136.15,2024-06-05
COP000137,CC0007,420000,2024,7,46992.24,2024-07-03
COP000138,CC0015,420000,2023,4,9339.11,2023-04-29
COP000139,CC0018,400000,2023,9,5865.93,2023-09-29
COP000140,CC0021,420000,2024,3,36562.98,2024-03-20
COP000141,CC0005,430000,2023,11,30507.34,2023-11-18
COP000142,CC0004,400000,2024,6,19567.17,2024-06-07
COP000143,CC0016,410000,2024,8,13108.76,2024-08-13
COP000144,CC0011,430000,2024,12,583.72,2024-12-26
COP000145,CC0005,410000,2024,7,18528.96,2024-07-05
COP000146,CC0020,420000,2023,3,31346.19,2023-03-13
COP000147,CC0019,400000,2024,11,36127.84,2024-11-10
COP000148,CC0014,440000,2023,11,15809.59,2023-11-04
COP000149,CC0024,420000,2024,2,20418.82,2024-02-23
COP000150,CC0020,440000,2023,10,6800.75,2023-10-30
COP000151,CC0025,430000,2024,3,34027.24,2024-03-06
COP000152,CC0024,440000,2023,6,28670.71,2023-06-28
COP000153,CC0016,440000,2024,2,41769.4,2024-02-20
COP000154,CC0012,420000,2023,11,10904.04,2023-11-08
COP000155,CC0010,440000,2024,8,32907.93,2024-08-16
COP000156,CC0013,430000,2024,4,22386.91,2024-04-21
COP000157,CC0019,440000,2023,8,23922.72,2023-08-07
COP000158,CC0004,400000,2023,6,14547.43,2023-06-23
COP000159,CC0023,440000,2024,11,17091.82,2024-11-10
COP000160,CC0005,420000,2023,8,11619.71,2023-08-29
COP000161,CC0018,410000,2023,7,1709.06,2023-07-23
COP000162,CC0006,430000,2023,9,30758.06,2023-09-08
COP000163,CC0018,430000,2023,3,21014.83,2023-03-16
COP000164,CC0023,440000,2024,10,10124.54,2024-10-06
COP000165,CC0019,430000,2024,12,24971.67,2024-12-14
COP000166,CC0025,410000,2023,9,32974.87,2023-09-07
COP000167,CC0006,400000,2023,1,39031.81,2023-01-06
COP000168,CC0006,410000,2023,8,40303.44,2023-08-13
COP000169,CC0002,440000,2024,12,23495.22,2024-12-13
COP000170,CC0023,410000,2024,7,45914.77,2024-07-24
COP000171,CC0018,430000,2023,5,7100.29,2023-05-05
COP000172,CC0014,440000,2024,4,49400.68,2024-04-20
COP000173,CC0021,420000,2024,9,47526.96,2024-09-01
COP000174,CC0017,440000,2024,3,40842.82,2024-03-29
COP000175,CC0011,430000,2024,5,41613.17,2024-05-31
COP000176,CC0001,430000,2024,7,44911.8,2024-07-15
COP000177,CC0002,430000,2024,5,13329.98,2024-05-01
COP000178,CC0022,420000,2023,9,38407.78,2023-09-11
COP000179,CC0018,430000,2024,6,31524.05,2024-06-17
COP000180,CC0014,430000,2023,10,4335.43,2023-10-09
COP000181,CC0020,410000,2023,10,13949.9,2023-10-20
COP000182,CC0005,440000,2023,11,4488.59,2023-11-24
COP000183,CC0020,410000,2023,6,19460.25,2023-06-04
COP000184,CC0009,410000,2023,6,3679.33,2023-06-06
COP000185,CC0007,420000,2024,2,27359.25,2024-02-22
COP000186,CC0016,400000,2024,3,10738.3,2024-03-01
COP000187,CC0001,430000,2024,3,45289.5,2024-03-06
COP000188,CC0007,400000,2024,8,42908.24,2024-08-21
COP000189,CC0005,430000,2024,8,24110.5,2024-08-12
COP000190,CC0012,420000,2023,12,37797.02,2023-12-27
COP000191,CC0022,440000,2024,3,37502.03,2024-03-05
COP000192,CC0005,440000,2024,7,44941.66,2024-07-13
COP000193,CC0016,410000,2024,5,14010.3,2024-05-14
COP000194,CC0010,400000,2024,5,19748.43,2024-05-12
COP000195,CC0006,430000,2024,11,36346.98,2024-11-15
COP000196,CC0015,410000,2024,4,49045.74,2024-04-23
COP000197,CC0025,400000,2024,6,45392.98,2024-06-30
COP000198,CC0013,440000,2024,8,33318.49,2024-08-29
COP000199,CC0018,430000,2023,3,7217.12,2023-03-27
COP000200,CC0004,410000,2024,4,2989.09,2024-04-17
COP000201,CC0008,420000,2024,1,10977.18,2024-01-24
COP000202,CC0018,420000,2023,12,38180.87,2023-12-01
COP000203,CC0024,420000,2024,1,37724.49,2024-01-24
COP000204,CC0023,420000,2024,3,41828.09,2024-03-07
COP000205,CC0020,400000,2024,4,37576.7,2024-04-26
COP000206,CC0020,420000,2023,2,11599.0,2023-02-23
COP000207,CC0022,400000,2023,3,37834.54,2023-03-12
COP000208,CC0002,410000,2023,9,42041.83,2023-09-11
COP000209,CC0007,410000,2024,9,12307.97,2024-09-28
COP000210,CC0013,400000,2024,4,28416.49,2024-04-29
COP000211,CC0019,430000,2023,8,35123.52,2023-08-12
COP000212,CC0007,410000,2024,1,30491.69,2024-01-13
COP000213,CC0014,410000,2023,4,48253.68,2023-04-28
COP000214,CC0016,440000,2023,4,1771.08,2023-04-21
COP000215,CC0014,440000,2023,11,34028.69,2023-11-16
COP000216,CC0019,430000,2024,1,47102.79,2024-01-20
COP000217,CC0006,400000,2023,7,29808.84,2023-07-23
COP000218,CC0014,410000,2024,10,5544.11,2024-10-04
COP000219,CC0010,440000,2023,11,40373.63,2023-11-05
COP000220,CC0016,400000,2024,8,17686.59,2024-08-02
COP000221,CC0003,420000,2024,3,3913.36,2024-03-14
COP000222,CC0002,420000,2024,10,1126.28,2024-10-25
COP000223,CC0006,430000,2024,3,5724.17,2024-03-06
COP000224,CC0016,430000,2024,1,35511.78,2024-01-06
COP000225,CC0016,410000,2024,3,36822.87,2024-03-21
COP000226,CC0022,420000,2024,10,30987.66,2024-10-28
COP000227,CC0012,430000,2024,7,23511.25,2024-07-05
COP000228,CC0007,420000,2024,8,16454.08,2024-08-29
COP000229,CC0008,400000,2023,9,14306.95,2023-09-09
COP000230,CC0016,410000,2024,4,37648.58,2024-04-06
COP000231,CC0016,440000,2024,8,33575.33,2024-08-06
COP000232,CC0007,400000,2023,12,24968.17,2023-12-11
COP000233,CC0008,410000,2023,11,24633.72,2023-11-29
COP000234,CC0020,420000,2023,12,17346.77,2023-12-30
COP000235,CC0001,420000,2024,9,28011.66,2024-09-02
COP000236,CC0017,410000,2024,6,4737.84,2024-06-13
COP000237,CC0007,430000,2024,2,27981.22,2024-02-21
COP000238,CC0006,430000,2023,9,32472.19,2023-09-04
COP000239,CC0012,430000,2024,5,39750.18,2024-05-17
COP000240,CC0013,420000,2023,4,11469.02,2023-04-06
COP000241,CC0006,410000,2024,12,15657.2,2024-12-09
COP000242,CC0008,420000,2024,8,23926.39,2024-08-18
COP000243,CC0015,420000,2024,6,21562.44,2024-06-27
COP000244,CC0003,420000,2024,7,17914.62,2024-07-17
COP000245,CC0006,420000,2024,4,15677.84,2024-04-09
COP000246,CC0020,400000,2023,8,36203.57,2023-08-25
COP000247,CC0003,400000,2023,11,37272.61,2023-11-20
COP000248,CC0018,410000,2024,12,9981.28,2024-12-07
COP000249,CC0003,420000,2024,5,36366.96,2024-05-10
COP000250,CC0002,440000,2024,6,14508.44,2024-06-21
COP000251,CC0019,410000,2023,4,15164.2,2023-04-13
COP000252,CC0012,410000,2024,1,15462.25,2024-01-05
COP000253,CC0023,440000,2024,12,6765.86,2024-12-26
COP000254,CC0001,400000,2023,2,27891.27,2023-02-16
COP000255,CC0014,410000,2024,12,32074.55,2024-12-15
COP000256,CC0002,400000,2024,5,43699.63,2024-05-17
COP000257,CC0016,420000,2024,8,23735.15,2024-08-10
COP000258,CC0024,420000,2024,3,9626.0,2024-03-27
COP000259,CC0003,420000,2023,2,47082.65,2023-02-22
COP000260,CC0010,400000,2024,5,41194.72,2024-05-04
COP000261,CC0013,430000,2024,2,4167.07,2024-02-15
COP000262,CC0002,400000,2024,10,8010.49,2024-10-06
COP000263,CC0009,420000,2024,7,4716.45,2024-07-30
COP000264,CC0025,400000,2023,9,28124.62,2023-09-12
COP000265,CC0009,440000,2024,3,30008.28,2024-03-02
COP000266,CC0020,410000,2024,9,38896.83,2024-09-25
COP000267,CC0020,430000,2024,1,45470.97,2024-01-25
COP000268,CC0025,440000,2023,11,49506.55,2023-11-01
COP000269,CC0014,440000,2023,11,31240.85,2023-11-09
COP000270,CC0020,400000,2024,9,47405.71,2024-09-16
COP000271,CC0010,410000,2023,8,13599.98,2023-08-01
COP000272,CC0025,410000,2023,3,12373.33,2023-03-25
COP000273,CC0004,400000,2024,7,8248.36,2024-07-19
COP000274,CC0018,430000,2024,2,34623.87,2024-02-23
COP000275,CC0022,420000,2024,4,2115.67,2024-04-26
COP000276,CC0018,420000,2023,10,35297.88,2023-10-23
COP000277,CC0019,400000,2024,4,34525.55,2024-04-09
COP000278,CC0001,440000,2023,9,33228.56,2023-09-28
COP000279,CC0024,430000,2023,7,6181.43,2023-07-22
COP000280,CC0009,410000,2023,8,45466.37,2023-08-19
COP000281,CC0021,400000,2023,5,3452.08,2023-05-26
COP000282,CC0014,440000,2023,11,37573.41,2023-11-11
COP000283,CC0025,420000,2024,8,22238.1,2024-08-05
COP000284,CC0014,420000,2024,4,35136.82,2024-04-24
COP000285,CC0024,440000,2023,10,27229.09,2023-10-06
COP000286,CC0011,400000,2024,3,30102.81,2024-03-24
COP000287,CC0020,420000,2024,3,30383.83,2024-03-18
COP000288,CC0009,400000,2023,1,11831.76,2023-01-27
COP000289,CC0015,440000,2024,11,29562.59,2024-11-21
COP000290,CC0022,420000,2023,1,29024.23,2023-01-22
COP000291,CC0010,430000,2023,6,26188.71,2023-06-29
COP000292,CC0017,420000,2024,3,9483.71,2024-03-28
COP000293,CC0003,430000,2024,8,31921.84,2024-08-22
COP000294,CC0016,400000,2024,5,23765.51,2024-05-18
COP000295,CC0005,420000,2024,2,16392.38,2024-02-23
COP000296,CC0006,410000,2023,4,16825.28,2023-04-18
COP000297,CC0003,430000,2024,12,14766.78,2024-12-11
COP000298,CC0012,440000,2024,2,2316.51,2024-02-15
COP000299,CC0017,420000,2023,4,12993.74,2023-04-01
COP000300,CC0016,430000,2023,4,43313.07,2023-04-29
COP000301,CC0009,440000,2023,1,23367.83,2023-01-02
COP000302,CC0019,410000,2023,2,26162.75,2023-02-25
COP000303,CC0001,430000,2024,9,31457.73,2024-09-29
COP000304,CC0002,410000,2023,2,13719.28,2023-02-22
COP000305,CC0004,420000,2023,5,22186.75,2023-05-15
COP000306,CC0014,430000,2024,12,6510.59,2024-12-16
COP000307,CC0001,440000,2024,10,40066.03,2024-10-07
COP000308,CC0015,410000,2024,12,15882.13,2024-12-27
COP000309,CC0011,440000,2023,1,20695.54,2023-01-15
COP000310,CC0009,400000,2023,8,23341.67,2023-08-19
COP000311,CC0023,410000,2023,5,25169.59,2023-05-01
COP000312,CC0009,440000,2023,10,35417.88,2023-10-26
COP000313,CC0019,430000,2024,3,49022.11,2024-03-01
COP000314,CC0003,430000,2023,9,27787.62,2023-09-07
COP000315,CC0021,410000,2024,1,46132.47,2024-01-28
COP000316,CC0016,410000,2024,6,43269.33,2024-06-04
COP000317,CC0006,430000,2023,10,17323.82,2023-10-10
COP000318,CC0023,420000,2024,6,41117.2,2024-06-03
COP000319,CC0008,420000,2023,10,41955.06,2023-10-17
COP000320,CC0010,430000,2024,8,43330.4,2024-08-16
COP000321,CC0011,440000,2024,4,24474.9,2024-04-02
COP000322,CC0018,440000,2023,12,38262.2,2023-12-07
COP000323,CC0004,430000,2024,1,46676.19,2024-01-22
COP000324,CC0010,410000,2023,7,28803.98,2023-07-13
COP000325,CC0014,430000,2023,8,2660.54,2023-08-28
COP000326,CC0013,430000,2024,4,19610.9,2024-04-29
COP000327,CC0008,410000,2024,11,25018.77,2024-11-10
COP000328,CC0010,410000,2023,2,25363.41,2023-02-07
COP000329,CC0018,420000,2024,8,43550.17,2024-08-27
COP000330,CC0001,400000,2024,3,26534.58,2024-03-26
COP000331,CC0015,400000,2024,4,36260.97,2024-04-12
COP000332,CC0019,410000,2024,2,4204.0,2024-02-24
COP000333,CC0016,420000,2023,9,31351.34,2023-09-29
COP000334,CC0009,400000,2024,2,42662.38,2024-02-12
COP000335,CC0008,440000,2024,11,19310.47,2024-11-21
COP000336,CC0025,430000,2023,11,43682.96,2023-11-21
COP000337,CC0008,440000,2023,2,3886.83,2023-02-06
COP000338,CC0009,420000,2024,10,49872.58,2024-10-08
COP000339,CC0007,430000,2023,4,48927.72,2023-04-03
COP000340,CC0009,400000,2024,10,22462.09,2024-10-10
COP000341,CC0018,420000,2024,12,45219.49,2024-12-11
COP000342,CC0024,420000,2023,2,39909.1,2023-02-17
COP000343,CC0003,420000,2023,10,19054.63,2023-10-28
COP000344,CC0023,410000,2023,5,26792.73,2023-05-30
COP000345,CC0005,410000,2024,8,8914.19,2024-08-02
COP000346,CC0015,440000,2023,3,43606.56,2023-03-22
COP000347,CC0011,410000,2024,9,25134.53,2024-09-26
COP000348,CC0003,410000,2024,8,11993.33,2024-08-20
COP000349,CC0015,420000,2024,10,23248.74,2024-10-15
COP000350,CC0025,400000,2024,11,44995.97,2024-11-13
COP000351,CC0001,420000,2024,4,34041.74,2024-04-21
COP000352,CC0015,400000,2023,6,22365.62,2023-06-11
COP000353,CC0015,440000,2023,12,15308.14,2023-12-20
COP000354,CC0013,420000,2024,3,23113.37,2024-03-10
COP000355,CC0009,410000,2023,11,49968.99,2023-11-06
COP000356,CC0016,400000,2024,5,12241.68,2024-05-09
COP000357,CC0020,420000,2024,8,28953.19,2024-08-08
COP000358,CC0013,420000,2024,12,1586.01,2024-12-17
COP000359,CC0004,430000,2024,11,14086.78,2024-11-05
COP000360,CC0017,400000,2024,8,45575.54,2024-08-02
COP000361,CC0021,420000,2024,5,38899.18,2024-05-23
COP000362,CC0019,440000,2023,8,40195.63,2023-08-24
COP000363,CC0016,410000,2023,8,31234.11,2023-08-13
COP000364,CC0017,410000,2024,11,31598.28,2024-11-25
COP000365,CC0009,400000,2024,10,15792.18,2024-10-04
COP000366,CC0003,400000,2024,3,29188.9,2024-03-27
COP000367,CC0011,400000,2023,5,45526.58,2023-05-15
COP000368,CC0019,430000,2023,12,9194.18,2023-12-01
COP000369,CC0018,440000,2023,5,43884.8,2023-05-16
COP000370,CC0004,440000,2024,1,25338.84,2024-01-10
COP000371,CC0002,410000,2023,10,13220.02,2023-10-07
COP000372,CC0006,420000,2024,5,37454.69,2024-05-08
COP000373,CC0023,400000,2023,12,23682.4,2023-12-13
COP000374,CC0007,410000,2023,3,37830.5,2023-03-19
COP000375,CC0024,430000,2023,8,48379.85,2023-08-20
COP000376,CC0004,420000,2024,7,4969.99,2024-07-24
COP000377,CC0012,400000,2024,2,13590.7,2024-02-09
COP000378,CC0002,430000,2023,5,18744.99,2023-05-07
COP000379,CC0005,420000,2024,11,29435.72,2024-11-19
COP000380,CC0025,420000,2024,10,5863.13,2024-10-15
COP000381,CC0016,430000,2023,8,1738.72,2023-08-28
COP000382,CC0011,420000,2024,7,45805.17,2024-07-28
COP000383,CC0007,400000,2023,8,31952.49,2023-08-15
COP000384,CC0016,420000,2024,4,32637.35,2024-04-20
COP000385,CC0010,410000,2023,4,2744.67,2023-04-30
COP000386,CC0005,420000,2023,2,49798.41,2023-02-08
COP000387,CC0004,400000,2023,4,12122.6,2023-04-29
COP000388,CC0013,410000,2024,7,19737.97,2024-07-04
COP000389,CC0015,440000,2024,1,21246.77,2024-01-15
COP000390,CC0017,430000,2023,6,32918.63,2023-06-08
COP000391,CC0021,440000,2024,5,20701.74,2024-05-16
COP000392,CC0005,400000,2023,10,34668.89,2023-10-14
COP000393,CC0024,430000,2023,8,22512.45,2023-08-11
COP000394,CC0022,420000,2023,8,5418.05,2023-08-30
COP000395,CC0018,420000,2024,12,27451.06,2024-12-03
COP000396,CC0020,420000,2024,10,3497.23,2024-10-22
COP000397,CC0016,410000,2023,10,48426.24,2023-10-10
COP000398,CC0012,400000,2024,4,33307.05,2024-04-10
COP000399,CC0012,440000,2024,10,48569.12,2024-10-19
COP000400,CC0007,420000,2023,2,12556.66,2023-02-21
COP000401,CC0024,440000,2023,5,10657.68,2023-05-09
COP000402,CC0007,410000,2024,7,29525.96,2024-07-21
COP000403,CC0022,420000,2023,8,38831.24,2023-08-27
COP000404,CC0020,400000,2024,9,14225.1,2024-09-02
COP000405,CC0012,410000,2023,5,27240.67,2023-05-29
COP000406,CC0007,400000,2023,6,33222.35,2023-06-28
COP000407,CC0005,410000,2023,1,1235.59,2023-01-27
COP000408,CC0012,440000,2023,9,16526.69,2023-09-01
COP000409,CC0013,420000,2023,6,3093.75,2023-06-28
COP000410,CC0008,440000,2024,3,6125.64,2024-03-07
COP000411,CC0018,430000,2023,3,22689.62,2023-03-07
COP000412,CC0020,440000,2024,1,29886.47,2024-01-06
COP000413,CC0009,440000,2024,4,11466.71,2024-04-07
COP000414,CC0019,400000,2024,9,36498.53,2024-09-21
COP000415,CC0013,440000,2024,11,15430.7,2024-11-05
COP000416,CC0001,400000,2024,10,3510.86,2024-10-20
COP000417,CC0012,430000,2024,5,21600.54,2024-05-05
COP000418,CC0011,430000,2023,4,35763.87,2023-04-21
COP000419,CC0024,400000,2024,3,45013.7,2024-03-30
COP000420,CC0016,440000,2023,11,7842.52,2023-11-26
COP000421,CC0020,420000,2023,5,31403.72,2023-05-10
COP000422,CC0006,440000,2024,8,35751.56,2024-08-22
COP000423,CC0016,440000,2024,1,26762.56,2024-01-26
COP000424,CC0015,440000,2024,4,30468.63,2024-04-09
COP000425,CC0016,400000,2023,4,42713.24,2023-04-12
COP000426,CC0008,440000,2024,10,36181.58,2024-10-28
COP000427,CC0021,430000,2023,8,22851.97,2023-08-09
COP000428,CC0017,430000,2023,8,17277.12,2023-08-22
COP000429,CC0013,430000,2024,4,21091.49,2024-04-09
COP000430,CC0011,420000,2023,4,21624.82,2023-04-08
COP000431,CC0008,420000,2024,11,19027.9,2024-11-12
COP000432,CC0006,430000,2023,6,3823.1,2023-06-06
COP000433,CC0009,400000,2023,3,21877.89,2023-03-29
COP000434,CC0016,410000,2024,1,28040.35,2024-01-17
COP000435,CC0016,440000,2024,8,28303.33,2024-08-23
COP000436,CC0008,400000,2024,11,20835.03,2024-11-17
COP000437,CC0017,430000,2024,11,43470.56,2024-11-12
COP000438,CC0021,420000,2023,2,30220.3,2023-02-22
COP000439,CC0020,400000,2023,12,29106.97,2023-12-27
COP000440,CC0025,410000,2023,8,33008.45,2023-08-06
COP000441,CC0023,400000,2023,8,17830.64,2023-08-18
COP000442,CC0022,420000,2024,7,6186.82,2024-07-23
COP000443,CC0020,440000,2023,10,11694.88,2023-10-13
COP000444,CC0015,440000,2024,3,48740.06,2024-03-15
COP000445,CC0018,440000,2024,9,33911.35,2024-09-28
COP000446,CC0007,400000,2024,7,30645.25,2024-07-24
COP000447,CC0007,420000,2024,11,1933.18,2024-11-04
COP000448,CC0017,420000,2023,10,46116.11,2023-10-07
COP000449,CC0013,400000,2023,12,9479.58,2023-12-26
COP000450,CC0022,440000,2023,5,33038.56,2023-05-27
COP000451,CC0002,410000,2023,3,37177.97,2023-03-13
COP000452,CC0008,400000,2023,2,37432.53,2023-02-01
COP000453,CC0008,430000,2023,8,21281.71,2023-08-09
COP000454,CC0007,410000,2023,12,18817.63,2023-12-16
COP000455,CC0023,440000,2023,11,30013.08,2023-11-29
COP000456,CC0025,410000,2023,2,8291.79,2023-02-23
COP000457,CC0006,400000,2024,9,33861.45,2024-09-24
COP000458,CC0007,430000,2023,10,33265.97,2023-10-06
COP000459,CC0020,440000,2024,5,22381.19,2024-05-12
COP000460,CC0022,410000,2023,10,37869.69,2023-10-07
COP000461,CC0011,420000,2023,4,21780.72,2023-04-27
COP000462,CC0007,440000,2023,10,24588.32,2023-10-18
COP000463,CC0016,420000,2024,11,2748.16,2024-11-14
COP000464,CC0003,440000,2024,2,3211.71,2024-02-09
