opportunity_id,lead_id,customer_id,opportunity_stage,expected_value,close_date
OPP00033,LEAD00156,CUNQ001719,Closed Won,5866.25,2024-07-01
OPP00034,LEAD00157,CUNQ001171,Negotiation,9155.4,2024-01-11
OPP00035,LEAD00159,CUNQ001214,Closed Lost,14242.59,2024-12-29
OPP00036,LEAD00161,CUNQ000199,Closed Lost,11493.65,2024-03-19
OPP00037,LEAD00163,CUNQ001793,Proposal Sent,8036.01,2024-09-26
OPP00038,LEAD00167,CUNQ000143,Closed Won,9813.5,2024-07-11
OPP00039,LEAD00168,CUNQ001218,Negotiation,583.52,2023-12-30
OPP00040,LEAD00171,CUNQ001545,Closed Lost,7862.63,2023-09-24
OPP00041,LEAD00175,CUNQ001417,Negotiation,4074.29,2023-10-17
OPP00042,LEAD00176,CUNQ001621,Closed Lost,3375.64,2023-01-27
OPP00043,LEAD00177,CUNQ001036,Closed Won,10470.91,2023-09-26
OPP00044,LEAD00183,CUNQ001247,Proposal Sent,2015.03,2024-05-04
OPP00045,LEAD00184,CUNQ000772,Negotiation,6890.23,2024-07-29
OPP00046,LEAD00188,CUNQ000530,Closed Lost,14959.48,2024-08-06
OPP00047,LEAD00199,CUNQ000803,Closed Won,10084.03,2024-02-21
OPP00048,LEAD00200,CUNQ001836,Negotiation,8339.96,2024-04-24
OPP00049,LEAD00204,CUNQ001293,Closed Won,12800.16,2024-12-08
OPP00050,LEAD00208,CUNQ001994,Proposal Sent,11946.71,2023-03-19
OPP00051,LEAD00212,CUNQ000993,Proposal Sent,1996.16,2024-03-01
OPP00052,LEAD00213,CUNQ000459,Proposal Sent,3703.7,2024-03-24
OPP00053,LEAD00214,CUNQ001381,Negotiation,5541.27,2024-06-01
OPP00054,LEAD00219,CUNQ000272,Closed Won,7117.61,2023-06-20
OPP00055,LEAD00222,CUNQ001200,Proposal Sent,9256.84,2024-10-23
OPP00056,LEAD00228,CUNQ000736,Negotiation,4777.5,2023-11-15
OPP00057,LEAD00229,CUNQ000407,Closed Lost,7980.3,2023-06-23
OPP00058,LEAD00232,CUNQ001559,Closed Lost,12385.42,2024-02-08
OPP00059,LEAD00237,CUNQ000727,Proposal Sent,14591.22,2024-11-06
OPP00060,LEAD00241,CUNQ001464,Negotiation,6859.62,2024-05-22
OPP00061,LEAD00242,CUNQ001968,Closed Won,2099.35,2024-09-23
OPP00062,LEAD00258,CUNQ001111,Proposal Sent,11563.17,2023-10-22
OPP00063,LEAD00259,CUNQ001034,Closed Lost,7642.38,2023-12-03
OPP00064,LEAD00261,CUNQ000590,Negotiation,12504.58,2024-07-09
OPP00065,LEAD00267,CUNQ000915,Proposal Sent,4701.04,2025-01-22
OPP00066,LEAD00272,CUNQ000424,Closed Won,14034.12,2024-05-19
OPP00067,LEAD00278,CUNQ001918,Closed Won,14222.75,2024-10-14
OPP00068,LEAD00281,CUNQ000402,Closed Won,12719.82,2023-12-17
OPP00069,LEAD00288,CUNQ001791,Proposal Sent,9598.84,2023-09-16
OPP00070,LEAD00290,CUNQ001924,Closed Won,2052.52,2023-10-07
OPP00071,LEAD00291,CUNQ000099,Negotiation,7638.08,2024-10-26
OPP00072,LEAD00300,CUNQ000084,Proposal Sent,2733.77,2023-02-25
OPP00073,LEAD00302,CUNQ000253,Closed Won,12669.44,2023-10-06
OPP00074,LEAD00307,CUNQ000675,Negotiation,12413.5,2024-10-02
OPP00075,LEAD00317,CUNQ001173,Negotiation,872.83,2024-06-20
OPP00076,LEAD00322,CUNQ001855,Closed Won,9836.72,2024-11-22
OPP00077,LEAD00326,CUNQ001916,Closed Lost,9348.0,2023-06-24
OPP00078,LEAD00331,CUNQ001348,Closed Lost,13357.15,2024-09-11
OPP00079,LEAD00334,CUNQ001133,Closed Won,9700.23,2024-07-12
OPP00080,LEAD00349,CUNQ000640,Closed Lost,3824.19,2024-05-06
OPP00081,LEAD00351,CUNQ001429,Closed Lost,4602.02,2023-05-13
OPP00082,LEAD00352,CUNQ001270,Negotiation,2539.59,2023-10-08
OPP00083,LEAD00355,CUNQ001860,Closed Lost,7073.74,2024-02-25
OPP00084,LEAD00357,CUNQ000840,Proposal Sent,4826.22,2023-04-07
OPP00085,LEAD00358,CUNQ000542,Closed Won,11066.16,2023-12-11
OPP00086,LEAD00359,CUNQ000733,Closed Won,14635.54,2024-05-19
OPP00087,LEAD00362,CUNQ001545,Closed Won,7821.71,2023-03-02
OPP00088,LEAD00365,CUNQ000595,Closed Won,3777.72,2024-08-13
OPP00089,LEAD00367,CUNQ001799,Closed Won,6854.02,2024-02-08
OPP00090,LEAD00371,CUNQ001774,Negotiation,948.96,2024-05-05
OPP00091,LEAD00380,CUNQ001227,Closed Lost,3874.4,2024-08-31
OPP00092,LEAD00381,CUNQ000290,Proposal Sent,12239.47,2023-04-21
OPP00093,LEAD00382,CUNQ000973,Closed Won,3009.54,2023-12-01
OPP00094,LEAD00383,CUNQ000278,Closed Lost,14940.35,2024-01-11
OPP00095,LEAD00384,CUNQ001312,Closed Lost,13210.32,2024-10-31
OPP00096,LEAD00385,CUNQ001918,Negotiation,1532.73,2024-12-12
OPP00097,LEAD00391,CUNQ001087,Closed Lost,14506.96,2023-08-24
OPP00098,LEAD00394,CUNQ001338,Closed Won,920.14,2024-05-26
OPP00099,LEAD00396,CUNQ000976,Closed Lost,9043.28,2023-04-11
OPP00100,LEAD00397,CUNQ001898,Closed Lost,4429.08,2023-10-17
OPP00101,LEAD00413,CUNQ001634,Negotiation,6577.73,2023-06-13
OPP00102,LEAD00415,CUNQ000163,Closed Won,11505.08,2023-11-04
OPP00103,LEAD00421,CUNQ000194,Negotiation,6128.61,2024-05-08
OPP00104,LEAD00423,CUNQ000492,Proposal Sent,5565.35,2023-03-04
OPP00105,LEAD00424,CUNQ000593,Negotiation,5917.96,2023-09-30
OPP00106,LEAD00425,CUNQ001386,Closed Won,12414.61,2023-09-01
OPP00107,LEAD00427,CUNQ001937,Negotiation,2104.22,2023-10-10
OPP00108,LEAD00430,CUNQ000114,Closed Lost,5723.34,2023-07-09
OPP00109,LEAD00438,CUNQ000336,Closed Won,11373.48,2024-10-17
OPP00110,LEAD00442,CUNQ000534,Closed Lost,7601.15,2023-05-08
OPP00111,LEAD00445,CUNQ000997,Negotiation,2228.14,2023-05-17
OPP00112,LEAD00446,CUNQ001585,Closed Lost,7886.12,2024-09-17
OPP00113,LEAD00448,CUNQ001013,Proposal Sent,5053.89,2024-04-23
OPP00114,LEAD00453,CUNQ000455,Closed Won,2605.03,2024-04-12
OPP00115,LEAD00454,CUNQ001583,Closed Won,8987.12,2024-03-28
OPP00116,LEAD00463,CUNQ001836,Closed Lost,10689.35,2023-03-31
OPP00117,LEAD00465,CUNQ001159,Closed Lost,12273.08,2023-08-30
OPP00118,LEAD00470,CUNQ000708,Closed Won,10172.33,2024-10-26
OPP00119,LEAD00471,CUNQ000039,Closed Won,11991.97,2024-08-24
OPP00120,LEAD00473,CUNQ000090,Negotiation,9034.26,2023-08-24
OPP00121,LEAD00483,CUNQ001543,Proposal Sent,10876.72,2024-10-15
OPP00122,LEAD00484,CUNQ001021,Closed Lost,2723.58,2023-11-17
OPP00123,LEAD00486,CUNQ000380,Closed Lost,2387.08,2023-11-21
OPP00124,LEAD00488,CUNQ001499,Proposal Sent,667.24,2023-12-05
OPP00125,LEAD00489,CUNQ001178,Negotiation,3023.61,2024-07-01
OPP00126,LEAD00492,CUNQ000054,Closed Won,6397.95,2023-12-08
OPP00127,LEAD00494,CUNQ000733,Proposal Sent,6273.59,2023-02-08
OPP00128,LEAD00500,CUNQ001194,Closed Lost,13117.7,2024-10-03
OPP00129,LEAD00503,CUNQ001702,Negotiation,10645.47,2024-11-15
OPP00130,LEAD00513,CUNQ000886,Proposal Sent,8501.12,2024-10-16
OPP00131,LEAD00517,CUNQ001819,Closed Lost,7977.06,2024-09-17
OPP00132,LEAD00534,CUNQ000683,Proposal Sent,7003.02,2024-07-15
OPP00133,LEAD00536,CUNQ000359,Closed Won,8284.84,2024-03-11
OPP00134,LEAD00544,CUNQ000795,Closed Won,9229.13,2024-12-20
OPP00135,LEAD00545,CUNQ000981,Proposal Sent,4329.29,2023-05-30
OPP00136,LEAD00547,CUNQ000366,Proposal Sent,14133.99,2024-11-13
OPP00137,LEAD00548,CUNQ000687,Closed Won,10632.53,2024-12-11
OPP00138,LEAD00555,CUNQ000035,Closed Lost,4892.2,2023-06-02
OPP00139,LEAD00556,CUNQ000886,Closed Won,4459.28,2024-07-20
OPP00140,LEAD00559,CUNQ000346,Closed Lost,13457.25,2025-01-20
OPP00141,LEAD00561,CUNQ000134,Closed Won,14328.21,2024-03-26
OPP00142,LEAD00562,CUNQ000628,Proposal Sent,4498.7,2023-10-27
OPP00143,LEAD00565,CUNQ001516,Negotiation,5326.18,2023-08-10
OPP00144,LEAD00568,CUNQ000469,Closed Won,11260.61,2024-04-06
OPP00145,LEAD00573,CUNQ001929,Proposal Sent,12453.69,2023-11-06
OPP00146,LEAD00580,CUNQ001244,Closed Won,2231.64,2023-12-15
OPP00147,LEAD00581,CUNQ001393,Proposal Sent,3788.38,2024-12-10
OPP00148,LEAD00583,CUNQ001113,Proposal Sent,9641.58,2024-06-14
OPP00149,LEAD00595,CUNQ001639,Negotiation,6316.86,2024-03-10
OPP00150,LEAD00599,CUNQ001038,Closed Lost,1688.06,2024-06-15
OPP00151,LEAD00600,CUNQ001733,Proposal Sent,276.69,2024-03-12
