lead_id,customer_id,lead_source,lead_status,created_date,owner_employee_id
LEAD00091,CUNQ001608,Referral,Contacted,2023-06-08,EMP00071
LEAD00092,CUNQ000941,Marketing Campaign,Converted,2023-03-01,EMP00120
LEAD00093,CUNQ000475,Social Media,Contacted,2023-03-04,EMP00230
LEAD00094,CUNQ000936,Marketing Campaign,Qualified,2023-02-21,EMP00157
LEAD00095,CUNQ001733,Referral,New,2024-06-27,EMP00249
LEAD00096,CUNQ000849,Website,Lost,2024-06-04,EMP00248
LEAD00097,CUNQ000378,Marketing Campaign,New,2023-03-12,EMP00221
LEAD00098,CUNQ000163,Cold Call,New,2023-08-29,EMP00230
LEAD00099,CUNQ000485,Referral,Qualified,2024-08-06,EMP00175
LEAD00100,CUNQ001530,Marketing Campaign,New,2023-02-10,EMP00221
LEAD00101,CUNQ001236,Marketing Campaign,Qualified,2024-11-04,EMP00248
LEAD00102,CUNQ000371,Trade Show,Contacted,2023-11-20,EMP00249
LEAD00103,CUNQ001503,Referral,Contacted,2023-11-18,EMP00230
LEAD00104,CUNQ000337,Social Media,Converted,2023-05-15,EMP00209
LEAD00105,CUNQ000285,Trade Show,Lost,2024-04-13,EMP00016
LEAD00106,CUNQ000658,Website,Qualified,2023-03-16,EMP00209
LEAD00107,CUNQ000021,Website,New,2024-07-30,EMP00209
LEAD00108,CUNQ000343,Marketing Campaign,Contacted,2023-08-07,EMP00064
LEAD00109,CUNQ001836,Website,Lost,2023-12-24,EMP00211
LEAD00110,CUNQ001663,Trade Show,Contacted,2024-01-14,EMP00230
LEAD00111,CUNQ000201,Social Media,Contacted,2024-07-10,EMP00221
LEAD00112,CUNQ000256,Marketing Campaign,New,2024-10-31,EMP00221
LEAD00113,CUNQ000673,Trade Show,Lost,2024-07-21,EMP00084
LEAD00114,CUNQ001318,Referral,Contacted,2023-04-17,EMP00211
LEAD00115,CUNQ001269,Social Media,Qualified,2023-04-20,EMP00248
LEAD00116,CUNQ000725,Trade Show,Converted,2023-10-06,EMP00249
LEAD00117,CUNQ001874,Referral,Converted,2023-12-18,EMP00163
LEAD00118,CUNQ000554,Marketing Campaign,Qualified,2023-09-28,EMP00076
LEAD00119,CUNQ000439,Website,Converted,2023-02-22,EMP00211
LEAD00120,CUNQ000020,Website,New,2023-10-11,EMP00084
LEAD00121,CUNQ000519,Social Media,Lost,2023-05-14,EMP00201
LEAD00122,CUNQ000573,Social Media,Qualified,2023-06-15,EMP00077
LEAD00123,CUNQ001868,Cold Call,Qualified,2024-12-23,EMP00199
LEAD00124,CUNQ001358,Website,Lost,2023-04-25,EMP00076
LEAD00125,CUNQ000584,Referral,Qualified,2024-12-08,EMP00221
LEAD00126,CUNQ000451,Marketing Campaign,Qualified,2024-01-14,EMP00199
LEAD00127,CUNQ000302,Referral,New,2024-03-16,EMP00209
LEAD00128,CUNQ000614,Website,Lost,2024-01-09,EMP00076
LEAD00129,CUNQ001045,Social Media,Contacted,2023-08-04,EMP00248
LEAD00130,CUNQ001482,Trade Show,Converted,2023-04-16,EMP00016
LEAD00131,CUNQ000300,Marketing Campaign,Converted,2024-02-21,EMP00201
LEAD00132,CUNQ001425,Referral,Lost,2023-08-31,EMP00170
LEAD00133,CUNQ000630,Cold Call,New,2023-07-01,EMP00163
LEAD00134,CUNQ001591,Cold Call,Converted,2023-12-07,EMP00221
LEAD00135,CUNQ000458,Trade Show,Contacted,2023-09-12,EMP00076
LEAD00136,CUNQ001805,Website,Qualified,2024-12-19,EMP00170
LEAD00137,CUNQ001613,Cold Call,Contacted,2023-02-09,EMP00209
LEAD00138,CUNQ001068,Trade Show,Contacted,2024-04-16,EMP00064
LEAD00139,CUNQ001109,Referral,New,2023-08-22,EMP00209
LEAD00140,CUNQ001842,Cold Call,Contacted,2023-07-17,EMP00120
LEAD00141,CUNQ000947,Trade Show,Qualified,2023-03-13,EMP00170
LEAD00142,CUNQ000510,Cold Call,Converted,2024-06-05,EMP00064
LEAD00143,CUNQ001422,Trade Show,Lost,2024-07-03,EMP00120
LEAD00144,CUNQ000865,Trade Show,Contacted,2023-04-29,EMP00120
LEAD00145,CUNQ001118,Website,New,2023-09-29,EMP00209
LEAD00146,CUNQ000486,Trade Show,Converted,2024-03-20,EMP00071
LEAD00147,CUNQ000340,Cold Call,Converted,2023-11-18,EMP00157
LEAD00148,CUNQ000793,Website,Qualified,2024-06-07,EMP00221
LEAD00149,CUNQ000224,Referral,Contacted,2024-08-13,EMP00016
LEAD00150,CUNQ001982,Cold Call,New,2024-12-26,EMP00221
LEAD00151,CUNQ001542,Social Media,Converted,2024-07-05,EMP00163
LEAD00152,CUNQ001582,Referral,Qualified,2024-11-17,EMP00084
LEAD00153,CUNQ001807,Social Media,Lost,2023-03-13,EMP00120
LEAD00154,CUNQ001418,Trade Show,Converted,2024-09-30,EMP00170
LEAD00155,CUNQ000085,Social Media,Lost,2023-05-08,EMP00064
LEAD00156,CUNQ001719,Trade Show,Converted,2024-06-03,EMP00120
LEAD00157,CUNQ001171,Cold Call,Converted,2023-12-01,EMP00077
LEAD00158,CUNQ001049,Referral,Contacted,2024-07-21,EMP00163
LEAD00159,CUNQ001214,Cold Call,Converted,2024-11-11,EMP00201
LEAD00160,CUNQ001403,Marketing Campaign,Qualified,2023-06-28,EMP00170
LEAD00161,CUNQ000199,Marketing Campaign,Converted,2024-02-20,EMP00076
LEAD00162,CUNQ001351,Trade Show,Contacted,2023-11-08,EMP00170
LEAD00163,CUNQ001793,Marketing Campaign,Converted,2024-08-16,EMP00071
LEAD00164,CUNQ000285,Cold Call,Qualified,2024-04-21,EMP00084
LEAD00165,CUNQ001252,Marketing Campaign,Qualified,2023-08-07,EMP00084
LEAD00166,CUNQ001609,Social Media,New,2023-06-23,EMP00230
LEAD00167,CUNQ000143,Social Media,Converted,2024-06-11,EMP00120
LEAD00168,CUNQ001218,Website,Converted,2023-12-10,EMP00201
LEAD00169,CUNQ000256,Social Media,Contacted,2023-08-29,EMP00120
LEAD00170,CUNQ001068,Referral,New,2023-07-23,EMP00209
LEAD00171,CUNQ001545,Cold Call,Converted,2023-09-08,EMP00071
LEAD00172,CUNQ000587,Cold Call,Qualified,2023-03-16,EMP00084
LEAD00173,CUNQ001407,Marketing Campaign,Contacted,2024-10-06,EMP00076
LEAD00174,CUNQ001463,Cold Call,Qualified,2024-12-14,EMP00077
LEAD00175,CUNQ001417,Referral,Converted,2023-09-07,EMP00249
LEAD00176,CUNQ001621,Website,Converted,2023-01-06,EMP00157
LEAD00177,CUNQ001036,Referral,Converted,2023-08-13,EMP00230
LEAD00178,CUNQ000614,Marketing Campaign,Qualified,2024-12-13,EMP00071
LEAD00179,CUNQ000982,Referral,Lost,2024-07-24,EMP00071
LEAD00180,CUNQ000297,Cold Call,New,2023-05-05,EMP00211
LEAD00181,CUNQ001376,Social Media,Qualified,2024-04-20,EMP00211
LEAD00182,CUNQ000884,Marketing Campaign,Contacted,2024-07-26,EMP00175
LEAD00183,CUNQ001247,Marketing Campaign,Converted,2024-03-29,EMP00163
LEAD00184,CUNQ000772,Cold Call,Converted,2024-05-31,EMP00170
LEAD00185,CUNQ001446,Cold Call,Lost,2024-07-15,EMP00157
LEAD00186,CUNQ000855,Cold Call,Contacted,2024-05-01,EMP00163
LEAD00187,CUNQ001988,Social Media,Contacted,2023-09-11,EMP00084
LEAD00188,CUNQ000530,Cold Call,Converted,2024-06-17,EMP00170
LEAD00189,CUNQ001277,Cold Call,New,2023-10-09,EMP00249
LEAD00190,CUNQ001515,Referral,Contacted,2023-10-20,EMP00221
LEAD00191,CUNQ001627,Marketing Campaign,New,2023-11-24,EMP00157
LEAD00192,CUNQ000480,Referral,Qualified,2023-06-04,EMP00077
LEAD00193,CUNQ000322,Social Media,Contacted,2023-06-06,EMP00163
LEAD00194,CUNQ001616,Cold Call,Contacted,2024-02-29,EMP00077
LEAD00195,CUNQ001272,Cold Call,New,2024-04-22,EMP00084
LEAD00196,CUNQ000301,Cold Call,Lost,2024-03-06,EMP00248
LEAD00197,CUNQ000101,Social Media,New,2024-08-21,EMP00221
LEAD00198,CUNQ000564,Cold Call,Qualified,2024-08-12,EMP00076
LEAD00199,CUNQ000803,Trade Show,Converted,2023-12-27,EMP00077
LEAD00200,CUNQ001836,Marketing Campaign,Converted,2024-03-05,EMP00248
LEAD00201,CUNQ000557,Marketing Campaign,Lost,2024-07-13,EMP00163
LEAD00202,CUNQ000538,Referral,Contacted,2024-05-14,EMP00120
LEAD00203,CUNQ001769,Website,Qualified,2024-05-12,EMP00230
LEAD00204,CUNQ001293,Social Media,Converted,2024-11-15,EMP00199
LEAD00205,CUNQ000444,Cold Call,Lost,2023-06-19,EMP00084
LEAD00206,CUNQ000100,Marketing Campaign,New,2024-09-29,EMP00077
LEAD00207,CUNQ000548,Marketing Campaign,Qualified,2024-02-08,EMP00211
LEAD00208,CUNQ001994,Website,Converted,2023-01-28,EMP00211
LEAD00209,CUNQ001280,Cold Call,Contacted,2023-05-19,EMP00175
LEAD00210,CUNQ001585,Cold Call,Contacted,2023-09-24,EMP00170
LEAD00211,CUNQ000473,Trade Show,Contacted,2024-04-10,EMP00084
LEAD00212,CUNQ000993,Trade Show,Converted,2024-01-24,EMP00249
LEAD00213,CUNQ000459,Trade Show,Converted,2024-03-07,EMP00076
LEAD00214,CUNQ001381,Website,Converted,2024-04-26,EMP00077
LEAD00215,CUNQ001122,Trade Show,Contacted,2023-02-23,EMP00170
LEAD00216,CUNQ000947,Social Media,New,2023-03-12,EMP00077
LEAD00217,CUNQ000175,Referral,Contacted,2023-02-01,EMP00230
LEAD00218,CUNQ000467,Marketing Campaign,Contacted,2023-01-21,EMP00199
LEAD00219,CUNQ000272,Cold Call,Converted,2023-05-10,EMP00120
LEAD00220,CUNQ000499,Referral,Qualified,2024-07-31,EMP00016
LEAD00221,CUNQ000839,Trade Show,Contacted,2023-09-20,EMP00071
LEAD00222,CUNQ001200,Social Media,Converted,2024-09-13,EMP00249
LEAD00223,CUNQ001212,Trade Show,New,2023-06-17,EMP00157
LEAD00224,CUNQ001794,Trade Show,Qualified,2023-01-27,EMP00120
LEAD00225,CUNQ001151,Cold Call,Lost,2024-01-20,EMP00016
LEAD00226,CUNQ001773,Website,Qualified,2023-07-23,EMP00120
LEAD00227,CUNQ000247,Referral,New,2024-10-04,EMP00209
LEAD00228,CUNQ000736,Social Media,Converted,2023-11-05,EMP00120
LEAD00229,CUNQ000407,Marketing Campaign,Converted,2023-05-04,EMP00199
LEAD00230,CUNQ000169,Marketing Campaign,Qualified,2023-12-22,EMP00249
LEAD00231,CUNQ000122,Website,Qualified,2024-01-15,EMP00209
LEAD00232,CUNQ001559,Website,Converted,2023-12-16,EMP00175
LEAD00233,CUNQ001381,Website,Qualified,2024-05-16,EMP00249
LEAD00234,CUNQ000878,Social Media,Lost,2024-01-06,EMP00077
LEAD00235,CUNQ001841,Social Media,Contacted,2024-04-15,EMP00230
LEAD00236,CUNQ000411,Social Media,Qualified,2023-06-30,EMP00016
LEAD00237,CUNQ000727,Trade Show,Converted,2024-10-28,EMP00084
LEAD00238,CUNQ000166,Cold Call,Qualified,2024-07-05,EMP00248
LEAD00239,CUNQ001118,Trade Show,Contacted,2024-08-29,EMP00170
LEAD00240,CUNQ001890,Website,Contacted,2023-09-09,EMP00248
LEAD00241,CUNQ001464,Referral,Converted,2024-04-06,EMP00064
LEAD00242,CUNQ001968,Marketing Campaign,Converted,2024-08-06,EMP00120
LEAD00243,CUNQ000873,Website,Qualified,2023-12-11,EMP00211
LEAD00244,CUNQ000119,Referral,Qualified,2023-11-29,EMP00120
LEAD00245,CUNQ001052,Trade Show,Contacted,2023-12-30,EMP00157
LEAD00246,CUNQ001422,Social Media,Lost,2024-09-02,EMP00230
LEAD00247,CUNQ000003,Website,Qualified,2024-07-23,EMP00120
LEAD00248,CUNQ001921,Website,Contacted,2023-07-15,EMP00199
LEAD00249,CUNQ001326,Cold Call,Qualified,2024-02-21,EMP00016
LEAD00250,CUNQ000042,Social Media,Qualified,2023-09-04,EMP00211
LEAD00251,CUNQ000348,Cold Call,Qualified,2024-12-29,EMP00071
LEAD00252,CUNQ001676,Website,Contacted,2023-01-18,EMP00084
LEAD00253,CUNQ001156,Social Media,Contacted,2024-02-19,EMP00071
LEAD00254,CUNQ000712,Marketing Campaign,Qualified,2024-11-10,EMP00175
LEAD00255,CUNQ001316,Marketing Campaign,Contacted,2024-07-20,EMP00249
LEAD00256,CUNQ000345,Trade Show,Qualified,2024-07-17,EMP00064
LEAD00257,CUNQ000552,Trade Show,Contacted,2024-04-09,EMP00120
LEAD00258,CUNQ001111,Website,Converted,2023-08-25,EMP00199
LEAD00259,CUNQ001034,Website,Converted,2023-11-20,EMP00120
LEAD00260,CUNQ001085,Referral,Contacted,2024-12-07,EMP00211
LEAD00261,CUNQ000590,Trade Show,Converted,2024-05-10,EMP00211
LEAD00262,CUNQ001946,Marketing Campaign,Contacted,2024-06-21,EMP00157
LEAD00263,CUNQ000799,Referral,Contacted,2023-04-13,EMP00221
LEAD00264,CUNQ000984,Referral,Contacted,2024-01-05,EMP00209
LEAD00265,CUNQ001241,Marketing Campaign,New,2024-12-26,EMP00084
LEAD00266,CUNQ000906,Website,Qualified,2023-02-16,EMP00076
LEAD00267,CUNQ000915,Referral,Converted,2024-12-15,EMP00170
LEAD00268,CUNQ001207,Website,Lost,2024-05-17,EMP00201
LEAD00269,CUNQ000433,Trade Show,Qualified,2024-08-10,EMP00077
LEAD00270,CUNQ000349,Trade Show,Contacted,2024-03-27,EMP00016
LEAD00271,CUNQ000157,Trade Show,Lost,2023-02-22,EMP00016
LEAD00272,CUNQ000424,Website,Converted,2024-05-04,EMP00209
LEAD00273,CUNQ001817,Cold Call,New,2024-02-15,EMP00201
LEAD00274,CUNQ001102,Social Media,New,2024-10-06,EMP00230
LEAD00275,CUNQ001972,Marketing Campaign,Lost,2023-06-02,EMP00175
LEAD00276,CUNQ000157,Referral,New,2023-03-29,EMP00076
LEAD00277,CUNQ001708,Marketing Campaign,Qualified,2024-03-02,EMP00163
LEAD00278,CUNQ001918,Referral,Converted,2024-09-25,EMP00163
LEAD00279,CUNQ000358,Cold Call,Lost,2024-01-25,EMP00157
LEAD00280,CUNQ001007,Marketing Campaign,Lost,2023-11-01,EMP00249
LEAD00281,CUNQ000402,Marketing Campaign,Converted,2023-11-09,EMP00249
LEAD00282,CUNQ000454,Social Media,New,2024-09-16,EMP00175
LEAD00283,CUNQ000739,Social Media,Contacted,2023-08-01,EMP00170
LEAD00284,CUNQ001697,Website,Contacted,2024-11-07,EMP00084
LEAD00285,CUNQ001265,Marketing Campaign,New,2023-06-27,EMP00249
LEAD00286,CUNQ001041,Cold Call,Qualified,2023-01-03,EMP00230
LEAD00287,CUNQ001665,Cold Call,Contacted,2024-08-31,EMP00016
LEAD00288,CUNQ001791,Trade Show,Converted,2023-08-26,EMP00163
LEAD00289,CUNQ001248,Cold Call,New,2024-12-20,EMP00016
LEAD00290,CUNQ001924,Trade Show,Converted,2023-08-28,EMP00175
LEAD00291,CUNQ000099,Marketing Campaign,Converted,2024-10-02,EMP00064
LEAD00292,CUNQ000481,Cold Call,New,2023-07-22,EMP00230
LEAD00293,CUNQ001307,Social Media,New,2023-08-19,EMP00016
LEAD00294,CUNQ000267,Referral,New,2023-09-30,EMP00211
LEAD00295,CUNQ001767,Trade Show,Qualified,2023-06-19,EMP00157
LEAD00296,CUNQ000705,Trade Show,Qualified,2024-08-05,EMP00230
LEAD00297,CUNQ000359,Social Media,Contacted,2024-04-24,EMP00064
LEAD00298,CUNQ001813,Trade Show,Qualified,2024-02-17,EMP00064
LEAD00299,CUNQ001410,Cold Call,New,2024-05-20,EMP00209
LEAD00300,CUNQ000084,Cold Call,Converted,2023-02-10,EMP00084
LEAD00301,CUNQ000690,Trade Show,New,2024-09-10,EMP00077
LEAD00302,CUNQ000253,Social Media,Converted,2023-08-23,EMP00221
LEAD00303,CUNQ000057,Marketing Campaign,Lost,2024-08-12,EMP00157
LEAD00304,CUNQ000161,Trade Show,Qualified,2024-11-19,EMP00077
LEAD00305,CUNQ001829,Cold Call,Qualified,2023-06-29,EMP00249
LEAD00306,CUNQ000085,Trade Show,Contacted,2024-03-28,EMP00064
LEAD00307,CUNQ000675,Cold Call,Converted,2024-08-22,EMP00157
LEAD00308,CUNQ000683,Website,Qualified,2024-05-18,EMP00209
LEAD00309,CUNQ000329,Trade Show,Contacted,2024-02-23,EMP00249
LEAD00310,CUNQ000895,Referral,Contacted,2023-04-18,EMP00230
LEAD00311,CUNQ001581,Cold Call,Contacted,2024-12-11,EMP00016
LEAD00312,CUNQ001803,Marketing Campaign,New,2024-02-15,EMP00076
LEAD00313,CUNQ001070,Trade Show,Contacted,2023-04-01,EMP00157
LEAD00314,CUNQ001982,Cold Call,Lost,2023-04-29,EMP00201
LEAD00315,CUNQ001507,Social Media,Lost,2023-01-02,EMP00170
LEAD00316,CUNQ001871,Cold Call,New,2024-04-18,EMP00071
LEAD00317,CUNQ001173,Trade Show,Converted,2024-06-14,EMP00248
LEAD00318,CUNQ000188,Social Media,Qualified,2024-05-25,EMP00211
LEAD00319,CUNQ000963,Referral,Contacted,2023-02-22,EMP00016
LEAD00320,CUNQ000890,Trade Show,Qualified,2023-05-15,EMP00199
LEAD00321,CUNQ000411,Cold Call,New,2024-12-16,EMP00201
LEAD00322,CUNQ001855,Marketing Campaign,Converted,2024-10-07,EMP00199
LEAD00323,CUNQ000933,Referral,Contacted,2024-12-27,EMP00209
LEAD00324,CUNQ000526,Marketing Campaign,Qualified,2023-01-15,EMP00201
LEAD00325,CUNQ000443,Website,Qualified,2023-08-19,EMP00077
LEAD00326,CUNQ001916,Social Media,Converted,2023-05-01,EMP00249
LEAD00327,CUNQ001292,Social Media,Contacted,2024-05-25,EMP00157
LEAD00328,CUNQ001259,Trade Show,Qualified,2024-12-23,EMP00249
LEAD00329,CUNQ001172,Cold Call,Contacted,2024-05-09,EMP00175
LEAD00330,CUNQ001246,Referral,Qualified,2024-07-18,EMP00157
LEAD00331,CUNQ001348,Marketing Campaign,Converted,2024-09-05,EMP00211
LEAD00332,CUNQ001672,Website,Contacted,2023-05-20,EMP00248
LEAD00333,CUNQ001343,Trade Show,Lost,2024-02-29,EMP00157
LEAD00334,CUNQ001133,Trade Show,Converted,2024-06-03,EMP00076
LEAD00335,CUNQ001203,Social Media,Contacted,2023-10-17,EMP00157
LEAD00336,CUNQ000347,Marketing Campaign,Lost,2024-08-24,EMP00249
LEAD00337,CUNQ000324,Referral,Qualified,2024-05-16,EMP00170
LEAD00338,CUNQ000703,Trade Show,Contacted,2024-05-10,EMP00248
LEAD00339,CUNQ001681,Cold Call,Qualified,2024-07-10,EMP00211
LEAD00340,CUNQ001579,Referral,Lost,2023-11-26,EMP00120
LEAD00341,CUNQ001757,Marketing Campaign,Qualified,2023-09-02,EMP00199
LEAD00342,CUNQ001132,Website,Contacted,2024-02-25,EMP00211
LEAD00343,CUNQ001352,Social Media,Lost,2024-04-29,EMP00084
LEAD00344,CUNQ001039,Cold Call,Lost,2024-01-26,EMP00170
LEAD00345,CUNQ001539,Referral,Qualified,2024-10-29,EMP00077
LEAD00346,CUNQ000017,Referral,Qualified,2023-02-07,EMP00084
LEAD00347,CUNQ000014,Trade Show,Lost,2024-08-27,EMP00077
LEAD00348,CUNQ001623,Website,Qualified,2024-03-26,EMP00163
LEAD00349,CUNQ000640,Website,Converted,2024-04-12,EMP00076
LEAD00350,CUNQ001461,Social Media,Lost,2024-02-24,EMP00211
LEAD00351,CUNQ001429,Cold Call,Converted,2023-03-18,EMP00248
LEAD00352,CUNQ001270,Trade Show,Converted,2023-09-29,EMP00016
LEAD00353,CUNQ001128,Social Media,New,2024-02-12,EMP00175
LEAD00354,CUNQ000170,Social Media,Lost,2023-12-03,EMP00209
LEAD00355,CUNQ001860,Trade Show,Converted,2024-01-25,EMP00157
LEAD00356,CUNQ000378,Marketing Campaign,New,2024-05-14,EMP00120
LEAD00357,CUNQ000840,Referral,Converted,2023-03-12,EMP00064
LEAD00358,CUNQ000542,Referral,Converted,2023-10-22,EMP00248
LEAD00359,CUNQ000733,Website,Converted,2024-03-20,EMP00199
LEAD00360,CUNQ001130,Website,Qualified,2024-12-21,EMP00084
LEAD00361,CUNQ001838,Trade Show,Lost,2024-12-11,EMP00163
LEAD00362,CUNQ001545,Trade Show,Converted,2023-02-17,EMP00211
LEAD00363,CUNQ000587,Trade Show,Qualified,2023-10-28,EMP00163
LEAD00364,CUNQ001914,Referral,Qualified,2023-05-30,EMP00016
LEAD00365,CUNQ000595,Social Media,Converted,2024-08-02,EMP00077
LEAD00366,CUNQ000234,Referral,New,2023-06-24,EMP00120
LEAD00367,CUNQ001799,Marketing Campaign,Converted,2024-01-27,EMP00084
LEAD00368,CUNQ000280,Marketing Campaign,New,2024-05-24,EMP00249
LEAD00369,CUNQ000737,Social Media,Contacted,2024-04-17,EMP00221
