product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00164,garden_tools,57,1865,1,10049,9,71,49
PROD00165,health_beauty,53,1477,5,19414,32,5,48
PROD00166,furniture_living_room,42,1851,1,3628,75,51,41
PROD00167,home_confort,44,1836,5,5376,53,61,35
PROD00168,auto,15,1249,5,2852,36,71,42
PROD00169,musical_instruments,51,1716,1,9037,51,36,89
PROD00170,fashion_bags_accessories,56,2590,1,4123,44,74,89
PROD00171,construction_tools_construction,31,832,8,15212,7,58,6
PROD00172,books_general_interest,17,1569,8,18288,32,54,12
PROD00173,cine_photo,20,1232,6,2148,61,25,38
PROD00174,pet_shop,31,2127,3,7502,85,24,23
PROD00175,furniture_living_room,56,303,4,3800,88,6,28
PROD00176,small_appliances,43,2475,6,1424,75,31,12
PROD00177,fashion_bags_accessories,31,166,6,17759,96,7,81
PROD00178,stationery,37,547,2,16661,61,16,70
PROD00179,furniture_decor,30,935,6,18739,52,55,14
PROD00180,computers,33,686,1,10750,82,48,47
PROD00181,fashion_shoes,56,1634,8,9685,84,5,25
PROD00182,food_drink,17,1291,3,19423,8,15,82
PROD00183,baby,35,2192,6,7090,53,76,9
PROD00184,toys,39,2759,2,2583,33,74,69
PROD00185,signaling_and_security,55,2345,7,17710,98,17,72
PROD00186,computers_accessories,53,2034,8,10435,39,26,78
PROD00187,office_furniture,30,1446,4,11910,34,60,45
PROD00188,telephony,59,1087,8,13482,51,12,50
PROD00189,costruction_tools_garden,47,413,6,15914,82,31,62
PROD00190,fashion_shoes,29,2432,3,17666,36,54,79
PROD00191,auto,53,1166,5,11242,45,17,15
PROD00192,fashion_shoes,41,2168,3,18924,68,27,28
PROD00193,books_general_interest,15,783,2,13767,38,72,65
PROD00194,watches_gifts,23,239,7,834,93,23,14
PROD00195,auto,47,2268,7,13889,50,18,56
PROD00196,costruction_tools_garden,30,1301,2,11086,48,77,82
PROD00197,furniture_living_room,21,285,2,11681,62,54,85
PROD00198,furniture_bedroom,42,1284,8,4460,98,25,80
PROD00199,small_appliances,20,723,1,19499,80,49,88
PROD00200,books_general_interest,39,1412,8,5840,70,77,40
PROD00201,watches_gifts,29,1317,8,11227,11,74,71
PROD00202,fashion_underwear_beach,52,2181,7,9397,46,51,45
PROD00203,garden_tools,24,271,4,14157,71,37,78
PROD00204,furniture_living_room,35,507,6,9382,26,17,41
PROD00205,pet_shop,46,1897,4,5598,41,35,82
PROD00206,watches_gifts,29,2829,5,4670,17,28,75
PROD00207,small_appliances,25,212,1,17739,73,26,5
PROD00208,industry_commerce_and_business,16,1613,4,9285,78,56,61
PROD00209,fashion_underwear_beach,23,1958,5,3641,96,17,61
PROD00210,computers,46,1177,2,4533,40,16,50
PROD00211,housewares,29,404,6,5185,69,44,40
PROD00212,books_general_interest,55,2200,2,10365,9,57,17
PROD00213,fashion_underwear_beach,35,879,1,311,36,19,80
PROD00214,luggage_accessories,29,2858,4,8742,65,21,67
PROD00215,garden_tools,46,1257,3,6556,86,13,71
PROD00216,baby,15,1878,2,16128,76,80,31
PROD00217,garden_tools,17,1812,5,12511,85,76,35
PROD00218,home_appliances,45,2272,3,9883,34,39,90
PROD00219,industry_commerce_and_business,46,2680,7,19640,50,71,66
PROD00220,office_furniture,21,996,2,9463,58,59,46
PROD00221,stationery,57,1840,2,5823,64,42,89
PROD00222,telephony,37,2954,7,4246,66,64,81
PROD00223,fashion_shoes,58,1061,1,9583,39,66,32
PROD00224,fashion_shoes,18,2403,6,8622,91,42,57
PROD00225,air_conditioning,43,1841,7,8592,11,36,67
PROD00226,electronics,36,2706,1,10159,62,54,33
PROD00227,signaling_and_security,25,2295,4,3664,83,80,47
PROD00228,auto,53,2310,1,741,53,13,47
PROD00229,home_appliances,50,359,1,17045,31,48,73
PROD00230,perfumery,25,2294,7,7564,42,22,52
PROD00231,musical_instruments,41,983,4,496,9,4,72
PROD00232,watches_gifts,47,1729,8,1435,25,38,43
PROD00233,health_beauty,29,2686,4,1156,39,17,53
PROD00234,air_conditioning,23,1205,2,2557,14,66,58
PROD00235,health_beauty,15,2318,3,3181,99,77,55
PROD00236,perfumery,53,1378,6,13981,70,4,43
PROD00237,pet_shop,44,930,2,8709,88,75,65
PROD00238,luggage_accessories,33,1859,2,7332,57,73,40
PROD00239,market_place,33,2978,4,12580,7,65,55
PROD00240,food_drink,49,543,8,7392,78,5,55
PROD00241,electronics,43,1614,8,18503,18,41,47
PROD00242,toys,55,442,2,18429,26,28,67
PROD00243,cine_photo,30,443,3,13261,83,62,71
PROD00244,signaling_and_security,29,341,8,8308,57,41,48
PROD00245,toys,17,1416,7,232,39,28,76
PROD00246,industry_commerce_and_business,49,2147,6,7774,46,61,66
PROD00247,small_appliances,50,433,2,13999,94,11,53
PROD00248,auto,15,763,2,5495,30,58,19
PROD00249,sports_leisure,42,2128,3,17239,67,19,75
PROD00250,fashion_shoes,40,137,5,3902,60,39,39
PROD00251,fashion_underwear_beach,35,2619,6,18524,88,23,23
PROD00252,office_furniture,48,2905,4,12215,71,79,37
PROD00253,market_place,44,962,6,4484,26,69,65
PROD00254,bed_bath_table,35,1805,3,4976,65,10,5
PROD00255,consoles_games,59,868,4,3125,73,60,47
PROD00256,watches_gifts,18,2659,8,19529,25,10,49
PROD00257,costruction_tools_garden,29,1512,1,6362,40,38,59
PROD00258,cine_photo,34,1604,7,8397,76,71,87
PROD00259,perfumery,19,2527,3,3424,98,29,40
PROD00260,garden_tools,31,2408,2,4201,71,77,87
PROD00261,luggage_accessories,36,2457,5,15562,31,23,5
PROD00262,electronics,28,474,3,4746,26,62,5
PROD00263,construction_tools_construction,19,313,3,16817,61,56,90
PROD00264,market_place,35,1339,2,7939,76,52,53
PROD00265,luggage_accessories,60,2043,6,10265,71,42,72
PROD00266,housewares,53,976,3,9150,96,20,60
PROD00267,costruction_tools_garden,43,2107,5,3990,76,57,88
PROD00268,home_appliances,26,203,6,15322,90,46,59
PROD00269,baby,54,2392,4,12582,52,24,6
PROD00270,perfumery,43,1578,4,233,80,41,47
PROD00271,watches_gifts,38,1139,1,19932,39,6,87
PROD00272,pet_shop,56,2060,7,1489,94,34,40
PROD00273,computers_accessories,51,224,8,19958,85,60,67
PROD00274,garden_tools,45,2752,2,1301,52,5,83
PROD00275,toys,60,824,3,2763,58,17,12
PROD00276,furniture_bedroom,55,355,6,3244,74,37,29
PROD00277,furniture_living_room,16,1462,6,5594,80,48,71
PROD00278,bed_bath_table,57,1751,7,2064,13,26,69
PROD00279,toys,32,443,3,14579,10,37,82
PROD00280,perfumery,59,2170,7,5717,86,2,44
PROD00281,pet_shop,50,1536,2,11238,64,74,16
PROD00282,signaling_and_security,44,461,2,3017,28,13,28
PROD00283,construction_tools_construction,52,2666,1,5598,6,29,86
PROD00284,food_drink,44,432,4,10135,92,26,21
PROD00285,consoles_games,18,1653,5,5882,40,19,77
PROD00286,construction_tools_construction,41,1025,4,8989,30,24,42
PROD00287,fashion_bags_accessories,59,1900,5,3078,67,47,79
PROD00288,food_drink,37,2728,8,5636,9,76,54
PROD00289,toys,49,2429,4,14266,49,38,31
PROD00290,musical_instruments,59,2163,5,3023,70,28,38
PROD00291,baby,44,1168,1,3828,71,25,65
PROD00292,auto,44,2503,6,12248,77,50,89
PROD00293,cine_photo,17,1420,2,11809,6,22,58
PROD00294,market_place,36,1479,2,6181,50,41,25
PROD00295,books_general_interest,49,862,1,14435,83,60,80
PROD00296,signaling_and_security,59,1881,7,15568,36,34,52
PROD00297,fashion_male_clothing,36,2076,7,9886,10,31,69
PROD00298,watches_gifts,41,1844,5,18973,56,77,8
PROD00299,cool_stuff,47,781,5,19607,94,69,30
PROD00300,signaling_and_security,23,632,6,1812,16,41,23
PROD00301,home_appliances,44,1721,3,15142,5,20,30
PROD00302,garden_tools,34,1359,2,6098,35,28,60
PROD00303,housewares,30,731,6,212,66,22,49
PROD00304,watches_gifts,45,2352,7,7012,65,50,64
PROD00305,stationery,21,1687,3,10481,22,53,46
PROD00306,office_furniture,58,1839,7,17551,14,46,67
PROD00307,cine_photo,16,1008,3,7755,52,48,48
PROD00308,small_appliances,15,2600,7,2581,87,31,22
PROD00309,industry_commerce_and_business,27,281,4,9943,60,13,48
PROD00310,luggage_accessories,56,836,7,4989,41,41,54
PROD00311,market_place,17,1169,7,5932,25,52,71
PROD00312,watches_gifts,44,438,6,3372,88,53,6
PROD00313,cool_stuff,35,627,7,14949,6,64,88
PROD00314,air_conditioning,42,323,5,13975,38,16,82
PROD00315,furniture_bedroom,47,1627,8,11029,73,48,19
PROD00316,garden_tools,42,2277,7,2671,24,2,48
PROD00317,cine_photo,31,909,8,14300,11,61,41
PROD00318,sports_leisure,22,2105,8,12079,11,78,52
PROD00319,fashion_bags_accessories,42,1482,5,821,74,36,27
PROD00320,office_furniture,37,1808,1,14689,46,40,86
PROD00321,sports_leisure,53,557,6,1249,73,52,36
PROD00322,garden_tools,20,2291,2,4180,98,20,86
PROD00323,industry_commerce_and_business,42,1225,6,15058,93,33,72
PROD00324,signaling_and_security,44,266,2,10751,52,6,23
PROD00325,fashion_male_clothing,55,514,7,16847,97,12,48
PROD00326,consoles_games,42,1741,1,6077,100,34,88
PROD00327,housewares,42,576,4,18757,38,40,83
PROD00328,small_appliances,49,1098,1,12312,78,62,32
PROD00329,computers,32,2921,3,9121,69,7,82
PROD00330,air_conditioning,26,2877,5,8985,5,54,31
PROD00331,health_beauty,41,2791,3,9053,39,61,81
PROD00332,construction_tools_construction,21,1006,4,642,95,43,33
PROD00333,furniture_decor,54,1278,8,19314,58,78,47
PROD00334,home_confort,39,2048,1,11287,48,42,49
PROD00335,furniture_bedroom,24,1992,8,6952,73,23,54
PROD00336,fashion_bags_accessories,40,232,2,15992,76,46,15
PROD00337,baby,48,1612,5,9612,45,59,64
PROD00338,health_beauty,24,2659,3,11572,77,57,58
PROD00339,health_beauty,33,2379,8,7741,53,70,21
PROD00340,luggage_accessories,53,605,2,13017,32,29,19
PROD00341,signaling_and_security,33,831,3,13193,75,54,50
PROD00342,baby,41,2554,5,10516,51,15,90
PROD00343,construction_tools_construction,47,2293,7,7426,56,65,64
PROD00344,office_furniture,43,742,3,13158,41,2,73
PROD00345,musical_instruments,44,2787,3,3271,54,76,88
PROD00346,fashion_shoes,41,1780,4,1001,84,30,22
PROD00347,furniture_living_room,54,2161,2,19696,78,54,7
PROD00348,construction_tools_construction,54,1123,3,18705,85,62,16
PROD00349,food_drink,16,2563,7,18139,70,26,25
PROD00350,books_general_interest,38,1080,3,15522,96,27,46
PROD00351,auto,33,365,1,6833,78,61,63
PROD00352,stationery,58,2570,8,7976,27,61,69
PROD00353,telephony,53,1456,3,8073,64,10,5
PROD00354,sports_leisure,58,2872,7,17081,65,51,14
PROD00355,fashion_shoes,31,2300,2,19939,87,70,8
PROD00356,furniture_bedroom,45,344,5,13104,97,7,51
PROD00357,air_conditioning,60,2195,8,14093,20,15,23
PROD00358,fashion_bags_accessories,52,557,3,12058,57,45,23
PROD00359,stationery,45,960,5,3232,47,11,63
PROD00360,industry_commerce_and_business,30,1164,6,9726,93,58,47
PROD00361,furniture_bedroom,59,1156,5,19528,9,19,23
PROD00362,fashion_underwear_beach,33,206,4,12202,77,48,42
PROD00363,consoles_games,60,748,5,15624,96,58,42
PROD00364,toys,59,626,3,19954,42,51,37
PROD00365,electronics,16,966,5,4911,79,3,38
PROD00366,food_drink,47,2216,7,15679,84,23,49
PROD00367,toys,52,2152,6,17198,52,50,67
PROD00368,cool_stuff,48,2074,3,15909,53,3,90
PROD00369,furniture_decor,36,1020,5,6814,33,21,40
PROD00370,fashion_male_clothing,22,2762,4,11731,68,60,77
PROD00371,bed_bath_table,48,1035,4,11963,90,6,56
PROD00372,watches_gifts,36,2178,2,8945,75,70,73
PROD00373,housewares,18,1929,4,8068,37,25,88
PROD00374,stationery,29,2924,8,5864,10,79,39
PROD00375,costruction_tools_garden,32,474,4,2136,21,68,43
PROD00376,computers_accessories,28,1032,4,19241,79,63,64
PROD00377,watches_gifts,49,309,6,2443,30,63,19
PROD00378,furniture_bedroom,20,2049,4,3322,74,77,32
PROD00379,fashion_male_clothing,46,1328,1,19111,60,16,61
PROD00380,perfumery,52,2700,8,66,37,54,81
PROD00381,pet_shop,46,2685,3,10818,69,63,70
PROD00382,office_furniture,56,1327,5,17488,36,45,40
PROD00383,costruction_tools_garden,47,1364,8,3702,28,64,5
PROD00384,construction_tools_construction,47,2027,8,5395,27,10,60
PROD00385,consoles_games,21,1915,6,17698,28,26,18
PROD00386,electronics,28,1358,5,10536,72,62,18
PROD00387,consoles_games,54,961,3,10659,25,26,55
PROD00388,cool_stuff,25,2599,3,10721,71,62,88
PROD00389,fashion_male_clothing,41,1203,4,8663,65,40,52
PROD00390,toys,34,1466,6,10383,62,41,59
PROD00391,signaling_and_security,40,1808,1,13290,12,54,50
PROD00392,auto,44,1223,1,6676,31,34,42
PROD00393,food_drink,16,1418,7,12580,46,73,76
PROD00394,perfumery,28,2629,8,9027,18,11,36
PROD00395,cool_stuff,35,2064,8,1557,89,51,67
PROD00396,stationery,32,2585,7,1993,17,9,86
PROD00397,musical_instruments,32,2303,6,14406,41,16,65
PROD00398,auto,19,1429,7,5023,24,77,43
PROD00399,signaling_and_security,27,2401,2,14410,36,43,78
PROD00400,home_confort,57,1167,5,766,22,10,45
