geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
99662,-8.919869,-42.672267,porto velho,RO
55029,-12.668736,-72.590231,recife,PE
85230,-5.115047,-57.001388,dourados,MS
47907,-26.63469,-46.588056,macapa,AP
83886,-23.103161,-49.086598,parnaiba,PI
85085,-31.038444,-35.366136,maceio,AL
47593,-14.579113,-68.180789,macapa,AP
43036,-27.963527,-62.323067,juiz de fora,MG
24621,-10.054781,-38.415003,goiania,GO
96396,-16.02718,-42.302054,rio branco,AC
73559,-26.129251,-52.959224,goiania,GO
21062,3.759134,-50.369325,duque de caxias,RJ
75004,-4.395071,-57.307981,boa vista,RR
96594,-16.27297,-48.772163,vitoria,ES
55229,-30.93562,-62.952971,vitoria da conquista,BA
16884,-26.631185,-57.847697,boa vista,RR
79798,-24.12087,-47.026622,jaboatao dos guararapes,PE
44422,-27.484306,-39.929446,vila velha,ES
68827,-18.483844,-61.003832,santos,SP
22761,1.873061,-48.777882,joao pessoa,PB
53904,-22.727608,-42.511978,varzea grande,MT
70438,-3.620261,-44.534545,aparecida de goiania,GO
78151,-20.178549,-46.769424,rio branco,AC
81776,-32.598036,-72.677906,joinville,SC
63903,-29.287447,-69.051523,belo horizonte,MG
38759,-5.440475,-63.427948,dourados,MS
91185,-29.506231,-37.336792,rio de janeiro,RJ
88562,-8.75285,-46.093146,porto velho,RO
89257,-28.063524,-48.057004,porto alegre,RS
24528,-6.565162,-63.373242,aracaju,SE
93726,-15.769137,-35.1806,campo grande,MS
97500,-3.744541,-60.710643,manaus,AM
46344,-3.469974,-58.453638,florianopolis,SC
43847,3.313017,-62.942736,fortaleza,CE
74450,4.218035,-65.374574,campo grande,MS
94604,-14.301823,-67.532841,vitoria,ES
38624,-9.669281,-68.962511,manaus,AM
23538,-31.675286,-70.324332,dourados,MS
68442,-32.286938,-54.087348,rio branco,AC
14959,-7.744978,-62.875414,aracaju,SE
61292,-11.16367,-53.415446,araguaina,TO
72670,-16.429809,-40.926132,manaus,AM
80795,-24.41782,-58.391893,manaus,AM
25886,-11.444732,-37.468397,araguaina,TO
99369,-21.492533,-70.902602,ananindeua,PA
57887,-12.684201,-36.48483,aracaju,SE
48005,-8.383882,-66.288504,contagem,MG
96603,-25.74188,-46.556473,nova iguacu,RJ
57089,-14.512865,-39.361862,pelotas,RS
28342,-31.643465,-72.036145,campo grande,MS
74124,-18.226834,-42.875911,maceio,AL
75494,-12.710278,-41.298489,nossa senhora do socorro,SE
14855,-20.107166,-60.166693,campo grande,MS
63150,-28.50889,-42.330059,rio branco,AC
98877,0.067601,-52.610667,ji-parana,RO
19441,-31.598649,-67.619562,rio branco,AC
71763,1.472797,-49.501861,aracaju,SE
11882,-26.454538,-71.101596,brasilia,DF
69793,-9.773416,-41.256618,recife,PE
24965,-14.108547,-42.631342,belo horizonte,MG
36560,-16.803964,-42.162201,brasilia,DF
52498,-28.409507,-47.004641,rio branco,AC
52151,-1.21577,-42.862137,natal,RN
87736,-26.408989,-70.597568,manaus,AM
64415,-26.614068,-58.942761,goiania,GO
41934,2.17567,-71.453442,joinville,SC
90273,-18.70702,-67.005361,pelotas,RS
10832,-32.725488,-37.806796,sao luis,MA
64555,-6.646866,-42.894853,araguaina,TO
37021,-27.562661,-62.70391,sao luis,MA
41359,2.647405,-49.799556,dourados,MS
75521,-9.742107,-69.655195,niteroi,RJ
55593,-17.086137,-51.807005,boa vista,RR
79494,4.118076,-49.481004,salvador,BA
70845,-3.727411,-47.945568,manaus,AM
35391,-28.718193,-67.329738,goiania,GO
33111,-26.929135,-37.938425,imperatriz,MA
47363,-25.035589,-63.447492,duque de caxias,RJ
15677,-29.031998,-71.00665,parnaiba,PI
30715,-3.151303,-54.567667,natal,RN
40841,-5.586683,-50.477147,porto alegre,RS
36050,-4.610703,-38.861835,caucaia,CE
52746,-24.344282,-63.989502,brasilia,DF
59221,0.871876,-70.205871,cuiaba,MT
17122,0.838576,-67.492232,arapiraca,AL
33338,-18.281448,-67.816625,parnaiba,PI
92840,-19.373573,-62.751608,rio branco,AC
14206,-6.696,-70.733235,fortaleza,CE
71018,-15.574001,-66.49435,curitiba,PR
48687,-10.061833,-42.997215,fortaleza,CE
85775,3.865162,-40.509847,aracaju,SE
78389,-14.409891,-35.164755,contagem,MG
70655,-22.391507,-45.259325,arapiraca,AL
42483,-20.562754,-50.980253,rio branco,AC
85196,1.133568,-57.12467,maceio,AL
71689,-5.127901,-53.83978,rio de janeiro,RJ
72818,-2.230772,-46.527167,varzea grande,MT
74918,-23.860563,-51.777495,caxias do sul,RS
38574,-27.956944,-61.759964,sorocaba,SP
12087,-14.768248,-61.416209,aracaju,SE
84760,-4.603106,-72.072288,araguaina,TO
28169,0.219563,-57.596306,dourados,MS
92157,-15.35676,-48.930712,macapa,AP
60446,0.950509,-60.349567,aracaju,SE
65823,-4.390256,-46.473911,duque de caxias,RJ
99740,-29.923556,-39.527805,teresina,PI
77467,2.922245,-47.363187,rio branco,AC
60194,-19.107547,-49.472929,rio de janeiro,RJ
32972,-8.369439,-46.214801,ananindeua,PA
28141,4.287562,-63.931957,natal,RN
72717,-4.979558,-44.413469,pelotas,RS
39548,-20.822375,-38.878545,palmas,TO
46325,-30.93052,-58.833076,campina grande,PB
75726,-12.986061,-68.337041,dourados,MS
69241,-9.403852,-42.603653,araguaina,TO
34687,0.892322,-55.600783,palmas,TO
33437,-22.041838,-36.648177,contagem,MG
46168,-28.743066,-67.377746,porto alegre,RS
78247,3.179981,-72.13777,curitiba,PR
72115,-19.825391,-56.133318,cuiaba,MT
48209,-25.815695,-72.162608,aracaju,SE
78107,-8.502463,-57.355714,macapa,AP
73720,-10.452424,-46.519184,caucaia,CE
70031,-21.444871,-67.985738,boa vista,RR
32509,-3.007827,-64.382286,macapa,AP
16202,-27.363143,-62.193483,ananindeua,PA
31075,-5.951137,-62.16063,blumenau,SC
97340,-2.810623,-66.872321,blumenau,SC
51500,-11.168044,-56.246232,porto alegre,RS
36890,-11.625485,-71.681815,belem,PA
29391,-18.829232,-52.485069,caucaia,CE
49526,-28.383379,-72.052842,blumenau,SC
70036,2.256829,-67.069976,sao luis,MA
94835,-6.192848,-54.991394,rio branco,AC
84086,-5.315336,-37.9529,recife,PE
72781,1.20663,-67.701915,fortaleza,CE
50380,-32.057767,-49.534164,natal,RN
56844,-29.485717,-70.908722,brasilia,DF
86471,-12.995514,-43.311232,aracaju,SE
35652,-32.143151,-52.540333,manaus,AM
77081,-18.011903,-54.362316,campo grande,MS
97394,-19.279535,-67.378054,teresina,PI
60608,-18.832416,-62.183286,varzea grande,MT
68402,0.223466,-69.671252,ananindeua,PA
64474,-2.459951,-62.031907,rio branco,AC
64289,-27.696428,-50.687157,macapa,AP
37234,-21.477217,-35.441468,uberlandia,MG
18665,2.459814,-50.554202,campina grande,PB
10867,-17.440496,-38.252401,vitoria,ES
82851,-15.439441,-51.41918,cuiaba,MT
34380,-1.373219,-62.0004,curitiba,PR
49582,-1.285762,-61.451254,sao luis,MA
39428,-31.980079,-72.907026,mossoro,RN
93958,-1.298763,-55.043436,aparecida de goiania,GO
64677,-26.183852,-38.541859,nossa senhora do socorro,SE
13728,-28.464523,-62.465753,aracaju,SE
86161,-14.741536,-56.429397,juiz de fora,MG
25674,-18.818316,-45.147624,aparecida de goiania,GO
31344,-10.897129,-67.446789,santos,SP
56843,-26.794264,-62.638527,campo grande,MS
16385,-21.985464,-52.874731,varzea grande,MT
92317,-26.036595,-69.408671,uberlandia,MG
81265,-20.740939,-60.984004,manaus,AM
45580,-6.953139,-46.842828,ji-parana,RO
86027,-19.638084,-67.538735,pelotas,RS
46885,-18.825461,-54.573837,maringa,PR
23424,-24.720704,-53.87145,fortaleza,CE
83224,-9.689722,-41.406185,boa vista,RR
64702,-15.501328,-70.096788,joao pessoa,PB
12277,-14.778307,-61.160208,boa vista,RR
67925,0.809603,-50.289352,belem,PA
32571,-6.023994,-71.907138,manaus,AM
39144,-28.10885,-46.618719,boa vista,RR
50295,-28.236921,-68.051706,palmas,TO
24643,-30.046059,-43.561692,contagem,MG
15572,-25.538662,-71.753877,manaus,AM
71483,-28.480956,-63.385526,porto velho,RO
97501,-32.609649,-69.332863,juiz de fora,MG
36922,-10.671084,-65.399072,pelotas,RS
13835,-29.550386,-40.857262,ji-parana,RO
56163,-26.898821,-53.975892,aparecida de goiania,GO
76179,-11.331056,-69.233984,rio branco,AC
79315,-24.754073,-65.721194,maceio,AL
80402,-32.835501,-45.436725,recife,PE
72221,-19.074405,-50.603538,vitoria da conquista,BA
33704,-1.279798,-35.710557,campo grande,MS
77403,-24.35294,-68.711872,cuiaba,MT
71066,-28.807986,-67.83533,fortaleza,CE
47784,-11.828979,-71.456875,manaus,AM
25167,-18.378318,-55.636061,caucaia,CE
68190,-24.41681,-57.523276,rio branco,AC
19123,1.000677,-42.507417,cuiaba,MT
33500,-32.514138,-47.381961,ji-parana,RO
61952,-16.353783,-47.975166,porto velho,RO
28791,-17.997164,-46.58859,belo horizonte,MG
32114,-30.541004,-35.942115,pelotas,RS
87982,-0.926879,-57.637017,fortaleza,CE
75419,-22.416303,-45.887235,brasilia,DF
94388,2.842552,-59.468302,arapiraca,AL
73508,-13.566248,-67.399784,ji-parana,RO
26015,-23.473785,-54.103596,campo grande,MS
13895,-29.215071,-70.991608,aracaju,SE
98880,-31.983542,-66.194364,contagem,MG
30019,-21.495401,-49.31716,parnaiba,PI
96649,-4.43883,-43.83226,manaus,AM
36467,-21.844609,-54.079836,macapa,AP
81098,-19.942605,-40.332452,campina grande,PB
14141,4.647039,-39.555225,natal,RN
68997,-21.04675,-58.699211,caxias do sul,RS
14306,-26.278971,-47.942381,campo grande,MS
31514,-14.323775,-67.889447,manaus,AM
73891,-3.967577,-51.383502,araguaina,TO
72378,-11.634294,-67.060184,imperatriz,MA
44523,-14.201737,-36.106911,nova iguacu,RJ
47281,-20.821654,-71.930415,parnaiba,PI
58026,-19.742682,-44.801829,niteroi,RJ
59882,-29.300698,-59.884565,santos,SP
56041,-30.854929,-63.719302,ananindeua,PA
87664,-29.772214,-46.856332,brasilia,DF
54249,-26.548389,-52.540161,recife,PE
96214,-0.191996,-51.414123,nova iguacu,RJ
12674,-6.553578,-50.656409,varzea grande,MT
84757,-18.16857,-51.243531,caucaia,CE
23114,-6.747169,-65.175484,macapa,AP
31840,-9.636541,-59.193296,imperatriz,MA
75136,-8.85312,-35.983924,cuiaba,MT
47664,-22.924106,-61.70183,uberlandia,MG
39607,-9.266253,-36.59824,arapiraca,AL
87576,-20.200154,-70.443748,palmas,TO
65981,-25.029912,-42.765234,macapa,AP
76144,-2.443185,-56.549402,nossa senhora do socorro,SE
36224,-17.256058,-63.451938,mossoro,RN
98022,-3.989196,-66.137168,campina grande,PB
34450,-11.079955,-64.907793,osasco,SP
45118,2.612191,-52.756665,boa vista,RR
84202,-5.388627,-70.724497,parnaiba,PI
70619,-27.38574,-67.282039,feira de santana,BA
67067,-17.41011,-40.312934,ji-parana,RO
64059,-22.856479,-62.092305,uberlandia,MG
88804,-24.027066,-63.93763,joinville,SC
13631,-23.667709,-41.565305,curitiba,PR
83377,4.669138,-56.963273,dourados,MS
30887,-22.636945,-71.892609,niteroi,RJ
96333,-12.073168,-48.516835,macapa,AP
12609,-30.897564,-38.932792,nova iguacu,RJ
18333,1.221846,-57.53374,caucaia,CE
62021,2.840161,-45.479091,belem,PA
24671,-11.303012,-53.990556,curitiba,PR
97060,-1.4987,-36.912369,pelotas,RS
75070,0.613465,-63.95308,campina grande,PB
53160,-1.371302,-44.985019,caxias do sul,RS
65426,-24.715681,-68.941067,macapa,AP
67602,-17.481729,-40.209803,feira de santana,BA
79922,-18.761211,-36.948986,nova iguacu,RJ
72240,-7.055939,-36.394017,caucaia,CE
57578,-14.941572,-59.025907,macapa,AP
94593,3.738596,-49.97904,recife,PE
98027,-23.892318,-51.99634,boa vista,RR
99816,-28.361957,-40.055788,jaboatao dos guararapes,PE
11031,1.571986,-58.066928,dourados,MS
21829,2.580251,-44.246619,aparecida de goiania,GO
31001,1.80385,-49.008597,recife,PE
14440,-22.586612,-69.956407,macapa,AP
71746,-4.996205,-37.793106,manaus,AM
23159,-1.672767,-46.457677,caucaia,CE
56118,-17.00692,-45.289199,joao pessoa,PB
69409,-6.582016,-44.044933,mossoro,RN
92595,-16.150611,-48.638245,aracaju,SE
36224,-9.124742,-61.078571,sorocaba,SP
30686,-23.515064,-45.88457,belo horizonte,MG
87858,-6.941372,-42.879593,manaus,AM
72700,0.193222,-67.926628,caucaia,CE
87728,-1.582793,-42.617911,blumenau,SC
64328,-19.031217,-58.047221,salvador,BA
39423,-32.212084,-72.127136,serra,ES
21662,4.016848,-65.465884,natal,RN
16525,-17.760673,-56.701672,palmas,TO
21673,3.405249,-66.53533,goiania,GO
11850,-5.69383,-56.463968,maceio,AL
25533,-24.46961,-65.280476,dourados,MS
47743,-4.635165,-58.481206,boa vista,RR
88654,-24.808469,-41.684622,cuiaba,MT
64831,-26.145945,-42.886386,rio branco,AC
44314,-24.051546,-55.862886,santos,SP
86402,-6.997851,-55.589764,brasilia,DF
27459,0.114852,-35.972831,sorocaba,SP
37815,-5.893234,-46.07878,serra,ES
19575,-29.379382,-70.767412,rio branco,AC
71726,1.512608,-35.123901,fortaleza,CE
10702,-23.361038,-49.453001,porto velho,RO
97983,-18.905754,-36.213803,jaboatao dos guararapes,PE
86085,-26.183856,-66.545073,natal,RN
71352,-27.987058,-60.941939,imperatriz,MA
28585,-23.104572,-61.095755,campina grande,PB
46831,-4.582712,-37.802992,londrina,PR
90338,-1.475611,-37.784759,jaboatao dos guararapes,PE
67117,0.921529,-61.009369,campina grande,PB
82833,-0.584721,-48.01806,sao luis,MA
16975,-25.821042,-70.926448,macapa,AP
71636,-23.111489,-46.173411,florianopolis,SC
74868,-31.449915,-59.452236,cuiaba,MT
69999,-14.266435,-40.858143,araguaina,TO
55823,-29.444041,-40.009422,curitiba,PR
76681,-1.742273,-51.596599,florianopolis,SC
86486,4.924173,-72.843222,porto velho,RO
64580,1.975701,-63.646017,manaus,AM
53077,-32.013438,-47.110131,sao luis,MA
61664,-18.804784,-37.692359,porto velho,RO
30155,-31.902769,-55.511139,caxias do sul,RS
69513,-9.122444,-62.765899,araguaina,TO
53178,3.85128,-48.065435,porto velho,RO
84600,-28.085832,-40.195404,dourados,MS
52358,-2.670415,-44.7356,macapa,AP
22130,-17.843377,-66.23559,mossoro,RN
21690,-32.220543,-65.087536,manaus,AM
47347,-8.407616,-36.731567,vila velha,ES
49131,-14.347886,-56.57038,curitiba,PR
99779,-10.066483,-59.356318,macapa,AP
77194,-25.404892,-56.073188,caxias do sul,RS
45190,-11.603831,-56.923318,vila velha,ES
58265,-9.673024,-56.503975,manaus,AM
15300,-13.493025,-36.015672,cuiaba,MT
94883,-6.923012,-67.107351,porto velho,RO
48103,-15.207671,-69.991041,sao luis,MA
49373,-27.352952,-68.14399,macapa,AP
78562,-16.746191,-51.395644,recife,PE
15910,-13.490248,-53.59524,natal,RN
70903,-7.8875,-51.397828,cuiaba,MT
43405,-10.74842,-43.791423,aparecida de goiania,GO
96714,-15.4106,-43.12527,sao paulo,SP
15932,-29.834959,-39.683297,boa vista,RR
86966,-5.484402,-44.220538,jaboatao dos guararapes,PE
54739,3.735346,-39.888897,dourados,MS
34259,-30.02762,-35.676925,florianopolis,SC
66858,-12.693712,-72.777811,goiania,GO
32509,-8.079563,-55.513805,porto alegre,RS
88890,-5.415367,-61.493601,serra,ES
98316,3.599381,-47.346113,boa vista,RR
21486,-28.246599,-72.472715,macapa,AP
34670,-0.357543,-65.04928,porto alegre,RS
95162,-23.812352,-41.000591,aracaju,SE
21284,-21.565121,-55.389829,macapa,AP
12859,-28.574565,-38.708217,imperatriz,MA
73576,-15.08341,-40.327735,rio branco,AC
36389,-21.796407,-41.480871,maceio,AL
53758,-32.700777,-49.044425,vitoria,ES
64484,-0.752582,-44.991024,araguaina,TO
14851,-14.475133,-54.528163,parnaiba,PI
40396,-5.856968,-52.924265,arapiraca,AL
82516,-30.586598,-39.070667,varzea grande,MT
25327,-14.198026,-37.31935,varzea grande,MT
67177,-32.209337,-62.05559,ananindeua,PA
55068,-16.351794,-53.709834,feira de santana,BA
88918,-0.568756,-45.822432,arapiraca,AL
48455,-5.52619,-58.165893,campo grande,MS
71908,-2.609308,-40.907811,varzea grande,MT
47022,-6.753493,-69.724708,teresina,PI
32713,-25.4196,-49.981538,sao luis,MA
74713,-21.461228,-65.041548,caxias do sul,RS
57026,0.474432,-59.432333,rio de janeiro,RJ
75991,-31.78514,-70.580708,florianopolis,SC
90945,-24.38577,-51.644705,cuiaba,MT
54606,-3.174339,-43.763792,imperatriz,MA
29815,-0.57049,-39.799564,manaus,AM
16608,2.21202,-56.362585,teresina,PI
23879,-3.297209,-49.833078,campo grande,MS
15501,-13.722382,-66.652241,pelotas,RS
57400,-27.032763,-61.899326,porto alegre,RS
23014,-27.136762,-59.177998,dourados,MS
26119,-0.753387,-56.313878,boa vista,RR
42154,-1.277092,-55.000793,cuiaba,MT
21171,-22.891406,-45.82241,recife,PE
92502,-7.73018,-67.238774,varzea grande,MT
39908,-27.756215,-56.704732,manaus,AM
77653,-2.804921,-59.252574,varzea grande,MT
29082,-3.734229,-45.730222,sorocaba,SP
21112,-20.144462,-57.737267,joao pessoa,PB
66894,-30.664204,-44.150689,manaus,AM
85308,-30.803226,-48.998913,porto velho,RO
64959,-17.723893,-47.126915,araguaina,TO
51116,1.550772,-72.699715,mossoro,RN
62944,-16.044816,-65.204924,goiania,GO
55252,0.731646,-43.300602,mossoro,RN
49522,-29.797325,-52.577527,vitoria,ES
26515,-13.222151,-52.449971,serra,ES
77065,-12.032138,-53.189237,salvador,BA
13069,-31.940133,-42.729249,manaus,AM
41632,-1.375299,-61.450201,arapiraca,AL
17857,-1.019829,-63.129255,cuiaba,MT
26228,-31.186151,-48.263428,campina grande,PB
49054,-11.247459,-72.801891,caxias do sul,RS
86230,-11.507305,-39.015122,fortaleza,CE
55919,-21.630339,-47.65695,aracaju,SE
59501,-13.252667,-63.589933,boa vista,RR
57352,-15.736236,-67.430976,fortaleza,CE
20740,-29.494553,-56.854304,varzea grande,MT
38152,-16.045765,-58.96682,londrina,PR
87101,-11.759199,-43.404661,campina grande,PB
93422,-16.909957,-56.276962,aparecida de goiania,GO
31344,-27.514845,-68.169289,imperatriz,MA
26958,3.785209,-53.498952,araguaina,TO
37871,-15.69357,-71.760919,joao pessoa,PB
58409,2.0245,-68.48689,blumenau,SC
25842,-18.955733,-61.995558,cuiaba,MT
25432,-18.884241,-35.341236,joao pessoa,PB
73691,-31.936844,-67.570963,jaboatao dos guararapes,PE
16376,2.599185,-61.403769,macapa,AP
33996,-1.873247,-54.425841,recife,PE
55698,-30.432548,-71.302066,pelotas,RS
84155,-15.809772,-60.162717,imperatriz,MA
89391,-27.953235,-67.736153,vila velha,ES
68973,-7.645612,-67.338662,nossa senhora do socorro,SE
21706,-2.607158,-47.748912,rio branco,AC
40516,1.209288,-60.11808,varzea grande,MT
46356,-8.455172,-40.093764,nova iguacu,RJ
84972,-9.05585,-43.679385,palmas,TO
94399,-11.744593,-65.687784,recife,PE
84743,-13.173356,-44.478774,teresina,PI
25765,-7.986332,-52.789341,joao pessoa,PB
36975,-23.679106,-46.186527,santos,SP
21094,-2.337001,-49.939517,arapiraca,AL
15896,-14.324024,-37.513746,serra,ES
33659,-17.232416,-40.33336,caucaia,CE
43708,-29.541047,-35.768128,caucaia,CE
47401,-27.526698,-63.288928,natal,RN
50212,3.18226,-47.212874,uberlandia,MG
33784,-31.967495,-70.776932,duque de caxias,RJ
51948,-27.586499,-39.065581,vitoria,ES
25855,-31.028631,-63.894327,aparecida de goiania,GO
74615,-13.672392,-53.831992,teresina,PI
17947,-20.903215,-51.981399,caxias do sul,RS
13788,-17.515236,-64.117863,contagem,MG
82623,3.612038,-47.346298,santos,SP
49926,-11.406666,-56.052674,brasilia,DF
28660,-18.814402,-35.558269,aracaju,SE
80455,3.19928,-36.46862,macapa,AP
15477,-32.96196,-55.343222,mossoro,RN
95597,3.939109,-72.979369,boa vista,RR
88363,-23.46622,-47.160084,imperatriz,MA
86697,-1.054001,-62.310171,belem,PA
80004,-11.6029,-61.575743,blumenau,SC
26118,-1.441072,-45.447196,serra,ES
37636,-9.803078,-36.618147,aparecida de goiania,GO
93252,-23.0683,-44.397628,caucaia,CE
42234,-7.833473,-60.777746,dourados,MS
88579,-20.518625,-38.267307,feira de santana,BA
10268,-9.866103,-72.837389,maringa,PR
64154,-11.879955,-46.533382,campinas,SP
80533,-29.916346,-39.684629,imperatriz,MA
80601,-31.823994,-41.380813,aracaju,SE
98112,-28.310208,-36.062517,ji-parana,RO
56919,-18.303461,-41.11246,serra,ES
26353,-15.417684,-37.422582,macapa,AP
39035,-4.760511,-44.180002,campo grande,MS
35101,-29.581272,-49.689177,ji-parana,RO
40704,4.244527,-36.242733,recife,PE
74597,1.371288,-46.135216,duque de caxias,RJ
35701,4.402014,-48.739428,salvador,BA
84593,-13.987626,-66.52187,caxias do sul,RS
84148,-7.457329,-50.087043,vitoria da conquista,BA
87091,-28.126637,-70.528126,florianopolis,SC
78561,-5.301843,-62.575537,goiania,GO
98832,-12.748222,-63.388999,porto velho,RO
10256,2.639834,-48.643281,mossoro,RN
52336,-16.563169,-35.185954,aracaju,SE
99151,-13.30478,-54.168161,goiania,GO
39431,-31.215343,-38.101123,joao pessoa,PB
51450,-32.803947,-65.604891,mossoro,RN
39573,4.167633,-56.89483,belo horizonte,MG
35805,-26.7497,-61.189377,uberlandia,MG
13653,-14.761276,-42.293755,aracaju,SE
42821,-23.608164,-55.004092,arapiraca,AL
53724,-13.252348,-64.003741,fortaleza,CE
22539,-9.236747,-51.00049,contagem,MG
14370,-18.658985,-39.176818,belo horizonte,MG
26716,-30.643915,-42.50929,palmas,TO
90050,-9.204962,-70.49997,duque de caxias,RJ
83303,-31.016281,-40.702686,porto velho,RO
90911,-4.425392,-64.141745,vitoria,ES
69429,-18.411039,-42.783742,teresina,PI
54514,-8.264986,-47.320508,teresina,PI
77792,-20.528641,-65.68571,sorocaba,SP
88010,-5.894623,-50.470313,porto alegre,RS
85132,-28.212698,-53.661876,boa vista,RR
73097,-5.464325,-56.104276,ananindeua,PA
15776,-30.701335,-61.156659,brasilia,DF
50788,-10.820695,-52.436539,varzea grande,MT
71541,-21.270372,-59.969788,curitiba,PR
77853,-10.715283,-47.224586,belem,PA
76467,-1.871016,-51.740903,niteroi,RJ
55064,-25.574529,-65.385868,nova iguacu,RJ
54767,-25.804488,-54.922448,salvador,BA
88612,-6.688274,-40.62367,araguaina,TO
