order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000058,1,credit_card,1,1423.42
ORD000059,1,credit_card,10,722.71
ORD000060,1,credit_card,1,549.98
ORD000061,1,boleto,1,86.62
ORD000062,1,boleto,10,1567.52
ORD000063,1,credit_card,1,510.42
ORD000064,1,boleto,10,1315.09
ORD000065,1,credit_card,3,548.47
ORD000066,1,credit_card,1,492.39
ORD000066,2,credit_card,3,399.59
ORD000067,1,boleto,3,630.34
ORD000067,2,credit_card,6,905.89
ORD000068,1,voucher,10,351.03
ORD000068,2,credit_card,3,474.42
ORD000069,1,boleto,10,499.9
ORD000069,2,boleto,3,697.99
ORD000070,1,credit_card,3,305.17
ORD000071,1,debit_card,10,2114.33
ORD000072,1,boleto,1,434.34
ORD000073,1,credit_card,2,83.87
ORD000074,1,credit_card,1,1185.0
ORD000075,1,credit_card,3,226.14
ORD000075,2,credit_card,6,201.72
ORD000076,1,credit_card,1,336.32
ORD000077,1,credit_card,1,203.68
ORD000078,1,credit_card,10,423.74
ORD000078,2,credit_card,3,479.17
ORD000079,1,credit_card,10,1305.37
ORD000080,1,boleto,1,555.9
ORD000081,1,boleto,3,555.04
ORD000082,1,boleto,1,618.73
ORD000083,1,credit_card,6,45.38
ORD000084,1,boleto,1,39.69
ORD000084,2,boleto,1,82.57
ORD000085,1,credit_card,6,522.91
ORD000086,1,boleto,1,288.59
ORD000086,2,credit_card,6,362.79
ORD000087,1,credit_card,3,809.67
ORD000088,1,voucher,1,381.99
ORD000088,2,credit_card,2,228.74
ORD000089,1,credit_card,10,902.54
ORD000090,1,credit_card,1,613.34
ORD000091,1,boleto,1,578.55
ORD000092,1,debit_card,1,215.7
ORD000093,1,credit_card,2,185.59
ORD000094,1,credit_card,2,1537.61
ORD000095,1,voucher,10,686.2
ORD000095,2,boleto,2,304.1
ORD000096,1,credit_card,10,379.51
ORD000097,1,credit_card,6,522.8
ORD000098,1,credit_card,1,572.8
ORD000099,1,boleto,1,485.03
ORD000100,1,credit_card,10,168.29
ORD000101,1,credit_card,3,557.7
ORD000102,1,boleto,1,463.07
ORD000103,1,credit_card,1,917.39
ORD000104,1,boleto,6,205.89
ORD000105,1,boleto,1,1536.58
ORD000106,1,boleto,1,224.15
ORD000106,2,boleto,2,256.51
ORD000107,1,boleto,1,741.07
ORD000108,1,credit_card,1,370.17
ORD000109,1,credit_card,1,181.52
ORD000109,2,credit_card,1,143.79
ORD000110,1,credit_card,1,484.65
ORD000111,1,credit_card,3,182.45
ORD000112,1,credit_card,3,102.34
ORD000113,1,credit_card,1,616.39
ORD000114,1,boleto,1,456.31
ORD000115,1,boleto,1,266.86
ORD000116,1,debit_card,6,642.37
ORD000117,1,credit_card,1,214.87
ORD000118,1,credit_card,6,510.29
ORD000119,1,boleto,1,929.36
ORD000120,1,boleto,6,355.91
ORD000121,1,voucher,1,572.01
ORD000122,1,credit_card,10,600.62
ORD000123,1,voucher,6,758.88
ORD000124,1,boleto,1,975.19
ORD000125,1,boleto,6,766.41
ORD000126,1,credit_card,1,132.11
ORD000126,2,credit_card,1,212.49
ORD000127,1,credit_card,6,399.75
ORD000128,1,boleto,1,481.41
ORD000129,1,credit_card,10,824.37
ORD000130,1,credit_card,6,499.53
ORD000131,1,boleto,3,79.44
ORD000132,1,boleto,6,134.3
ORD000133,1,boleto,1,972.91
ORD000134,1,credit_card,3,273.03
ORD000135,1,credit_card,1,68.63
ORD000135,2,credit_card,6,115.66
ORD000136,1,credit_card,1,754.03
ORD000137,1,credit_card,10,346.72
ORD000138,1,credit_card,1,557.85
ORD000138,2,credit_card,2,505.3
ORD000139,1,boleto,10,1257.5
ORD000140,1,credit_card,10,1037.75
ORD000141,1,boleto,1,647.96
ORD000142,1,boleto,6,1216.04
ORD000143,1,credit_card,1,2052.27
ORD000144,1,credit_card,1,361.26
ORD000145,1,credit_card,10,1478.38
ORD000146,1,debit_card,1,881.72
ORD000147,1,credit_card,2,107.51
ORD000147,2,boleto,1,67.56
ORD000148,1,credit_card,1,528.11
ORD000149,1,boleto,2,1177.97
ORD000150,1,credit_card,10,1042.64
ORD000151,1,credit_card,1,279.65
ORD000152,1,credit_card,1,1271.96
ORD000153,1,credit_card,10,582.73
ORD000154,1,credit_card,1,162.86
ORD000155,1,debit_card,2,171.58
ORD000155,2,boleto,3,143.08
ORD000156,1,credit_card,1,576.32
ORD000157,1,credit_card,2,149.87
ORD000158,1,credit_card,1,713.18
ORD000159,1,credit_card,1,360.98
ORD000160,1,credit_card,2,693.41
ORD000161,1,boleto,2,1105.71
ORD000162,1,boleto,1,962.0
ORD000163,1,credit_card,1,662.48
ORD000164,1,credit_card,10,146.77
ORD000165,1,voucher,1,408.06
ORD000166,1,voucher,1,612.75
ORD000167,1,credit_card,3,618.05
ORD000168,1,debit_card,10,51.52
ORD000169,1,credit_card,1,1601.67
ORD000170,1,credit_card,10,1434.99
ORD000171,1,credit_card,3,851.39
ORD000172,1,credit_card,6,603.1
ORD000172,2,credit_card,6,894.8
ORD000173,1,credit_card,1,888.93
ORD000174,1,credit_card,10,398.91
ORD000175,1,credit_card,10,553.23
ORD000176,1,debit_card,6,1365.54
ORD000177,1,boleto,2,1438.81
ORD000178,1,credit_card,1,737.41
ORD000179,1,credit_card,10,282.33
ORD000179,2,credit_card,1,169.16
ORD000180,1,boleto,1,369.6
ORD000181,1,credit_card,10,646.45
ORD000182,1,credit_card,1,1310.66
ORD000183,1,voucher,10,368.76
ORD000184,1,boleto,2,470.68
ORD000185,1,credit_card,1,241.03
ORD000186,1,voucher,1,271.07
ORD000186,2,credit_card,1,227.08
ORD000187,1,credit_card,1,1522.04
ORD000188,1,debit_card,1,1096.75
ORD000189,1,credit_card,3,302.46
ORD000190,1,credit_card,1,1288.5
ORD000191,1,boleto,2,629.58
ORD000192,1,voucher,1,498.13
ORD000193,1,debit_card,6,809.07
ORD000194,1,credit_card,10,397.98
ORD000195,1,credit_card,1,618.97
ORD000196,1,debit_card,1,558.78
ORD000196,2,boleto,10,253.07
ORD000197,1,credit_card,10,63.38
ORD000198,1,credit_card,1,204.94
ORD000199,1,debit_card,10,546.63
ORD000200,1,credit_card,2,945.4
ORD000201,1,credit_card,2,621.78
ORD000202,1,boleto,1,460.98
ORD000203,1,credit_card,1,182.36
ORD000203,2,credit_card,3,386.12
ORD000204,1,boleto,2,798.51
ORD000205,1,debit_card,1,16.95
ORD000205,2,credit_card,1,27.21
ORD000206,1,debit_card,1,75.22
ORD000207,1,credit_card,3,217.73
ORD000207,2,voucher,10,232.12
ORD000208,1,credit_card,1,1211.96
ORD000209,1,credit_card,3,1241.05
ORD000210,1,debit_card,10,248.62
ORD000211,1,credit_card,1,1901.79
ORD000212,1,credit_card,3,448.44
ORD000213,1,boleto,3,69.34
ORD000214,1,credit_card,1,885.19
ORD000214,2,boleto,3,675.42
ORD000215,1,credit_card,1,179.82
ORD000216,1,voucher,3,612.69
ORD000217,1,credit_card,6,1557.14
ORD000218,1,credit_card,1,914.12
ORD000219,1,credit_card,6,2576.39
ORD000220,1,credit_card,1,709.71
ORD000220,2,credit_card,1,949.79
ORD000221,1,credit_card,1,2009.36
ORD000222,1,credit_card,6,1281.46
ORD000223,1,credit_card,10,495.33
ORD000224,1,debit_card,1,512.54
ORD000225,1,credit_card,1,646.11
ORD000226,1,debit_card,10,1448.7
ORD000227,1,voucher,3,846.76
ORD000228,1,boleto,10,2354.57
ORD000229,1,credit_card,1,2246.62
ORD000230,1,credit_card,1,1054.71
ORD000231,1,credit_card,10,1160.76
ORD000232,1,boleto,1,596.78
ORD000233,1,credit_card,1,728.25
ORD000234,1,boleto,2,446.55
ORD000235,1,credit_card,1,478.05
ORD000236,1,boleto,3,2160.57
ORD000237,1,boleto,1,126.54
ORD000237,2,credit_card,1,141.18
ORD000238,1,credit_card,10,573.31
ORD000238,2,boleto,2,513.4
ORD000239,1,debit_card,1,881.18
ORD000240,1,credit_card,1,968.86
ORD000241,1,credit_card,6,89.58
ORD000242,1,credit_card,10,375.05
ORD000243,1,credit_card,10,349.82
ORD000243,2,credit_card,2,560.68
ORD000244,1,credit_card,2,1542.69
ORD000245,1,voucher,1,355.71
ORD000246,1,credit_card,1,220.18
ORD000246,2,credit_card,1,117.68
ORD000247,1,credit_card,2,672.22
ORD000248,1,boleto,1,1260.84
ORD000249,1,credit_card,1,307.8
ORD000250,1,credit_card,1,1174.96
ORD000251,1,credit_card,2,295.93
ORD000251,2,boleto,1,665.68
ORD000252,1,credit_card,3,43.12
ORD000253,1,debit_card,6,578.77
ORD000254,1,credit_card,10,745.25
ORD000255,1,boleto,10,1367.9
ORD000256,1,boleto,1,696.3
ORD000257,1,credit_card,1,666.18
ORD000258,1,credit_card,1,537.44
ORD000258,2,credit_card,3,837.96
ORD000259,1,credit_card,1,658.03
ORD000260,1,debit_card,2,2123.89
ORD000261,1,credit_card,1,612.67
ORD000261,2,credit_card,3,805.28
ORD000262,1,credit_card,10,533.53
ORD000262,2,boleto,1,359.29
ORD000263,1,credit_card,2,789.16
ORD000264,1,credit_card,10,837.05
ORD000265,1,credit_card,6,166.1
ORD000266,1,credit_card,1,475.18
ORD000266,2,credit_card,1,357.6
ORD000267,1,voucher,2,1981.95
ORD000268,1,boleto,6,1921.3
ORD000269,1,credit_card,1,1000.7
ORD000270,1,credit_card,1,253.76
ORD000271,1,credit_card,3,544.73
ORD000272,1,credit_card,1,219.27
ORD000272,2,credit_card,6,462.92
ORD000273,1,credit_card,1,321.66
ORD000273,2,credit_card,1,168.86
ORD000274,1,credit_card,2,601.63
ORD000275,1,credit_card,2,196.41
ORD000276,1,credit_card,1,474.11
ORD000276,2,boleto,3,488.09
ORD000277,1,boleto,10,744.1
ORD000278,1,credit_card,1,1356.85
ORD000279,1,boleto,6,1824.2
ORD000280,1,credit_card,2,471.88
ORD000281,1,debit_card,1,1170.92
ORD000282,1,credit_card,1,374.38
ORD000283,1,credit_card,1,616.94
ORD000284,1,debit_card,6,75.13
ORD000285,1,boleto,1,350.44
ORD000285,2,voucher,10,758.53
ORD000286,1,credit_card,1,895.26
ORD000287,1,credit_card,1,292.2
ORD000288,1,boleto,1,1440.47
ORD000289,1,credit_card,1,43.3
ORD000289,2,credit_card,6,38.95
ORD000290,1,debit_card,1,496.19
ORD000291,1,credit_card,1,259.49
ORD000292,1,credit_card,6,741.9
ORD000293,1,boleto,2,166.72
ORD000294,1,boleto,6,1474.6
ORD000295,1,boleto,1,1150.83
ORD000296,1,credit_card,1,366.2
ORD000297,1,boleto,1,911.94
ORD000298,1,debit_card,2,1406.47
ORD000298,2,credit_card,1,1114.28
ORD000299,1,credit_card,10,745.57
ORD000300,1,credit_card,10,465.95
ORD000301,1,credit_card,1,88.33
ORD000302,1,credit_card,1,1083.28
ORD000303,1,boleto,1,226.35
ORD000304,1,boleto,1,257.01
ORD000305,1,credit_card,2,224.43
ORD000306,1,credit_card,3,454.95
ORD000307,1,credit_card,1,615.48
ORD000307,2,boleto,2,324.93
ORD000308,1,boleto,2,1541.48
ORD000309,1,credit_card,1,494.89
ORD000309,2,credit_card,10,510.0
ORD000310,1,credit_card,1,266.95
ORD000311,1,credit_card,2,1511.4
ORD000312,1,boleto,3,636.46
ORD000313,1,credit_card,10,795.87
ORD000314,1,credit_card,10,453.88
ORD000314,2,credit_card,1,385.11
ORD000315,1,credit_card,6,1048.66
ORD000316,1,boleto,1,384.24
ORD000317,1,credit_card,2,1860.04
ORD000318,1,credit_card,1,25.37
ORD000318,2,boleto,3,56.96
ORD000319,1,boleto,2,485.81
ORD000319,2,credit_card,1,600.39
ORD000320,1,credit_card,2,534.04
ORD000321,1,credit_card,1,330.86
ORD000322,1,credit_card,6,2290.82
ORD000323,1,credit_card,6,971.17
ORD000324,1,credit_card,1,851.48
ORD000325,1,credit_card,1,340.05
ORD000326,1,credit_card,6,288.44
ORD000327,1,debit_card,1,840.43
ORD000328,1,credit_card,2,428.72
ORD000329,1,credit_card,1,842.89
ORD000330,1,boleto,1,146.01
ORD000331,1,boleto,10,129.55
ORD000332,1,voucher,1,1425.02
ORD000333,1,debit_card,2,818.31
ORD000334,1,credit_card,1,835.04
ORD000335,1,debit_card,2,1307.59
ORD000336,1,credit_card,3,357.43
ORD000337,1,boleto,3,92.56
ORD000338,1,credit_card,10,213.83
ORD000339,1,credit_card,6,706.55
ORD000340,1,credit_card,3,1142.98
ORD000341,1,credit_card,3,284.89
ORD000342,1,credit_card,1,1341.39
ORD000343,1,credit_card,2,1404.32
ORD000344,1,debit_card,10,2109.21
ORD000345,1,credit_card,1,769.15
ORD000346,1,credit_card,1,2076.23
ORD000347,1,credit_card,6,659.99
ORD000348,1,boleto,2,1050.42
ORD000349,1,credit_card,1,911.44
ORD000350,1,credit_card,1,481.83
ORD000351,1,boleto,1,1767.01
ORD000352,1,credit_card,1,2522.54
ORD000353,1,debit_card,10,1729.22
ORD000354,1,boleto,1,236.07
ORD000355,1,credit_card,1,1238.53
ORD000356,1,credit_card,1,430.36
ORD000356,2,boleto,1,204.8
ORD000357,1,debit_card,1,1175.38
ORD000358,1,voucher,1,627.62
ORD000359,1,credit_card,10,859.03
ORD000360,1,credit_card,1,652.12
ORD000361,1,debit_card,2,702.68
ORD000362,1,debit_card,10,510.51
ORD000363,1,boleto,1,687.19
ORD000364,1,credit_card,1,328.59
ORD000365,1,debit_card,2,183.63
ORD000366,1,credit_card,1,502.66
ORD000367,1,credit_card,3,1264.93
ORD000368,1,boleto,3,589.08
ORD000369,1,credit_card,2,600.65
ORD000369,2,credit_card,1,594.09
ORD000370,1,voucher,1,1502.18
ORD000371,1,credit_card,10,407.21
ORD000371,2,credit_card,10,716.52
ORD000372,1,credit_card,1,509.77
ORD000373,1,debit_card,1,437.86
ORD000373,2,debit_card,1,313.9
ORD000374,1,boleto,10,532.01
ORD000375,1,credit_card,10,1913.45
ORD000376,1,credit_card,1,818.36
ORD000377,1,debit_card,3,732.18
ORD000378,1,credit_card,1,767.31
ORD000379,1,debit_card,6,575.9
ORD000380,1,credit_card,1,1098.64
ORD000381,1,credit_card,2,305.99
ORD000381,2,boleto,1,517.07
ORD000382,1,credit_card,1,1512.71
ORD000383,1,debit_card,1,603.15
ORD000384,1,credit_card,1,934.11
ORD000385,1,boleto,6,926.89
ORD000386,1,credit_card,10,643.94
ORD000387,1,credit_card,10,1072.08
ORD000388,1,boleto,1,206.66
ORD000389,1,voucher,1,578.26
ORD000390,1,credit_card,1,211.2
ORD000391,1,credit_card,1,970.69
ORD000392,1,boleto,1,1742.68
ORD000393,1,credit_card,6,171.48
ORD000394,1,credit_card,2,1202.54
ORD000395,1,credit_card,3,170.06
ORD000395,2,credit_card,6,111.94
ORD000396,1,boleto,3,808.85
ORD000397,1,debit_card,1,540.92
ORD000398,1,credit_card,6,1808.95
ORD000399,1,boleto,2,926.11
ORD000400,1,credit_card,10,890.06
ORD000401,1,credit_card,10,177.24
ORD000401,2,debit_card,6,233.94
ORD000402,1,credit_card,1,103.55
ORD000403,1,credit_card,1,394.28
ORD000403,2,credit_card,10,506.59
ORD000404,1,credit_card,1,178.32
ORD000404,2,credit_card,3,193.12
ORD000405,1,credit_card,10,550.97
ORD000406,1,debit_card,2,897.68
ORD000407,1,credit_card,10,1755.51
ORD000408,1,boleto,10,568.42
ORD000409,1,debit_card,1,860.15
ORD000410,1,credit_card,1,1800.31
ORD000411,1,voucher,10,281.84
ORD000412,1,boleto,2,138.47
ORD000413,1,credit_card,1,382.82
ORD000414,1,credit_card,6,482.21
ORD000415,1,credit_card,6,1062.98
ORD000416,1,credit_card,2,365.02
ORD000417,1,boleto,3,1401.24
ORD000418,1,voucher,1,2475.48
ORD000419,1,credit_card,1,1049.03
ORD000420,1,credit_card,10,32.62
ORD000421,1,credit_card,2,639.15
ORD000421,2,credit_card,10,445.44
ORD000422,1,credit_card,10,1670.87
ORD000423,1,debit_card,10,654.89
ORD000424,1,credit_card,2,756.43
ORD000425,1,credit_card,6,1072.58
ORD000426,1,credit_card,10,789.51
ORD000427,1,boleto,1,455.3
ORD000427,2,credit_card,1,260.01
ORD000428,1,credit_card,2,452.47
ORD000429,1,boleto,1,1378.38
ORD000430,1,credit_card,1,714.81
ORD000431,1,credit_card,1,150.46
ORD000432,1,credit_card,6,1117.11
ORD000433,1,credit_card,2,931.35
ORD000434,1,credit_card,1,1760.04
ORD000435,1,credit_card,3,1494.63
ORD000436,1,credit_card,2,634.3
ORD000437,1,credit_card,3,223.31
ORD000437,2,boleto,2,111.09
ORD000438,1,boleto,6,168.61
ORD000439,1,credit_card,2,1581.76
ORD000440,1,boleto,10,1328.38
ORD000441,1,credit_card,10,273.06
ORD000442,1,credit_card,3,655.22
ORD000443,1,credit_card,1,1222.19
ORD000444,1,voucher,1,1008.69
ORD000445,1,credit_card,2,865.06
ORD000446,1,credit_card,1,154.91
ORD000447,1,credit_card,3,557.5
ORD000448,1,credit_card,2,1252.23
ORD000449,1,credit_card,10,955.17
ORD000450,1,credit_card,10,1393.65
ORD000451,1,credit_card,2,259.47
ORD000452,1,credit_card,1,652.89
ORD000453,1,credit_card,1,2387.27
ORD000454,1,boleto,2,968.24
ORD000455,1,voucher,3,169.75
ORD000456,1,credit_card,1,753.99
ORD000456,2,credit_card,1,402.5
ORD000457,1,credit_card,1,878.61
ORD000457,2,credit_card,1,402.32
ORD000458,1,credit_card,10,788.08
ORD000459,1,credit_card,1,845.64
ORD000460,1,credit_card,6,208.92
ORD000461,1,debit_card,3,1154.48
ORD000462,1,credit_card,6,148.61
ORD000462,2,boleto,6,308.22
ORD000463,1,credit_card,1,561.31
ORD000464,1,credit_card,1,1115.85
ORD000464,2,boleto,1,603.94
ORD000465,1,boleto,1,1599.29
ORD000466,1,credit_card,10,135.21
ORD000467,1,credit_card,10,487.36
ORD000468,1,boleto,1,661.67
ORD000469,1,credit_card,3,95.89
ORD000470,1,credit_card,1,868.48
ORD000471,1,boleto,1,420.79
ORD000472,1,credit_card,6,907.44
ORD000473,1,credit_card,1,202.72
ORD000474,1,credit_card,6,353.16
ORD000475,1,credit_card,1,656.65
ORD000476,1,boleto,2,828.39
ORD000477,1,boleto,1,255.63
ORD000478,1,boleto,6,854.92
ORD000479,1,credit_card,6,491.94
ORD000480,1,credit_card,1,453.73
ORD000481,1,credit_card,10,775.21
ORD000481,2,credit_card,3,865.64
ORD000482,1,credit_card,6,931.95
ORD000483,1,credit_card,6,499.77
ORD000484,1,credit_card,1,542.53
ORD000485,1,debit_card,3,777.67
ORD000486,1,boleto,10,945.24
ORD000487,1,credit_card,1,1460.04
ORD000488,1,boleto,6,210.55
ORD000489,1,credit_card,10,1095.34
ORD000490,1,credit_card,3,471.55
ORD000491,1,credit_card,1,616.68
ORD000492,1,debit_card,6,314.75
ORD000493,1,credit_card,1,1112.59
ORD000494,1,credit_card,1,383.18
ORD000495,1,credit_card,1,1546.51
ORD000496,1,boleto,1,227.44
ORD000496,2,credit_card,1,131.91
ORD000497,1,credit_card,1,633.93
ORD000498,1,voucher,2,456.53
ORD000499,1,debit_card,1,210.13
ORD000500,1,boleto,3,404.02
ORD000501,1,voucher,6,861.06
ORD000502,1,credit_card,1,564.27
ORD000503,1,credit_card,10,373.07
ORD000503,2,boleto,1,235.15
ORD000504,1,credit_card,2,880.33
ORD000505,1,credit_card,1,2749.44
ORD000506,1,boleto,10,405.58
ORD000507,1,credit_card,1,527.53
ORD000508,1,credit_card,1,993.63
ORD000509,1,credit_card,6,437.12
ORD000509,2,boleto,3,496.34
ORD000510,1,boleto,2,1468.05
ORD000511,1,credit_card,1,857.15
ORD000512,1,credit_card,1,839.37
ORD000513,1,credit_card,10,866.64
ORD000514,1,credit_card,2,594.4
ORD000514,2,credit_card,3,282.37
ORD000515,1,debit_card,1,768.14
ORD000516,1,debit_card,6,314.04
ORD000516,2,credit_card,1,291.5
ORD000517,1,credit_card,1,742.01
ORD000518,1,boleto,1,606.29
ORD000519,1,boleto,1,821.13
ORD000520,1,credit_card,6,184.88
ORD000521,1,credit_card,1,785.78
ORD000522,1,boleto,1,84.59
ORD000523,1,credit_card,6,1103.92
ORD000524,1,boleto,6,481.81
ORD000525,1,debit_card,1,979.77
ORD000526,1,boleto,6,1173.18
ORD000527,1,credit_card,1,1165.35
ORD000528,1,boleto,2,799.11
ORD000529,1,credit_card,1,779.88
ORD000530,1,credit_card,2,806.75
ORD000531,1,credit_card,3,307.0
ORD000532,1,credit_card,6,1402.7
ORD000533,1,credit_card,6,1092.5
ORD000534,1,credit_card,10,27.75
ORD000535,1,credit_card,6,1980.84
ORD000536,1,credit_card,6,200.34
ORD000537,1,debit_card,6,235.56
ORD000538,1,debit_card,1,855.78
ORD000539,1,credit_card,2,1800.54
ORD000540,1,boleto,10,414.77
ORD000541,1,credit_card,1,378.61
ORD000542,1,credit_card,10,1635.55
ORD000543,1,credit_card,10,678.12
ORD000544,1,voucher,6,1751.38
ORD000545,1,credit_card,2,834.49
ORD000546,1,credit_card,3,321.48
ORD000547,1,credit_card,1,681.04
ORD000548,1,credit_card,10,1534.87
ORD000549,1,credit_card,2,440.03
ORD000549,2,credit_card,1,572.4
ORD000550,1,boleto,1,608.9
ORD000550,2,credit_card,1,539.46
ORD000551,1,credit_card,1,113.31
ORD000552,1,boleto,1,538.84
ORD000553,1,boleto,1,421.79
ORD000554,1,boleto,1,804.43
ORD000555,1,voucher,6,444.31
ORD000556,1,credit_card,6,1317.22
ORD000557,1,boleto,10,658.0
ORD000558,1,credit_card,3,917.73
ORD000559,1,boleto,1,821.05
ORD000560,1,boleto,1,408.81
ORD000561,1,voucher,3,416.51
ORD000562,1,credit_card,3,333.15
ORD000563,1,credit_card,1,105.14
ORD000564,1,credit_card,3,805.67
ORD000565,1,boleto,6,883.02
ORD000566,1,credit_card,3,329.6
ORD000567,1,credit_card,10,1862.8
ORD000568,1,boleto,1,102.96
ORD000569,1,voucher,1,341.84
ORD000569,2,credit_card,1,323.59
ORD000570,1,boleto,1,211.07
ORD000571,1,credit_card,2,366.88
ORD000572,1,credit_card,1,1701.59
ORD000573,1,credit_card,10,757.96
ORD000573,2,credit_card,1,846.47
ORD000574,1,credit_card,3,834.16
ORD000575,1,credit_card,6,625.71
ORD000576,1,credit_card,3,106.42
ORD000577,1,boleto,10,2539.68
ORD000578,1,credit_card,10,322.76
ORD000579,1,credit_card,2,802.89
ORD000580,1,credit_card,10,783.32
ORD000581,1,boleto,1,613.54
ORD000582,1,credit_card,1,117.67
ORD000583,1,debit_card,6,794.64
ORD000584,1,debit_card,10,2559.53
ORD000585,1,boleto,1,506.53
ORD000586,1,debit_card,2,351.16
ORD000587,1,credit_card,10,314.41
ORD000588,1,credit_card,2,1642.19
ORD000589,1,credit_card,10,524.94
ORD000590,1,credit_card,3,281.62
ORD000591,1,credit_card,1,2057.38
ORD000592,1,credit_card,6,859.66
ORD000593,1,credit_card,1,1313.07
ORD000594,1,credit_card,1,612.36
ORD000594,2,credit_card,1,269.04
ORD000595,1,credit_card,2,383.91
ORD000596,1,credit_card,3,762.59
ORD000597,1,boleto,3,958.53
ORD000598,1,credit_card,6,1516.15
ORD000599,1,credit_card,1,1539.95
ORD000600,1,credit_card,1,331.82
ORD000601,1,boleto,10,1502.46
ORD000602,1,debit_card,6,46.76
ORD000602,2,credit_card,10,74.04
ORD000603,1,credit_card,1,580.27
ORD000604,1,debit_card,2,901.67
ORD000605,1,credit_card,10,1022.5
ORD000606,1,credit_card,1,211.78
ORD000607,1,credit_card,10,405.51
ORD000608,1,credit_card,3,866.98
ORD000609,1,credit_card,6,648.61
ORD000610,1,credit_card,2,1483.35
ORD000611,1,credit_card,2,284.54
ORD000612,1,credit_card,2,912.07
ORD000613,1,credit_card,1,608.85
ORD000614,1,credit_card,10,1339.94
ORD000615,1,boleto,10,935.83
ORD000616,1,credit_card,10,1449.87
ORD000617,1,credit_card,10,718.98
ORD000618,1,voucher,3,1096.62
ORD000619,1,debit_card,3,827.61
ORD000620,1,credit_card,2,370.02
ORD000620,2,boleto,6,419.55
ORD000621,1,voucher,10,496.1
ORD000622,1,credit_card,1,468.93
ORD000623,1,debit_card,2,368.26
ORD000623,2,voucher,2,568.21
ORD000624,1,credit_card,1,780.06
ORD000625,1,boleto,6,976.45
ORD000626,1,credit_card,2,289.87
ORD000627,1,boleto,3,539.11
ORD000627,2,credit_card,6,359.79
ORD000628,1,credit_card,6,288.63
ORD000629,1,boleto,1,822.96
ORD000629,2,credit_card,10,1183.56
ORD000630,1,credit_card,6,607.42
ORD000631,1,voucher,1,775.08
ORD000632,1,debit_card,10,341.01
ORD000633,1,credit_card,1,130.05
ORD000633,2,credit_card,2,274.84
ORD000634,1,credit_card,1,1265.68
ORD000635,1,debit_card,1,147.5
ORD000636,1,boleto,2,924.77
ORD000637,1,boleto,2,1150.71
ORD000638,1,credit_card,1,946.85
ORD000639,1,credit_card,6,891.03
ORD000640,1,boleto,1,260.36
ORD000641,1,credit_card,1,805.91
ORD000642,1,voucher,1,407.08
ORD000643,1,debit_card,10,795.39
ORD000644,1,credit_card,10,705.03
ORD000645,1,debit_card,3,1762.28
