order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD000022,2,PROD00397,SELL00059,2024-02-20 11:11:29,436.75,30.32
ORD000022,3,PROD00382,SELL00102,2024-11-23 23:34:40,212.18,43.89
ORD000023,1,PROD00307,SELL00087,2023-02-18 08:14:33,153.67,73.68
ORD000024,1,PROD00024,SELL00030,2023-10-31 04:33:51,487.54,6.41
ORD000025,1,PROD00025,SELL00064,2023-02-21 22:48:34,529.35,36.41
ORD000026,1,PROD00296,SELL00142,2024-09-07 02:23:46,59.11,26.53
ORD000027,1,PROD00153,SELL00038,2024-03-01 04:38:24,328.59,22.1
ORD000028,1,PROD00248,SELL00017,2024-12-11 05:02:23,163.5,33.65
ORD000029,1,PROD00230,SELL00005,2023-02-03 08:02:23,246.6,16.53
ORD000030,1,PROD00302,SELL00114,2023-03-28 09:46:23,545.64,8.98
ORD000031,1,PROD00260,SELL00040,2023-04-13 12:05:27,572.13,9.4
ORD000031,2,PROD00148,SELL00037,2024-12-28 04:08:16,146.25,23.13
ORD000031,3,PROD00180,SELL00118,2023-07-06 14:25:04,680.65,18.83
ORD000032,1,PROD00133,SELL00056,2023-12-03 15:19:54,73.26,41.85
ORD000033,1,PROD00008,SELL00047,2024-10-11 02:23:41,712.34,70.91
ORD000034,1,PROD00210,SELL00024,2023-08-17 07:54:58,126.4,50.78
ORD000035,1,PROD00209,SELL00022,2023-10-07 16:19:29,555.58,78.88
ORD000035,2,PROD00135,SELL00059,2024-08-12 19:36:49,724.0,17.27
ORD000035,3,PROD00165,SELL00084,2024-10-24 11:45:41,579.07,67.55
ORD000035,4,PROD00278,SELL00037,2024-12-11 17:31:24,560.56,56.33
ORD000036,1,PROD00132,SELL00117,2023-12-28 09:04:22,720.57,11.18
ORD000036,2,PROD00159,SELL00059,2023-06-22 06:02:59,778.79,6.49
ORD000037,1,PROD00356,SELL00058,2024-04-21 08:36:09,822.81,60.63
ORD000038,1,PROD00251,SELL00134,2023-05-27 22:01:53,24.38,58.98
ORD000039,1,PROD00229,SELL00070,2024-10-13 02:01:27,523.56,57.74
ORD000040,1,PROD00002,SELL00145,2024-10-22 11:21:03,760.55,35.49
ORD000041,1,PROD00320,SELL00147,2024-12-23 11:49:43,414.67,41.67
ORD000042,1,PROD00114,SELL00132,2023-10-18 06:24:33,597.91,8.94
ORD000043,1,PROD00241,SELL00001,2024-09-05 05:13:43,125.57,51.44
ORD000043,2,PROD00220,SELL00005,2024-03-19 16:07:28,655.84,61.24
ORD000044,1,PROD00007,SELL00027,2024-08-07 08:10:43,733.11,25.07
ORD000044,2,PROD00288,SELL00108,2023-08-25 20:55:09,565.45,27.93
ORD000044,3,PROD00201,SELL00065,2023-11-24 07:43:08,369.22,6.44
ORD000044,4,PROD00255,SELL00145,2023-07-07 12:37:30,669.32,55.39
ORD000045,1,PROD00087,SELL00136,2023-12-09 16:37:37,429.9,57.04
ORD000046,1,PROD00325,SELL00094,2023-04-11 08:03:28,747.1,66.95
ORD000047,1,PROD00105,SELL00139,2023-12-15 09:02:58,841.81,22.43
ORD000048,1,PROD00266,SELL00131,2023-07-05 08:22:26,756.86,20.61
ORD000048,2,PROD00195,SELL00099,2023-07-03 05:33:12,389.44,12.61
ORD000049,1,PROD00139,SELL00147,2024-10-10 20:45:18,435.95,24.01
ORD000050,1,PROD00167,SELL00012,2023-06-11 02:00:04,183.93,66.42
ORD000051,1,PROD00173,SELL00142,2023-03-16 14:33:17,321.95,29.31
ORD000052,1,PROD00315,SELL00148,2023-04-09 01:01:54,234.96,14.91
ORD000053,1,PROD00310,SELL00049,2023-11-29 19:27:14,94.45,76.04
ORD000054,1,PROD00019,SELL00111,2023-10-01 23:05:06,62.91,49.08
ORD000054,2,PROD00104,SELL00111,2023-06-05 05:32:43,897.94,8.92
ORD000054,3,PROD00087,SELL00023,2024-11-22 10:53:30,807.39,66.34
ORD000055,1,PROD00151,SELL00082,2024-08-30 22:35:49,363.04,10.34
ORD000055,2,PROD00337,SELL00094,2023-03-31 04:47:28,153.3,65.98
ORD000055,3,PROD00060,SELL00121,2023-02-06 17:42:22,298.86,43.3
ORD000056,1,PROD00123,SELL00091,2023-09-13 12:34:13,81.7,11.83
ORD000056,2,PROD00143,SELL00098,2023-08-17 11:17:20,814.53,31.2
ORD000057,1,PROD00185,SELL00071,2023-03-12 22:26:42,239.73,62.16
ORD000057,2,PROD00206,SELL00024,2023-12-08 18:06:10,645.96,40.28
ORD000058,1,PROD00389,SELL00108,2023-05-05 14:17:03,292.94,42.21
ORD000058,2,PROD00289,SELL00105,2024-06-11 23:00:11,397.53,22.3
ORD000058,3,PROD00379,SELL00132,2024-02-24 08:57:27,589.89,78.55
ORD000059,1,PROD00215,SELL00116,2024-02-25 04:53:00,708.69,14.02
ORD000060,1,PROD00247,SELL00003,2024-07-03 23:55:31,80.87,55.22
ORD000060,2,PROD00331,SELL00027,2024-03-18 08:38:42,337.75,76.14
ORD000061,1,PROD00040,SELL00066,2024-04-14 15:52:03,23.19,63.43
ORD000062,1,PROD00165,SELL00051,2023-02-26 11:26:48,291.7,26.69
ORD000062,2,PROD00363,SELL00101,2024-05-27 13:03:09,552.3,54.46
ORD000062,3,PROD00218,SELL00084,2024-04-01 16:46:09,605.87,36.5
ORD000063,1,PROD00001,SELL00043,2024-12-10 15:22:52,285.87,56.44
ORD000063,2,PROD00229,SELL00007,2023-02-13 21:35:07,36.22,75.0
ORD000063,3,PROD00322,SELL00087,2023-10-19 15:12:15,48.58,8.31
ORD000064,1,PROD00230,SELL00067,2024-09-06 05:25:03,766.88,59.95
ORD000064,2,PROD00014,SELL00115,2024-05-27 20:17:22,444.75,43.51
ORD000065,1,PROD00205,SELL00124,2024-02-05 23:54:01,540.6,7.87
ORD000066,1,PROD00021,SELL00006,2023-04-27 14:50:29,845.37,46.61
ORD000067,1,PROD00395,SELL00095,2023-12-27 03:13:32,433.72,45.17
ORD000067,2,PROD00083,SELL00001,2024-03-06 21:41:43,481.79,56.38
ORD000067,3,PROD00328,SELL00035,2023-02-06 21:31:31,55.49,31.29
ORD000067,4,PROD00165,SELL00116,2024-07-24 19:31:34,352.9,79.49
ORD000068,1,PROD00145,SELL00108,2023-02-05 00:26:16,351.47,18.21
ORD000068,2,PROD00393,SELL00086,2024-05-14 05:42:04,439.06,16.71
ORD000069,1,PROD00125,SELL00114,2023-04-25 10:34:21,655.74,78.76
ORD000069,2,PROD00174,SELL00037,2024-04-14 07:40:27,410.97,52.42
ORD000070,1,PROD00153,SELL00044,2023-08-17 01:02:52,265.21,39.96
ORD000071,1,PROD00085,SELL00095,2024-09-10 16:08:43,211.42,62.65
ORD000071,2,PROD00133,SELL00102,2024-09-04 21:15:44,857.79,44.03
ORD000071,3,PROD00396,SELL00121,2023-04-16 23:21:28,571.5,47.73
ORD000071,4,PROD00205,SELL00051,2024-09-14 19:58:29,240.94,78.27
ORD000072,1,PROD00208,SELL00061,2024-02-01 17:30:20,423.38,10.96
ORD000073,1,PROD00349,SELL00148,2024-06-23 18:45:15,46.26,37.61
ORD000074,1,PROD00320,SELL00095,2024-07-28 12:17:33,412.75,10.13
ORD000074,2,PROD00164,SELL00126,2023-03-28 15:28:23,690.13,71.99
ORD000075,1,PROD00014,SELL00102,2024-09-14 13:18:19,396.53,31.33
ORD000076,1,PROD00244,SELL00048,2023-04-02 18:20:31,198.4,27.78
ORD000076,2,PROD00187,SELL00021,2024-03-25 07:37:40,58.2,51.94
ORD000077,1,PROD00300,SELL00023,2023-05-18 12:43:28,144.7,58.98
ORD000078,1,PROD00382,SELL00143,2023-08-08 08:44:46,865.77,37.14
ORD000079,1,PROD00371,SELL00040,2023-09-05 00:40:15,637.6,41.16
ORD000079,2,PROD00041,SELL00001,2024-05-22 20:17:14,614.15,12.46
ORD000080,1,PROD00163,SELL00020,2024-03-01 03:55:20,538.83,17.07
ORD000081,1,PROD00134,SELL00015,2023-01-13 03:46:05,499.54,55.5
ORD000082,1,PROD00239,SELL00143,2024-01-19 10:33:40,603.34,15.39
ORD000083,1,PROD00195,SELL00099,2023-12-17 10:46:09,36.04,9.34
ORD000084,1,PROD00076,SELL00136,2023-02-07 20:31:10,42.75,79.51
ORD000085,1,PROD00349,SELL00066,2024-05-22 14:37:00,502.25,20.66
ORD000086,1,PROD00166,SELL00116,2023-05-19 11:16:53,224.66,43.25
ORD000086,2,PROD00140,SELL00019,2023-01-14 07:21:42,349.09,34.38
ORD000087,1,PROD00070,SELL00015,2023-08-14 02:09:50,698.17,23.65
ORD000087,2,PROD00188,SELL00137,2023-10-26 08:08:01,39.33,48.52
ORD000088,1,PROD00298,SELL00112,2023-08-20 00:38:47,559.35,51.38
ORD000089,1,PROD00215,SELL00016,2024-03-24 20:41:07,876.69,25.85
ORD000090,1,PROD00206,SELL00034,2023-10-05 15:02:53,584.78,28.56
ORD000091,1,PROD00279,SELL00104,2024-12-10 07:05:13,150.05,51.44
ORD000091,2,PROD00123,SELL00007,2024-01-22 05:42:27,332.92,44.14
ORD000092,1,PROD00313,SELL00008,2024-10-09 14:43:01,152.35,63.35
ORD000093,1,PROD00207,SELL00044,2023-05-13 08:10:19,161.85,23.74
ORD000094,1,PROD00010,SELL00149,2024-04-24 16:26:33,268.97,32.92
ORD000094,2,PROD00384,SELL00109,2023-04-15 06:42:56,770.01,78.17
ORD000094,3,PROD00006,SELL00009,2024-06-15 20:31:46,333.09,54.45
ORD000095,1,PROD00261,SELL00030,2024-06-12 22:54:08,746.07,12.67
ORD000095,2,PROD00069,SELL00148,2023-01-13 12:15:46,161.91,69.65
ORD000096,1,PROD00033,SELL00038,2024-07-09 04:10:41,371.25,8.26
ORD000097,1,PROD00058,SELL00028,2024-06-23 20:08:45,207.5,14.53
ORD000097,2,PROD00077,SELL00069,2024-10-12 22:21:45,275.11,25.66
ORD000098,1,PROD00033,SELL00068,2024-03-02 03:01:05,507.83,64.97
ORD000099,1,PROD00318,SELL00135,2024-07-18 10:15:42,434.17,50.86
ORD000100,1,PROD00349,SELL00050,2023-09-23 20:13:07,152.43,15.86
ORD000101,1,PROD00131,SELL00100,2023-07-15 02:34:00,489.97,67.73
ORD000102,1,PROD00077,SELL00148,2023-11-04 13:21:42,423.42,39.65
ORD000103,1,PROD00192,SELL00092,2023-04-23 19:24:23,849.57,67.82
ORD000104,1,PROD00051,SELL00055,2024-10-08 21:22:40,149.96,55.93
ORD000105,1,PROD00268,SELL00005,2024-09-10 09:02:56,829.28,64.1
ORD000105,2,PROD00229,SELL00142,2024-01-28 03:06:16,607.54,35.66
ORD000106,1,PROD00261,SELL00014,2023-04-05 18:15:14,416.97,63.69
ORD000107,1,PROD00052,SELL00012,2024-08-17 22:24:52,673.76,67.31
ORD000108,1,PROD00291,SELL00133,2024-11-04 21:49:04,294.07,76.1
ORD000109,1,PROD00062,SELL00004,2024-07-27 20:06:19,283.84,41.47
ORD000110,1,PROD00238,SELL00085,2023-02-16 08:01:34,202.11,9.75
ORD000110,2,PROD00155,SELL00072,2023-07-22 02:32:23,246.72,26.07
ORD000111,1,PROD00362,SELL00141,2024-07-29 23:03:52,113.11,69.34
ORD000112,1,PROD00288,SELL00120,2023-03-29 08:25:37,23.59,78.75
ORD000113,1,PROD00215,SELL00049,2024-08-24 00:04:51,578.02,38.37
ORD000114,1,PROD00089,SELL00094,2024-02-29 00:02:58,413.64,42.67
ORD000115,1,PROD00290,SELL00016,2024-01-31 16:30:06,258.28,8.58
ORD000116,1,PROD00023,SELL00049,2024-06-23 07:44:36,599.62,42.75
ORD000117,1,PROD00174,SELL00058,2023-12-29 14:11:22,190.17,24.7
ORD000118,1,PROD00039,SELL00126,2023-06-06 16:39:54,434.31,75.98
ORD000119,1,PROD00058,SELL00047,2023-02-25 16:33:56,879.39,49.97
ORD000120,1,PROD00172,SELL00124,2024-04-05 09:40:02,39.18,21.11
ORD000120,2,PROD00102,SELL00057,2024-09-20 19:07:27,243.57,52.05
ORD000121,1,PROD00033,SELL00013,2024-09-15 03:52:44,549.78,22.23
ORD000122,1,PROD00275,SELL00127,2024-09-21 10:31:10,362.97,77.73
ORD000122,2,PROD00087,SELL00058,2024-02-19 10:56:21,93.73,66.19
ORD000123,1,PROD00392,SELL00061,2023-06-21 15:31:58,752.61,6.27
ORD000124,1,PROD00053,SELL00050,2023-03-08 23:30:59,414.06,22.53
ORD000124,2,PROD00120,SELL00102,2024-02-11 08:47:25,507.52,31.08
ORD000125,1,PROD00029,SELL00134,2024-06-30 21:56:18,755.32,11.09
ORD000126,1,PROD00347,SELL00071,2023-04-07 06:02:04,309.07,35.53
ORD000127,1,PROD00233,SELL00110,2023-10-23 00:46:34,365.61,34.14
ORD000128,1,PROD00317,SELL00123,2024-02-14 16:53:21,405.12,76.29
ORD000129,1,PROD00063,SELL00085,2024-10-12 23:09:41,790.98,33.39
ORD000130,1,PROD00282,SELL00049,2023-09-16 18:48:53,474.16,25.37
ORD000131,1,PROD00047,SELL00002,2024-02-20 03:52:42,25.72,53.72
ORD000132,1,PROD00280,SELL00065,2024-04-24 00:08:34,62.4,71.9
ORD000133,1,PROD00040,SELL00115,2023-08-16 23:48:20,408.4,76.23
ORD000133,2,PROD00131,SELL00098,2023-11-14 21:40:55,440.22,48.06
ORD000134,1,PROD00355,SELL00054,2023-02-07 16:10:15,193.76,79.27
ORD000135,1,PROD00176,SELL00123,2024-03-28 03:52:54,112.92,71.37
ORD000136,1,PROD00292,SELL00121,2023-02-07 10:07:22,686.62,67.41
ORD000137,1,PROD00270,SELL00073,2023-10-21 10:41:39,165.65,11.96
ORD000137,2,PROD00349,SELL00109,2024-01-01 12:10:02,91.23,77.88
ORD000138,1,PROD00363,SELL00150,2023-08-26 08:29:38,389.24,25.95
ORD000138,2,PROD00265,SELL00077,2024-11-10 20:33:29,604.04,43.92
ORD000139,1,PROD00385,SELL00101,2024-01-19 05:53:22,886.66,74.42
ORD000139,2,PROD00198,SELL00141,2024-05-06 00:57:55,217.5,78.92
ORD000140,1,PROD00377,SELL00108,2023-01-02 02:01:01,658.3,32.01
ORD000140,2,PROD00365,SELL00033,2024-08-22 21:14:54,290.34,57.1
ORD000141,1,PROD00323,SELL00047,2023-08-08 14:03:02,569.46,78.5
ORD000142,1,PROD00172,SELL00035,2024-10-25 16:36:56,862.16,51.01
ORD000142,2,PROD00350,SELL00146,2023-08-10 20:40:39,223.29,79.58
ORD000143,1,PROD00202,SELL00119,2023-06-08 09:56:28,690.56,57.09
ORD000143,2,PROD00329,SELL00030,2023-06-05 07:08:20,463.31,58.82
ORD000143,3,PROD00337,SELL00067,2023-12-24 19:09:10,716.61,65.88
ORD000144,1,PROD00358,SELL00012,2024-09-28 05:35:10,306.67,54.59
ORD000145,1,PROD00099,SELL00067,2024-04-09 03:22:02,598.08,34.1
ORD000145,2,PROD00218,SELL00058,2023-09-05 09:57:25,245.79,10.87
ORD000145,3,PROD00119,SELL00042,2024-05-08 22:10:17,525.21,64.33
ORD000146,1,PROD00318,SELL00067,2024-01-10 13:14:48,844.44,37.28
ORD000147,1,PROD00379,SELL00043,2023-11-24 16:50:21,104.62,70.45
ORD000148,1,PROD00181,SELL00006,2024-02-02 04:57:38,119.82,58.78
ORD000148,2,PROD00176,SELL00018,2024-08-24 20:17:25,315.02,34.49
ORD000149,1,PROD00255,SELL00008,2023-09-27 14:18:50,842.0,32.82
ORD000149,2,PROD00189,SELL00060,2024-08-29 19:28:58,282.5,20.65
ORD000150,1,PROD00116,SELL00010,2023-10-31 22:52:44,411.36,12.62
ORD000150,2,PROD00335,SELL00060,2023-01-06 08:24:08,586.61,32.05
ORD000151,1,PROD00067,SELL00019,2024-05-01 03:36:23,225.04,54.61
ORD000152,1,PROD00002,SELL00035,2024-08-20 05:29:40,887.22,34.81
ORD000152,2,PROD00251,SELL00138,2024-10-26 01:59:37,335.47,14.46
ORD000153,1,PROD00122,SELL00038,2023-02-24 00:15:29,564.71,18.02
ORD000154,1,PROD00339,SELL00137,2023-04-24 02:00:59,85.98,76.88
ORD000155,1,PROD00109,SELL00094,2023-03-14 21:18:52,304.13,10.53
ORD000156,1,PROD00355,SELL00116,2024-09-30 22:49:15,512.24,64.08
ORD000157,1,PROD00132,SELL00129,2023-08-25 00:02:38,138.29,11.58
ORD000158,1,PROD00138,SELL00050,2024-11-01 07:02:05,669.78,43.4
ORD000159,1,PROD00099,SELL00005,2024-08-09 22:44:13,283.12,77.86
ORD000160,1,PROD00104,SELL00138,2024-12-26 20:24:49,617.15,76.26
ORD000161,1,PROD00239,SELL00046,2023-08-12 02:40:43,438.09,19.75
ORD000161,2,PROD00149,SELL00063,2024-06-25 04:32:46,69.3,54.9
ORD000161,3,PROD00121,SELL00068,2024-04-22 22:52:05,452.0,71.67
ORD000162,1,PROD00203,SELL00082,2024-01-07 11:32:31,892.79,69.21
ORD000163,1,PROD00101,SELL00118,2023-03-15 19:18:28,77.13,15.39
ORD000163,2,PROD00205,SELL00142,2023-01-22 14:57:06,499.05,70.91
ORD000164,1,PROD00155,SELL00037,2024-02-12 10:27:53,87.23,59.54
ORD000165,1,PROD00311,SELL00045,2024-10-04 08:07:54,355.2,52.86
ORD000166,1,PROD00079,SELL00099,2023-04-30 22:51:25,152.65,36.01
ORD000166,2,PROD00105,SELL00144,2024-06-02 06:53:28,401.18,22.91
ORD000167,1,PROD00326,SELL00100,2024-02-28 16:50:13,568.72,49.33
ORD000168,1,PROD00164,SELL00042,2023-08-19 21:01:21,28.23,23.29
ORD000169,1,PROD00398,SELL00085,2024-11-05 06:32:31,646.02,60.06
ORD000169,2,PROD00237,SELL00027,2024-06-30 05:25:53,880.1,15.49
ORD000170,1,PROD00057,SELL00147,2024-04-10 03:42:09,577.03,35.17
ORD000170,2,PROD00391,SELL00109,2023-09-04 16:47:16,169.7,71.6
ORD000170,3,PROD00179,SELL00090,2024-10-01 20:40:05,531.11,50.38
ORD000171,1,PROD00256,SELL00035,2023-11-17 06:44:09,776.17,75.22
ORD000172,1,PROD00045,SELL00052,2023-11-05 18:56:28,381.81,24.29
ORD000172,2,PROD00169,SELL00132,2024-10-06 15:37:36,261.4,77.11
ORD000172,3,PROD00297,SELL00143,2024-03-21 18:28:12,693.57,59.72
ORD000173,1,PROD00194,SELL00002,2023-11-13 08:06:11,875.22,13.71
ORD000174,1,PROD00012,SELL00014,2024-12-25 18:55:23,392.09,6.82
ORD000175,1,PROD00112,SELL00037,2023-12-08 11:33:04,512.31,40.92
ORD000176,1,PROD00118,SELL00095,2024-12-11 02:01:52,540.54,54.49
ORD000176,2,PROD00026,SELL00138,2024-12-16 06:04:35,697.27,73.24
ORD000177,1,PROD00171,SELL00090,2023-02-23 06:15:09,484.62,74.68
ORD000177,2,PROD00319,SELL00053,2024-12-05 05:31:55,831.23,48.28
ORD000178,1,PROD00261,SELL00134,2023-08-30 17:02:16,660.82,76.59
ORD000179,1,PROD00134,SELL00149,2024-02-11 14:23:28,380.02,71.47
ORD000180,1,PROD00304,SELL00114,2024-06-04 10:48:42,206.48,19.27
ORD000180,2,PROD00373,SELL00124,2023-06-29 22:39:50,79.13,64.72
ORD000181,1,PROD00107,SELL00012,2024-05-16 17:03:15,597.24,49.21
ORD000182,1,PROD00328,SELL00062,2024-08-07 07:07:13,653.51,77.76
ORD000182,2,PROD00038,SELL00045,2024-05-15 21:04:33,547.46,31.93
ORD000183,1,PROD00116,SELL00117,2024-10-20 05:19:02,321.44,47.32
ORD000184,1,PROD00110,SELL00067,2023-03-17 02:20:39,414.52,56.16
ORD000185,1,PROD00320,SELL00129,2024-04-11 00:25:53,206.67,34.36
ORD000186,1,PROD00261,SELL00127,2023-12-30 14:18:24,482.02,16.13
ORD000187,1,PROD00384,SELL00050,2023-04-16 05:50:12,424.77,37.33
ORD000187,2,PROD00054,SELL00090,2023-06-14 07:28:27,337.82,46.67
ORD000187,3,PROD00383,SELL00097,2024-07-10 01:33:51,199.07,64.74
ORD000187,4,PROD00138,SELL00141,2023-02-02 18:30:06,334.92,76.72
ORD000188,1,PROD00030,SELL00001,2023-09-16 23:12:37,526.56,17.46
ORD000188,2,PROD00260,SELL00101,2023-08-17 06:14:10,509.38,43.35
ORD000189,1,PROD00275,SELL00084,2024-06-18 19:06:21,49.79,40.38
ORD000189,2,PROD00029,SELL00004,2024-03-27 08:21:24,194.41,17.88
ORD000190,1,PROD00362,SELL00071,2023-10-25 19:50:03,883.71,62.19
ORD000190,2,PROD00071,SELL00116,2024-04-28 04:52:08,323.81,18.79
ORD000191,1,PROD00121,SELL00108,2024-07-17 10:44:16,561.21,68.37
ORD000192,1,PROD00235,SELL00023,2023-03-13 15:54:19,430.91,67.22
ORD000193,1,PROD00355,SELL00105,2024-03-16 07:37:18,156.75,50.98
ORD000193,2,PROD00153,SELL00091,2023-06-10 22:44:41,571.87,29.47
ORD000194,1,PROD00074,SELL00011,2024-12-01 00:42:33,304.61,29.9
ORD000194,2,PROD00102,SELL00013,2023-03-24 01:10:41,31.21,32.26
ORD000195,1,PROD00026,SELL00090,2023-09-20 04:41:34,562.32,56.65
ORD000196,1,PROD00009,SELL00145,2023-02-18 00:28:06,791.25,20.6
ORD000197,1,PROD00368,SELL00138,2023-05-13 08:45:39,24.5,38.88
ORD000198,1,PROD00353,SELL00058,2023-08-25 00:06:09,150.88,54.06
ORD000199,1,PROD00041,SELL00148,2023-05-26 23:17:32,183.5,25.38
ORD000199,2,PROD00274,SELL00086,2023-12-05 07:27:11,258.07,79.68
ORD000200,1,PROD00122,SELL00114,2023-05-25 20:23:53,882.84,62.56
ORD000201,1,PROD00295,SELL00052,2024-12-27 14:25:56,551.44,70.34
ORD000202,1,PROD00119,SELL00070,2024-03-12 22:17:24,388.49,72.49
ORD000203,1,PROD00009,SELL00125,2023-11-09 00:20:12,508.96,59.52
ORD000204,1,PROD00228,SELL00132,2023-10-13 09:12:04,774.44,24.07
ORD000205,1,PROD00039,SELL00001,2024-02-05 09:36:30,31.69,12.47
ORD000206,1,PROD00166,SELL00067,2023-10-22 10:33:50,18.79,56.43
ORD000207,1,PROD00131,SELL00099,2023-12-04 23:52:48,308.19,7.06
ORD000207,2,PROD00247,SELL00025,2023-05-27 21:07:15,99.06,35.54
ORD000208,1,PROD00309,SELL00123,2023-01-04 21:20:53,749.67,17.75
ORD000208,2,PROD00115,SELL00091,2024-01-03 00:13:15,129.69,12.19
ORD000208,3,PROD00271,SELL00117,2024-09-16 14:51:10,296.3,6.36
ORD000209,1,PROD00303,SELL00018,2023-07-19 04:26:52,880.73,36.18
ORD000209,2,PROD00012,SELL00123,2023-12-06 13:33:41,306.96,17.18
ORD000210,1,PROD00197,SELL00105,2024-11-07 20:07:20,231.42,17.2
ORD000211,1,PROD00139,SELL00079,2023-07-17 16:36:12,302.07,67.81
ORD000211,2,PROD00264,SELL00029,2023-08-29 12:44:14,588.41,52.7
ORD000211,3,PROD00309,SELL00027,2024-12-17 11:08:36,830.29,60.51
ORD000212,1,PROD00098,SELL00081,2024-11-23 07:13:34,373.06,75.38
ORD000213,1,PROD00164,SELL00035,2023-04-29 12:00:02,56.35,12.99
ORD000214,1,PROD00364,SELL00083,2024-12-03 15:51:09,738.11,28.95
ORD000214,2,PROD00163,SELL00030,2024-12-22 19:46:51,753.82,39.73
ORD000215,1,PROD00218,SELL00034,2023-03-26 16:12:25,171.79,8.03
ORD000216,1,PROD00010,SELL00144,2023-01-21 09:16:27,534.99,77.7
ORD000217,1,PROD00166,SELL00015,2024-06-03 00:15:16,332.49,72.68
ORD000217,2,PROD00158,SELL00033,2023-05-01 19:47:26,640.43,49.48
ORD000217,3,PROD00197,SELL00063,2023-11-13 04:46:42,397.11,64.95
ORD000218,1,PROD00193,SELL00059,2024-12-20 11:57:34,892.61,21.51
ORD000219,1,PROD00304,SELL00032,2024-01-09 21:42:32,694.83,54.56
ORD000219,2,PROD00136,SELL00105,2023-12-28 20:31:03,793.16,8.39
ORD000219,3,PROD00023,SELL00024,2024-05-22 21:49:48,374.99,29.09
ORD000219,4,PROD00270,SELL00011,2023-04-20 06:51:29,552.43,68.94
ORD000220,1,PROD00314,SELL00053,2023-08-17 00:40:01,890.65,64.81
ORD000220,2,PROD00363,SELL00127,2024-04-23 14:59:19,642.15,61.89
ORD000221,1,PROD00352,SELL00085,2024-11-30 03:47:21,406.3,23.76
ORD000221,2,PROD00054,SELL00143,2024-07-16 20:45:09,92.67,34.18
ORD000221,3,PROD00059,SELL00049,2024-06-27 20:46:08,881.33,68.67
ORD000221,4,PROD00096,SELL00068,2023-04-22 12:41:35,426.31,76.14
ORD000222,1,PROD00336,SELL00113,2023-07-30 07:20:00,868.37,18.62
ORD000222,2,PROD00012,SELL00112,2024-01-20 02:12:47,350.34,44.13
ORD000223,1,PROD00039,SELL00074,2024-03-19 02:33:40,469.91,25.42
ORD000224,1,PROD00189,SELL00086,2024-06-12 21:21:41,464.21,48.33
ORD000225,1,PROD00080,SELL00066,2024-05-22 10:13:20,216.14,56.51
ORD000225,2,PROD00389,SELL00134,2023-04-30 08:58:18,360.52,12.94
ORD000226,1,PROD00279,SELL00057,2024-05-05 21:01:09,521.44,61.63
ORD000226,2,PROD00131,SELL00132,2023-05-10 16:59:10,797.21,68.42
