movement_id,material_id,warehouse_id,movement_type,quantity,movement_date,reference_document
MOV000092,MAT00317,WH08,GR_101_Goods_Receipt,199,2024-10-06,GR000092
MOV000093,MAT00269,WH08,GR_101_Goods_Receipt,159,2023-07-15,GR000093
MOV000094,MAT00338,WH01,GR_101_Goods_Receipt,148,2024-03-25,GR000094
MOV000095,MAT00146,WH08,GR_101_Goods_Receipt,36,2024-11-07,GR000095
MOV000096,MAT00081,WH01,GR_101_Goods_Receipt,371,2024-07-15,GR000096
MOV000097,MAT00388,WH01,GR_101_Goods_Receipt,157,2024-07-20,GR000097
MOV000098,MAT00249,WH05,GR_101_Goods_Receipt,59,2024-07-27,GR000098
MOV000099,MAT00278,WH04,GR_101_Goods_Receipt,140,2023-12-28,GR000099
MOV000100,MAT00269,WH02,GR_101_Goods_Receipt,102,2024-06-21,GR000100
MOV000101,MAT00353,WH06,GR_101_Goods_Receipt,16,2024-07-10,GR000101
MOV000102,MAT00212,WH01,GR_101_Goods_Receipt,122,2024-06-29,GR000102
MOV000103,MAT00178,WH08,GR_101_Goods_Receipt,468,2024-11-06,GR000103
MOV000104,MAT00165,WH02,GR_101_Goods_Receipt,40,2023-03-21,GR000104
MOV000105,MAT00260,WH03,GR_101_Goods_Receipt,261,2023-03-19,GR000105
MOV000106,MAT00033,WH08,GR_101_Goods_Receipt,286,2024-11-02,GR000106
MOV000107,MAT00285,WH06,GR_101_Goods_Receipt,184,2023-01-27,GR000107
MOV000108,MAT00229,WH07,GR_101_Goods_Receipt,372,2024-02-28,GR000108
MOV000109,MAT00388,WH01,GR_101_Goods_Receipt,442,2024-03-07,GR000109
MOV000110,MAT00035,WH06,GR_101_Goods_Receipt,206,2024-03-05,GR000110
MOV000111,MAT00213,WH06,GR_101_Goods_Receipt,38,2024-01-04,GR000111
MOV000112,MAT00251,WH03,GR_101_Goods_Receipt,51,2024-01-07,GR000112
MOV000113,MAT00283,WH01,GR_101_Goods_Receipt,437,2024-10-27,GR000113
MOV000114,MAT00132,WH04,GR_101_Goods_Receipt,182,2024-10-26,GR000114
MOV000115,MAT00340,WH04,GR_101_Goods_Receipt,423,2024-11-11,GR000115
MOV000116,MAT00263,WH02,GR_101_Goods_Receipt,76,2023-03-15,GR000116
MOV000117,MAT00006,WH02,GR_101_Goods_Receipt,243,2023-03-11,GR000117
MOV000118,MAT00323,WH04,GR_101_Goods_Receipt,264,2023-03-12,GR000118
MOV000119,MAT00278,WH06,GR_101_Goods_Receipt,357,2024-03-21,GR000119
MOV000120,MAT00255,WH06,GR_101_Goods_Receipt,438,2024-03-24,GR000120
MOV000121,MAT00113,WH06,GR_101_Goods_Receipt,42,2024-03-22,GR000121
MOV000122,MAT00103,WH03,GR_101_Goods_Receipt,483,2024-08-01,GR000122
MOV000123,MAT00186,WH07,GR_101_Goods_Receipt,9,2023-01-26,GR000123
MOV000124,MAT00076,WH07,GR_101_Goods_Receipt,168,2024-12-23,GR000124
MOV000125,MAT00035,WH08,GR_101_Goods_Receipt,43,2025-01-05,GR000125
MOV000126,MAT00226,WH04,GR_101_Goods_Receipt,404,2024-07-17,GR000126
MOV000127,MAT00397,WH03,GR_101_Goods_Receipt,67,2024-08-04,GR000127
MOV000128,MAT00114,WH05,GR_101_Goods_Receipt,37,2023-06-30,GR000128
MOV000129,MAT00297,WH03,GR_101_Goods_Receipt,32,2023-12-16,GR000129
MOV000130,MAT00229,WH04,GR_101_Goods_Receipt,412,2023-12-30,GR000130
MOV000131,MAT00088,WH02,GR_101_Goods_Receipt,224,2024-04-27,GR000131
MOV000132,MAT00188,WH04,GR_101_Goods_Receipt,176,2024-04-15,GR000132
MOV000133,MAT00089,WH03,GR_101_Goods_Receipt,97,2024-01-29,GR000133
MOV000134,MAT00111,WH06,GR_101_Goods_Receipt,378,2024-02-18,GR000134
MOV000135,MAT00129,WH03,GR_101_Goods_Receipt,75,2024-02-26,GR000135
MOV000136,MAT00310,WH03,GR_101_Goods_Receipt,186,2023-05-10,GR000136
MOV000137,MAT00218,WH04,GR_101_Goods_Receipt,167,2023-05-09,GR000137
MOV000138,MAT00358,WH04,GR_101_Goods_Receipt,152,2024-09-16,GR000138
MOV000139,MAT00229,WH01,GR_101_Goods_Receipt,177,2024-09-10,GR000139
MOV000140,MAT00266,WH04,GR_101_Goods_Receipt,424,2024-03-22,GR000140
MOV000141,MAT00359,WH04,GR_101_Goods_Receipt,52,2024-03-19,GR000141
MOV000142,MAT00028,WH03,GR_101_Goods_Receipt,341,2023-05-23,GR000142
MOV000143,MAT00011,WH07,GR_101_Goods_Receipt,392,2025-01-10,GR000143
MOV000144,MAT00239,WH01,GR_101_Goods_Receipt,104,2025-01-09,GR000144
MOV000145,MAT00131,WH01,GR_101_Goods_Receipt,450,2025-01-09,GR000145
MOV000146,MAT00003,WH02,GR_101_Goods_Receipt,367,2023-11-23,GR000146
MOV000147,MAT00184,WH01,GR_101_Goods_Receipt,327,2023-11-30,GR000147
MOV000148,MAT00231,WH04,GR_101_Goods_Receipt,326,2023-05-10,GR000148
MOV000149,MAT00244,WH08,GR_101_Goods_Receipt,80,2023-05-06,GR000149
MOV000150,MAT00219,WH07,GR_101_Goods_Receipt,58,2024-09-17,GR000150
MOV000151,MAT00350,WH08,GR_101_Goods_Receipt,86,2024-09-02,GR000151
MOV000152,MAT00193,WH02,GR_101_Goods_Receipt,213,2024-09-10,GR000152
MOV000153,MAT00184,WH02,GR_101_Goods_Receipt,47,2023-07-22,GR000153
MOV000154,MAT00267,WH01,GR_101_Goods_Receipt,56,2023-08-09,GR000154
MOV000155,MAT00323,WH08,GR_101_Goods_Receipt,287,2023-11-20,GR000155
MOV000156,MAT00320,WH01,GR_101_Goods_Receipt,387,2023-11-11,GR000156
MOV000157,MAT00344,WH07,GR_101_Goods_Receipt,456,2023-11-20,GR000157
MOV000158,MAT00172,WH08,GR_101_Goods_Receipt,412,2024-09-10,GR000158
MOV000159,MAT00112,WH05,GR_101_Goods_Receipt,165,2024-09-15,GR000159
MOV000160,MAT00315,WH06,GR_101_Goods_Receipt,126,2024-08-30,GR000160
MOV000161,MAT00152,WH03,GR_101_Goods_Receipt,326,2023-11-17,GR000161
MOV000162,MAT00065,WH06,GR_101_Goods_Receipt,209,2023-07-08,GR000162
MOV000163,MAT00395,WH06,GR_101_Goods_Receipt,125,2023-07-12,GR000163
MOV000164,MAT00112,WH02,GR_101_Goods_Receipt,165,2023-07-20,GR000164
MOV000165,MAT00281,WH01,GR_101_Goods_Receipt,403,2023-02-15,GR000165
MOV000166,MAT00244,WH08,GR_101_Goods_Receipt,388,2023-02-18,GR000166
MOV000167,MAT00259,WH02,GR_101_Goods_Receipt,22,2024-12-09,GR000167
MOV000168,MAT00270,WH05,GR_101_Goods_Receipt,177,2024-12-21,GR000168
MOV000169,MAT00192,WH05,GR_101_Goods_Receipt,447,2024-01-22,GR000169
MOV000170,MAT00379,WH04,GR_101_Goods_Receipt,186,2024-01-24,GR000170
MOV000171,MAT00277,WH05,GR_101_Goods_Receipt,382,2024-02-05,GR000171
MOV000172,MAT00107,WH04,GR_101_Goods_Receipt,252,2023-06-27,GR000172
MOV000173,MAT00117,WH02,GR_101_Goods_Receipt,56,2023-07-11,GR000173
MOV000174,MAT00092,WH04,GR_101_Goods_Receipt,222,2023-01-27,GR000174
MOV000175,MAT00062,WH01,GR_101_Goods_Receipt,105,2023-01-24,GR000175
MOV000176,MAT00363,WH03,GR_101_Goods_Receipt,83,2023-11-25,GR000176
MOV000177,MAT00381,WH07,GR_101_Goods_Receipt,84,2023-12-03,GR000177
MOV000178,MAT00390,WH02,GR_101_Goods_Receipt,340,2023-07-14,GR000178
MOV000179,MAT00389,WH05,GR_101_Goods_Receipt,316,2023-07-29,GR000179
MOV000180,MAT00328,WH01,GR_101_Goods_Receipt,331,2023-08-01,GR000180
MOV000181,MAT00059,WH03,GR_101_Goods_Receipt,84,2023-10-22,GR000181
MOV000182,MAT00080,WH05,GR_101_Goods_Receipt,335,2023-03-14,GR000182
MOV000183,MAT00386,WH03,GR_101_Goods_Receipt,281,2023-03-04,GR000183
MOV000184,MAT00289,WH05,GR_101_Goods_Receipt,288,2023-04-24,GR000184
MOV000185,MAT00255,WH03,GR_101_Goods_Receipt,59,2024-12-18,GR000185
MOV000186,MAT00060,WH06,GR_101_Goods_Receipt,275,2025-01-03,GR000186
MOV000187,MAT00288,WH07,GR_101_Goods_Receipt,443,2024-10-12,GR000187
MOV000188,MAT00294,WH08,GR_101_Goods_Receipt,245,2024-09-28,GR000188
MOV000189,MAT00073,WH06,GR_101_Goods_Receipt,188,2024-10-09,GR000189
MOV000190,MAT00261,WH04,GR_101_Goods_Receipt,391,2023-07-09,GR000190
MOV000191,MAT00337,WH02,GR_101_Goods_Receipt,32,2023-03-28,GR000191
MOV000192,MAT00056,WH06,GR_101_Goods_Receipt,481,2023-03-26,GR000192
MOV000193,MAT00369,WH02,GR_101_Goods_Receipt,113,2023-04-23,GR000193
MOV000194,MAT00294,WH02,GR_101_Goods_Receipt,67,2023-08-26,GR000194
MOV000195,MAT00149,WH01,GR_101_Goods_Receipt,276,2023-09-08,GR000195
MOV000196,MAT00080,WH08,GR_101_Goods_Receipt,207,2023-04-21,GR000196
MOV000197,MAT00139,WH03,GR_101_Goods_Receipt,447,2023-08-29,GR000197
MOV000198,MAT00066,WH07,GR_101_Goods_Receipt,16,2023-09-09,GR000198
MOV000199,MAT00027,WH03,GR_101_Goods_Receipt,53,2024-04-10,GR000199
MOV000200,MAT00370,WH07,GR_101_Goods_Receipt,43,2024-04-05,GR000200
MOV000201,MAT00102,WH05,GR_101_Goods_Receipt,72,2024-04-14,GR000201
MOV000202,MAT00176,WH08,GR_101_Goods_Receipt,129,2025-02-01,GR000202
MOV000203,MAT00363,WH08,GR_101_Goods_Receipt,213,2025-01-18,GR000203
MOV000204,MAT00398,WH01,GR_101_Goods_Receipt,29,2025-01-21,GR000204
MOV000205,MAT00200,WH03,GR_101_Goods_Receipt,265,2023-04-24,GR000205
MOV000206,MAT00262,WH08,GR_101_Goods_Receipt,399,2023-12-09,GR000206
MOV000207,MAT00004,WH01,GR_101_Goods_Receipt,261,2023-08-17,GR000207
MOV000208,MAT00200,WH06,GR_101_Goods_Receipt,230,2023-08-06,GR000208
MOV000209,MAT00099,WH08,GR_101_Goods_Receipt,26,2024-02-17,GR000209
MOV000210,MAT00147,WH05,GR_101_Goods_Receipt,144,2023-06-29,GR000210
MOV000211,MAT00356,WH06,GR_101_Goods_Receipt,174,2023-07-04,GR000211
MOV000212,MAT00088,WH06,GR_101_Goods_Receipt,12,2024-01-21,GR000212
MOV000213,MAT00054,WH05,GR_101_Goods_Receipt,86,2023-12-31,GR000213
MOV000214,MAT00210,WH06,GR_101_Goods_Receipt,257,2024-01-20,GR000214
MOV000215,MAT00327,WH08,GR_101_Goods_Receipt,172,2024-12-30,GR000215
MOV000216,MAT00398,WH03,GR_101_Goods_Receipt,182,2023-05-15,GR000216
MOV000217,MAT00394,WH05,GR_101_Goods_Receipt,113,2024-10-22,GR000217
MOV000218,MAT00218,WH02,GR_101_Goods_Receipt,145,2024-10-15,GR000218
MOV000219,MAT00229,WH07,GR_101_Goods_Receipt,205,2024-11-27,GR000219
MOV000220,MAT00067,WH01,GR_101_Goods_Receipt,105,2024-11-18,GR000220
MOV000221,MAT00280,WH05,GR_101_Goods_Receipt,198,2024-11-11,GR000221
MOV000222,MAT00170,WH04,GR_101_Goods_Receipt,446,2024-11-02,GR000222
MOV000223,MAT00023,WH07,GR_101_Goods_Receipt,196,2024-10-29,GR000223
MOV000224,MAT00252,WH07,GR_101_Goods_Receipt,220,2024-10-23,GR000224
MOV000225,MAT00179,WH03,GR_101_Goods_Receipt,50,2023-10-25,GR000225
MOV000226,MAT00184,WH07,GR_101_Goods_Receipt,62,2023-11-03,GR000226
MOV000227,MAT00037,WH05,GR_101_Goods_Receipt,158,2023-10-12,GR000227
MOV000228,MAT00233,WH01,GR_101_Goods_Receipt,339,2023-11-09,GR000228
MOV000229,MAT00249,WH07,GR_101_Goods_Receipt,453,2023-04-14,GR000229
MOV000230,MAT00321,WH02,GR_101_Goods_Receipt,492,2023-04-05,GR000230
MOV000231,MAT00118,WH02,GR_101_Goods_Receipt,496,2024-07-12,GR000231
MOV000232,MAT00376,WH07,GR_101_Goods_Receipt,131,2024-07-19,GR000232
MOV000233,MAT00191,WH03,GR_101_Goods_Receipt,422,2024-07-01,GR000233
MOV000234,MAT00001,WH06,GR_101_Goods_Receipt,235,2023-05-16,GR000234
MOV000235,MAT00295,WH08,GR_101_Goods_Receipt,368,2023-05-08,GR000235
MOV000236,MAT00188,WH06,GR_101_Goods_Receipt,460,2024-12-12,GR000236
MOV000237,MAT00284,WH01,GR_101_Goods_Receipt,430,2024-12-25,GR000237
MOV000238,MAT00265,WH01,GR_101_Goods_Receipt,478,2023-11-19,GR000238
MOV000239,MAT00022,WH03,GR_101_Goods_Receipt,139,2023-10-23,GR000239
MOV000240,MAT00155,WH08,GR_101_Goods_Receipt,203,2023-10-17,GR000240
MOV000241,MAT00367,WH03,GR_101_Goods_Receipt,419,2023-07-06,GR000241
MOV000242,MAT00121,WH01,GR_101_Goods_Receipt,211,2023-07-20,GR000242
MOV000243,MAT00022,WH03,GR_101_Goods_Receipt,127,2024-08-15,GR000243
MOV000244,MAT00331,WH03,GR_101_Goods_Receipt,35,2024-08-14,GR000244
MOV000245,MAT00299,WH01,GR_101_Goods_Receipt,55,2024-08-04,GR000245
MOV000246,MAT00391,WH04,GR_101_Goods_Receipt,433,2024-07-01,GR000246
MOV000247,MAT00144,WH08,GR_101_Goods_Receipt,494,2024-07-24,GR000247
MOV000248,MAT00221,WH04,GR_101_Goods_Receipt,219,2024-12-01,GR000248
MOV000249,MAT00106,WH01,GR_101_Goods_Receipt,199,2024-10-19,GR000249
MOV000250,MAT00150,WH03,GR_101_Goods_Receipt,205,2023-01-25,GR000250
MOV000251,MAT00309,WH03,GR_101_Goods_Receipt,466,2023-01-31,GR000251
MOV000252,MAT00090,WH02,GR_101_Goods_Receipt,267,2023-01-22,GR000252
MOV000253,MAT00042,WH08,GR_101_Goods_Receipt,82,2023-12-07,GR000253
MOV000254,MAT00236,WH07,GR_101_Goods_Receipt,456,2023-12-06,GR000254
MOV000255,MAT00042,WH04,GR_101_Goods_Receipt,229,2024-06-13,GR000255
MOV000256,MAT00214,WH08,GR_101_Goods_Receipt,30,2024-05-23,GR000256
MOV000257,MAT00108,WH06,GR_101_Goods_Receipt,262,2024-05-21,GR000257
MOV000258,MAT00018,WH04,GR_101_Goods_Receipt,102,2023-05-06,GR000258
MOV000259,MAT00260,WH07,GR_101_Goods_Receipt,308,2023-04-12,GR000259
MOV000260,MAT00342,WH02,GR_101_Goods_Receipt,356,2023-04-06,GR000260
MOV000261,MAT00054,WH01,GR_101_Goods_Receipt,211,2023-03-29,GR000261
MOV000262,MAT00313,WH06,GR_101_Goods_Receipt,347,2023-04-19,GR000262
MOV000263,MAT00231,WH04,GR_101_Goods_Receipt,32,2023-04-14,GR000263
MOV000264,MAT00332,WH01,GR_101_Goods_Receipt,451,2023-04-21,GR000264
MOV000265,MAT00387,WH07,GR_101_Goods_Receipt,205,2023-03-28,GR000265
MOV000266,MAT00117,WH07,GR_101_Goods_Receipt,55,2023-03-28,GR000266
MOV000267,MAT00301,WH05,GR_101_Goods_Receipt,155,2023-04-08,GR000267
MOV000268,MAT00228,WH06,GR_101_Goods_Receipt,160,2024-06-12,GR000268
MOV000269,MAT00220,WH02,GR_101_Goods_Receipt,159,2024-06-08,GR000269
MOV000270,MAT00255,WH02,GR_101_Goods_Receipt,163,2024-06-05,GR000270
MOV000271,MAT00313,WH08,GR_101_Goods_Receipt,356,2023-03-10,GR000271
MOV000272,MAT00194,WH08,GR_101_Goods_Receipt,279,2023-03-06,GR000272
MOV000273,MAT00376,WH07,GR_101_Goods_Receipt,292,2024-03-19,GR000273
MOV000274,MAT00245,WH08,GR_101_Goods_Receipt,16,2023-08-02,GR000274
MOV000275,MAT00319,WH05,GR_101_Goods_Receipt,140,2023-07-18,GR000275
MOV000276,MAT00036,WH05,GR_101_Goods_Receipt,194,2024-06-12,GR000276
MOV000277,MAT00138,WH01,GR_101_Goods_Receipt,54,2024-05-18,GR000277
MOV000278,MAT00077,WH03,GR_101_Goods_Receipt,366,2024-05-21,GR000278
MOV000279,MAT00373,WH08,GR_101_Goods_Receipt,449,2024-11-09,GR000279
MOV000280,MAT00300,WH03,GR_101_Goods_Receipt,85,2024-11-02,GR000280
MOV000281,MAT00307,WH08,GR_101_Goods_Receipt,388,2024-11-16,GR000281
MOV000282,MAT00144,WH01,GR_101_Goods_Receipt,301,2024-09-10,GR000282
MOV000283,MAT00252,WH08,GR_101_Goods_Receipt,62,2024-09-21,GR000283
MOV000284,MAT00291,WH04,GR_101_Goods_Receipt,158,2024-09-04,GR000284
MOV000285,MAT00052,WH02,GR_101_Goods_Receipt,375,2024-08-22,GR000285
MOV000286,MAT00351,WH08,GR_101_Goods_Receipt,147,2024-09-02,GR000286
MOV000287,MAT00184,WH03,GR_101_Goods_Receipt,310,2024-04-11,GR000287
MOV000288,MAT00048,WH08,GR_101_Goods_Receipt,223,2023-11-25,GR000288
MOV000289,MAT00186,WH05,GR_101_Goods_Receipt,419,2023-11-08,GR000289
MOV000290,MAT00357,WH02,GR_101_Goods_Receipt,257,2024-12-22,GR000290
MOV000291,MAT00091,WH04,GR_101_Goods_Receipt,416,2024-12-29,GR000291
MOV000292,MAT00349,WH06,GR_101_Goods_Receipt,295,2024-12-15,GR000292
MOV000293,MAT00345,WH04,GR_101_Goods_Receipt,26,2024-12-09,GR000293
MOV000294,MAT00198,WH06,GR_101_Goods_Receipt,71,2024-12-16,GR000294
MOV000295,MAT00216,WH02,GR_101_Goods_Receipt,403,2024-12-17,GR000295
MOV000296,MAT00244,WH03,GR_101_Goods_Receipt,236,2023-06-30,GR000296
MOV000297,MAT00339,WH08,GR_101_Goods_Receipt,341,2023-06-20,GR000297
MOV000298,MAT00169,WH06,GR_101_Goods_Receipt,222,2023-06-18,GR000298
MOV000299,MAT00247,WH04,GR_101_Goods_Receipt,146,2023-11-21,GR000299
MOV000300,MAT00036,WH08,GR_101_Goods_Receipt,123,2023-06-17,GR000300
MOV000301,MAT00095,WH08,GR_101_Goods_Receipt,257,2023-07-05,GR000301
MOV000302,MAT00052,WH06,GR_101_Goods_Receipt,73,2023-07-02,GR000302
MOV000303,MAT00286,WH01,GR_101_Goods_Receipt,232,2023-12-19,GR000303
MOV000304,MAT00181,WH05,GR_101_Goods_Receipt,128,2024-11-01,GR000304
MOV000305,MAT00352,WH05,GR_101_Goods_Receipt,39,2024-10-17,GR000305
MOV000306,MAT00065,WH01,GR_101_Goods_Receipt,73,2024-10-24,GR000306
MOV000307,MAT00011,WH01,GR_101_Goods_Receipt,230,2023-02-27,GR000307
MOV000308,MAT00270,WH02,GR_101_Goods_Receipt,226,2023-02-23,GR000308
MOV000309,MAT00305,WH04,GR_101_Goods_Receipt,137,2023-02-27,GR000309
MOV000310,MAT00265,WH07,GR_101_Goods_Receipt,411,2024-01-18,GR000310
MOV000311,MAT00320,WH06,GR_101_Goods_Receipt,276,2024-01-03,GR000311
MOV000312,MAT00317,WH02,GR_101_Goods_Receipt,242,2024-01-24,GR000312
MOV000313,MAT00001,WH07,GR_101_Goods_Receipt,296,2024-12-14,GR000313
MOV000314,MAT00212,WH03,GR_101_Goods_Receipt,235,2024-12-17,GR000314
MOV000315,MAT00254,WH03,GR_101_Goods_Receipt,83,2024-12-17,GR000315
MOV000316,MAT00397,WH03,GR_101_Goods_Receipt,70,2025-01-10,GR000316
