warehouse_id,material_id,quantity_on_hand,as_of_date
WH04,MAT00196,81,2024-12-31
WH04,MAT00200,500,2024-12-31
WH04,MAT00203,0,2024-12-31
WH04,MAT00213,173,2024-12-31
WH04,MAT00216,0,2024-12-31
WH04,MAT00218,340,2024-12-31
WH04,MAT00219,0,2024-12-31
WH04,MAT00221,238,2024-12-31
WH04,MAT00222,0,2024-12-31
WH04,MAT00223,14,2024-12-31
WH04,MAT00226,404,2024-12-31
WH04,MAT00227,319,2024-12-31
WH04,MAT00229,391,2024-12-31
WH04,MAT00231,346,2024-12-31
WH04,MAT00233,0,2024-12-31
WH04,MAT00234,0,2024-12-31
WH04,MAT00235,0,2024-12-31
WH04,MAT00236,105,2024-12-31
WH04,MAT00241,295,2024-12-31
WH04,MAT00242,0,2024-12-31
WH04,MAT00243,0,2024-12-31
WH04,MAT00244,440,2024-12-31
WH04,MAT00245,0,2024-12-31
WH04,MAT00247,136,2024-12-31
WH04,MAT00256,0,2024-12-31
WH04,MAT00259,473,2024-12-31
WH04,MAT00260,179,2024-12-31
WH04,MAT00261,341,2024-12-31
WH04,MAT00262,0,2024-12-31
WH04,MAT00266,424,2024-12-31
WH04,MAT00268,67,2024-12-31
WH04,MAT00270,0,2024-12-31
WH04,MAT00272,0,2024-12-31
WH04,MAT00273,0,2024-12-31
WH04,MAT00276,0,2024-12-31
WH04,MAT00277,202,2024-12-31
WH04,MAT00278,140,2024-12-31
WH04,MAT00280,0,2024-12-31
WH04,MAT00281,524,2024-12-31
WH04,MAT00282,105,2024-12-31
WH04,MAT00285,122,2024-12-31
WH04,MAT00286,256,2024-12-31
WH04,MAT00287,0,2024-12-31
WH04,MAT00289,84,2024-12-31
WH04,MAT00290,0,2024-12-31
WH04,MAT00291,158,2024-12-31
WH04,MAT00294,0,2024-12-31
WH04,MAT00295,0,2024-12-31
WH04,MAT00298,429,2024-12-31
WH04,MAT00299,0,2024-12-31
WH04,MAT00301,323,2024-12-31
WH04,MAT00303,0,2024-12-31
WH04,MAT00304,17,2024-12-31
WH04,MAT00305,47,2024-12-31
WH04,MAT00315,0,2024-12-31
WH04,MAT00316,395,2024-12-31
WH04,MAT00317,0,2024-12-31
WH04,MAT00319,0,2024-12-31
WH04,MAT00323,623,2024-12-31
WH04,MAT00325,36,2024-12-31
WH04,MAT00328,0,2024-12-31
WH04,MAT00331,144,2024-12-31
WH04,MAT00333,110,2024-12-31
WH04,MAT00336,187,2024-12-31
WH04,MAT00340,423,2024-12-31
WH04,MAT00341,0,2024-12-31
WH04,MAT00345,301,2024-12-31
WH04,MAT00347,407,2024-12-31
WH04,MAT00348,0,2024-12-31
WH04,MAT00351,180,2024-12-31
WH04,MAT00352,0,2024-12-31
WH04,MAT00353,274,2024-12-31
WH04,MAT00354,71,2024-12-31
WH04,MAT00357,241,2024-12-31
WH04,MAT00358,152,2024-12-31
WH04,MAT00359,52,2024-12-31
WH04,MAT00362,0,2024-12-31
WH04,MAT00372,167,2024-12-31
WH04,MAT00374,296,2024-12-31
WH04,MAT00375,342,2024-12-31
WH04,MAT00377,449,2024-12-31
WH04,MAT00378,0,2024-12-31
WH04,MAT00379,356,2024-12-31
WH04,MAT00381,0,2024-12-31
WH04,MAT00382,135,2024-12-31
WH04,MAT00383,467,2024-12-31
WH04,MAT00385,0,2024-12-31
WH04,MAT00391,433,2024-12-31
WH04,MAT00395,280,2024-12-31
WH04,MAT00396,147,2024-12-31
WH04,MAT00398,419,2024-12-31
WH05,MAT00004,0,2024-12-31
WH05,MAT00005,0,2024-12-31
WH05,MAT00011,52,2024-12-31
WH05,MAT00016,0,2024-12-31
WH05,MAT00018,288,2024-12-31
WH05,MAT00019,222,2024-12-31
WH05,MAT00020,65,2024-12-31
WH05,MAT00024,0,2024-12-31
WH05,MAT00028,206,2024-12-31
WH05,MAT00030,59,2024-12-31
WH05,MAT00032,0,2024-12-31
WH05,MAT00034,0,2024-12-31
WH05,MAT00035,0,2024-12-31
WH05,MAT00036,150,2024-12-31
WH05,MAT00037,158,2024-12-31
WH05,MAT00038,382,2024-12-31
WH05,MAT00040,492,2024-12-31
WH05,MAT00045,0,2024-12-31
WH05,MAT00046,0,2024-12-31
WH05,MAT00047,0,2024-12-31
WH05,MAT00048,50,2024-12-31
WH05,MAT00054,283,2024-12-31
WH05,MAT00056,252,2024-12-31
WH05,MAT00057,0,2024-12-31
WH05,MAT00059,0,2024-12-31
WH05,MAT00061,265,2024-12-31
WH05,MAT00062,0,2024-12-31
WH05,MAT00064,0,2024-12-31
WH05,MAT00066,442,2024-12-31
